example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
0,0,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,1,C,,,,"S1 states that Sam only gave grapes to Bill, implying he did not give grapes to anyone else. S2 states that Sam also gave grapes to Sue, which contradicts S1.",,,1,POS,1,ns1,audio,gemini,gemini-2.5-flash,20260428_152454,,,speaker1
1,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,1,B,,,,"S1 states that Sam only gave oranges to Sue, meaning Sue received no other items from Sam. This does not restrict who else received oranges. S2 states that Sam didn't give oranges to Rob, which is independent of what Sam gave to Sue.",,,2,NEG,1,ns1,audio,gemini,gemini-2.5-flash,20260428_152454,,,speaker1
2,0,Sam only gave ROB grapes.,Sam also gave Rob oranges.,B,1,B,,,,"S1 states that Sam only gave grapes to Rob, implying no one else received grapes from Sam. This does not restrict what other items Rob received. S2 states that Sam also gave oranges to Rob, which is consistent with S1.",,,1,POS,2,ns1,audio,gemini,gemini-2.5-flash,20260428_152454,,,speaker1
3,0,Sam only gave Tom ORANGES.,Sam didn't give Tom bananas.,A,1,A,,,,"S1 states that Sam only gave oranges to Tom, meaning Tom received no other items from Sam. This entails that Sam did not give bananas to Tom, which is what S2 states.",,,2,NEG,2,ns1,audio,gemini,gemini-2.5-flash,20260428_152454,,,speaker1
4,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,0,C,,,,"S1 states that Sam only gave bananas to Ellen, implying he did not give bananas to anyone else. S2 states that Sam also gave bananas to Mary, which contradicts S1.",,,2,POS,1,ns1,audio,gemini,gemini-2.5-flash,20260428_152454,,,speaker1
5,0,Sam only gave ELLEN grapes.,Sam didn't give Tom grapes.,A,1,A,,,,"S1 states that Sam only gave grapes to Ellen, implying he did not give grapes to anyone else, including Tom. S2 states that Sam didn't give grapes to Tom, which is entailed by S1.",,,1,NEG,1,ns1,audio,gemini,gemini-2.5-flash,20260428_152454,,,speaker1
6,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,1,C,,,,"S1 states that Sam only gave oranges to Rob, meaning Rob received no other items from Sam. S2 states that Sam also gave apples to Rob, which contradicts S1.",,,2,POS,2,ns1,audio,gemini,gemini-2.5-flash,20260428_152454,,,speaker1
7,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,1,B,,,,"S1 states that Sam only gave apples to Tom, implying no one else received apples from Sam. This does not restrict what other items Tom received. S2 states that Sam didn't give grapes to Tom, which is independent of S1.",,,1,NEG,2,ns1,audio,gemini,gemini-2.5-flash,20260428_152454,,,speaker1
0,0,Sam only gave BILL grapes.,Sam didn't give Bill oranges.,B,1,B,,,,"S1 states that Bill was the only person Sam gave grapes to. It does not restrict what other items Sam might have given to Bill. Therefore, Sam could have given Bill oranges or not, and S1 would still be true. S2 is independent.",,,1,NEG,2,ns2,audio,gemini,gemini-2.5-flash,20260428_152454,,,speaker1
1,0,Sam only gave Ellen GRAPES.,Sam also gave Ellen oranges.,C,0,B,,,,"S1 states that Ellen was the only person Sam gave grapes to. It does not restrict what other items Sam might have given to Ellen. Therefore, Sam could have given Ellen oranges or not, and S1 would still be true. S2 is independent.",,,2,POS,2,ns2,audio,gemini,gemini-2.5-flash,20260428_152454,,,speaker1
2,0,Sam only gave BILL bananas.,Sam didn't give Tom bananas.,A,1,A,,,,"S1 states that Bill was the only person Sam gave bananas to. This implies that Sam did not give bananas to anyone else, including Tom. Therefore, S2 is entailed.",,,1,NEG,1,ns2,audio,gemini,gemini-2.5-flash,20260428_152454,,,speaker1
3,0,Sam only gave Ellen ORANGES.,Sam also gave Sue oranges.,B,0,C,,,,"S1 states that Ellen was the only person Sam gave oranges to. S2 states that Sam also gave Sue oranges, which contradicts the exclusivity implied by ""only Ellen"" in S1. Therefore, S2 is contradicted.",,,2,POS,1,ns2,audio,gemini,gemini-2.5-flash,20260428_152454,,,speaker1
4,0,Sam only gave TOM apples.,Sam also gave Bill apples.,C,1,C,,,,"S1 states that Tom was the only person Sam gave apples to. S2 states that Sam also gave Bill apples, which contradicts the exclusivity implied by ""only Tom"" in S1. Therefore, S2 is contradicted.",,,1,POS,1,ns2,audio,gemini,gemini-2.5-flash,20260428_152454,,,speaker1
5,0,Sam only gave Bill BANANAS.,Sam didn't give Bill grapes.,A,0,B,,,,"S1 states that Bill was the only person Sam gave bananas to. It does not restrict what other items Sam might have given to Bill. Therefore, Sam could have given Bill grapes or not, and S1 would still be true. S2 is independent.",,,2,NEG,2,ns2,audio,gemini,gemini-2.5-flash,20260428_152454,,,speaker1
6,0,Sam only gave ELLEN bananas.,Sam also gave Ellen grapes.,B,1,B,,,,"S1 states that Ellen was the only person Sam gave bananas to. It does not restrict what other items Sam might have given to Ellen. Therefore, Sam could have given Ellen grapes or not, and S1 would still be true. S2 is independent.",,,1,POS,2,ns2,audio,gemini,gemini-2.5-flash,20260428_152454,,,speaker1
7,0,Sam only gave Ellen GRAPES.,Sam didn't give Rob grapes.,B,0,A,,,,"S1 states that Ellen was the only person Sam gave grapes to. This implies that Sam did not give grapes to anyone else, including Rob. Therefore, S2 is entailed.",,,2,NEG,1,ns2,audio,gemini,gemini-2.5-flash,20260428_152454,,,speaker1
0,0,Sam only gave ROB bananas.,Sam also gave Rob oranges.,B,1,B,,,,"S1 states that Rob was the only person Sam gave bananas to. This does not restrict what other items Sam might have given to Rob. Therefore, Sam also giving Rob oranges is compatible with S1.",,,1,POS,2,ns3,audio,gemini,gemini-2.5-flash,20260428_152454,,,speaker1
1,0,Sam only gave Mary APPLES.,Sam also gave Mary bananas.,C,1,C,,,,"S1 states that bananas were the only thing Sam gave to Rob. S2 states that Sam also gave Rob oranges, which contradicts S1's claim that bananas were the *only* item given to Rob.",,,2,POS,2,ns3,audio,gemini,gemini-2.5-flash,20260428_152454,,,speaker1
2,0,Sam only gave SUE bananas.,Sam didn't give Rob bananas.,A,0,B,,,,"S1 states that Mary was the only person Sam gave apples to. This does not restrict what other items Sam might have given to Mary. Therefore, Sam also giving Mary bananas is compatible with S1.",,,1,NEG,1,ns3,audio,gemini,gemini-2.5-flash,20260428_152454,,,speaker1
