example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold
0,1,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,1,C,1,Sam only gave BILL grapes.,Sam also gave Sue grapes.,"if Sam only gave Bill grapes, he could not have given Sue grapes.",0.0,0.0,1,POS,1,f1,audio,gemini,gemini-2.0-flash,20260105_093157,,0
1,1,Sam only gave SUE oranges.,Sam also gave Rob oranges.,C,1,C,1,Sam only gave SUE oranges.,Sam also gave Rob oranges.,"if Sam only gave Sue oranges, he could not have given Rob oranges.",0.0,0.0,1,POS,1,f1,audio,gemini,gemini-2.0-flash,20260105_093157,,0
2,0,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,A,1,A,1,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,"if Sam only gave Sue grapes, then it is true that he didn't give Ellen grapes.",0.0,0.0,1,NEG,1,f1,audio,gemini,gemini-2.0-flash,20260105_093157,,0
3,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,1,B,1,Sam only gave TOM apples.,Sam didn't give Tom grapes.,the first sentence is about apples and the second is about grapes.,0.0,0.0,1,NEG,2,f1,audio,gemini,gemini-2.0-flash,20260105_093157,,0
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,0,B,0,Sam only gave ROB oranges.,Sam also gave Rob apples.,the first sentence is about oranges and the second is about apples.,0.0,0.0,2,POS,2,f1,audio,gemini,gemini-2.0-flash,20260105_093157,,0
5,0,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,A,1,A,1,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,"if Sam only gave Sue grapes, then it is true that he didn't give Tom grapes.",0.0,0.0,1,NEG,1,f1,audio,gemini,gemini-2.0-flash,20260105_093157,,0
6,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,0,C,0,Sam only gave ELLEN bananas.,Sam also gave Mary bananas.,"if Sam only gave Ellen bananas, he could not have given Mary bananas.",0.0,0.0,2,POS,1,f1,audio,gemini,gemini-2.0-flash,20260105_093157,,0
7,0,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,B,1,B,1,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,the first sentence is about bananas and the second is about oranges.,0.0,0.0,1,NEG,2,f1,audio,gemini,gemini-2.0-flash,20260105_093157,,0
8,0,Sam only gave Mary BANANAS.,Sam also gave Mary apples.,C,0,B,0,Sam only gave MARY bananas.,Sam also gave Mary apples.,the first sentence is about bananas and the second is about apples.,0.0,0.0,2,POS,2,f1,audio,gemini,gemini-2.0-flash,20260105_093157,,0
9,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,0,A,0,Sam only gave SUE oranges.,Sam didn't give Rob oranges.,"if Sam only gave Sue oranges, then it is true that he didn't give Rob oranges.",0.0,0.0,2,NEG,1,f1,audio,gemini,gemini-2.0-flash,20260105_093157,,0
