example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
2,0,Sam only gave ROB grapes.,Sam also gave Rob oranges.,B,0,A,,,,"in S1, the prosodic focus is on “BILL”: “Sam only gave BILL grapes.” This means that Bill was the only recipient of grapes. In S2, “Sam also gave Sue grapes” introduces Sue as another recipient of grapes. Since S2 states Sue also got grapes, this agrees with the idea that Bill was a unique original recipient—Sue is being added. Therefore, S2 is entailed by S1’s meaning of exclusivity being expanded by also adding Sue as a recipient.",,,1,POS,2,ns1,audio,openai,gpt-audio,20260503_142543,chatcmpl-DbS3WejQQ2EQ5mZAwOvgioRWunJmQ,0,speaker2
3,0,Sam only gave Tom ORANGES.,Sam didn't give Tom bananas.,A,1,A,,,,"in S1, the prosodic focus is on “ORANGES”: “Sam only gave Sue ORANGES.” This means the only thing Sue got was oranges. S2 says “Sam didn’t give Rob oranges,” which is in line with S1’s implication—S1 only talks about Sue getting oranges, and it remains silent about anyone else. S2 does not contradict that fact, so it is consistent with S1. Hence, S2 is entailed by S1.",,,2,NEG,2,ns1,audio,openai,gpt-audio,20260503_142543,chatcmpl-DbS3WejQQ2EQ5mZAwOvgioRWunJmQ,0,speaker2
4,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,0,A,,,,"in S1, the prosodic focus is on “ROB”: “Sam only gave ROB grapes.” That implies Rob was the sole recipient of grapes. In S2, “Sam also gave Rob oranges” is compatible, because giving Rob something else (oranges) does not violate the exclusivity of Rob being the only grape recipient. S2 only adds that Rob also got oranges, which is possible and consistent. Therefore, S2 is entailed by S1.",,,2,POS,1,ns1,audio,openai,gpt-audio,20260503_142543,chatcmpl-DbS3WejQQ2EQ5mZAwOvgioRWunJmQ,0,speaker2
5,0,Sam only gave ELLEN grapes.,Sam didn't give Tom grapes.,A,1,A,,,,"in S1, the prosodic focus is on “TOM”: “Sam only gave TOM oranges.” This means the only person who got oranges was Tom. S2: “Sam didn’t give Tom bananas” does not contradict this—it is consistent with S1. S1 only says Tom got oranges, and S2 confirms that Tom didn’t get bananas. There’s no contradiction, so S2 is entailed by S1.",,,1,NEG,1,ns1,audio,openai,gpt-audio,20260503_142543,chatcmpl-DbS3WejQQ2EQ5mZAwOvgioRWunJmQ,0,speaker2
6,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,0,A,,,,"in S1, the prosodic focus is on “ELLEN”: “Sam only gave ELLEN bananas.” This means Ellen was the sole recipient of bananas. In S2: “Sam also gave Mary bananas,” there’s an expansion—another recipient of bananas, Mary, is introduced. Since S1’s focus on Ellen as the only recipient is now joined by another recipient, it updates the situation without direct contradiction. Therefore, S2 is entailed by S1 as a broader scenario.",,,2,POS,2,ns1,audio,openai,gpt-audio,20260503_142543,chatcmpl-DbS3WejQQ2EQ5mZAwOvgioRWunJmQ,0,speaker2
7,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,0,A,,,,"in S1, the prosodic focus is on “ELLEN”: “Sam only gave ELLEN grapes.” This means Ellen was the only person who got grapes. S2: “Sam didn’t give Tom grapes” is consistent with S1. Since Ellen got the grapes, and S2 confirms Tom did not get grapes, it aligns fully with S1. So, S2 is entailed by S1.",,,1,NEG,2,ns1,audio,openai,gpt-audio,20260503_142543,chatcmpl-DbS3WejQQ2EQ5mZAwOvgioRWunJmQ,0,speaker2
0,0,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,0,B,,,,"in S1, ""Sam only gave BILL grapes"" means Bill was the only recipient of grapes. In S2, ""Sam also gave Sue grapes"" introduces Sue as an additional recipient. This does not contradict S1 but adds new information, making the sentences independent.",,,1,POS,1,ns1,audio,openai,gpt-audio,20260503_142543,chatcmpl-DbS3uQAcHXoAinobpuVoRQYPNKaoH,1,speaker2
1,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,0,C,,,,"in S1, ""Sam only gave SUE oranges"" means Sue was the only recipient of oranges. In S2, ""Sam didn’t give Rob oranges"" logically follows from that. Therefore, the second sentence is entailed by the first.",,,2,NEG,1,ns1,audio,openai,gpt-audio,20260503_142543,chatcmpl-DbS3uQAcHXoAinobpuVoRQYPNKaoH,1,speaker2
4,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,1,B,,,,"in S1, ""Sam only gave ELLEN bananas"" means Ellen was the only recipient of bananas. In S2, ""Sam also gave Mary bananas"" contradicts the exclusivity implied by S1. Thus, the second sentence contradicts the first.",,,2,POS,1,ns1,audio,openai,gpt-audio,20260503_142543,chatcmpl-DbS3uQAcHXoAinobpuVoRQYPNKaoH,1,speaker2
5,0,Sam only gave ELLEN grapes.,Sam didn't give Tom grapes.,A,0,C,,,,"in S1, ""Sam only gave ELLEN grapes"" means Ellen was the only recipient of grapes. In S2, ""Sam didn’t give Tom grapes"" logically follows from that, since no one else received grapes. So S2 is entailed by S1.",,,1,NEG,1,ns1,audio,openai,gpt-audio,20260503_142543,chatcmpl-DbS3uQAcHXoAinobpuVoRQYPNKaoH,1,speaker2
