example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
5,0,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,A,1,A,,,,"the first sentence focuses on Bill as the only recipient of grapes from Sam. The second sentence, stating that Sam also gave Sue grapes, confirms that Bill is not the only one to receive grapes. This adjustment still aligns with the idea of giving Bill grapes, but adds another recipient, so the second statement is entailed by the first.",,,1,NEG,1,f1,audio,openai,gpt-4o-audio-preview,20260503_143132,chatcmpl-DbS95yvG61B3bD8zagERyAqfdpf8r,0,speaker0
6,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,0,A,,,,"the first sentence emphasizes that Sue is the only person who received oranges from Sam. The second sentence, stating that Sam also gave Rob oranges, expands the set of recipients but does not negate that Sue was among them. Thus, the information in the second sentence is entailed by the first.",,,2,POS,1,f1,audio,openai,gpt-4o-audio-preview,20260503_143132,chatcmpl-DbS95yvG61B3bD8zagERyAqfdpf8r,0,speaker0
7,0,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,B,0,A,,,,"the first sentence claims that Sue was the sole recipient of grapes from Sam. The second sentence, saying Sam did not give Ellen grapes, is consistent with that claim and does not contradict it; it rather supports and elaborates the exclusivity. Therefore, the second sentence is entailed by the first.",,,1,NEG,2,f1,audio,openai,gpt-4o-audio-preview,20260503_143132,chatcmpl-DbS95yvG61B3bD8zagERyAqfdpf8r,0,speaker0
8,0,Sam only gave Mary BANANAS.,Sam also gave Mary apples.,C,0,A,,,,"the first sentence says Sam only gave Tom apples, placing prosodic focus on ""Tom"" and on ""apples"". The second sentence, stating that Sam did not give Tom grapes, naturally follows since no other fruits besides apples were given to Tom. This is entailed.",,,2,POS,2,f1,audio,openai,gpt-4o-audio-preview,20260503_143132,chatcmpl-DbS95yvG61B3bD8zagERyAqfdpf8r,0,speaker0
9,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,0,A,,,,"the first sentence emphasizes that Rob was the only person who received oranges from Sam. The second sentence, stating that Sam also gave Rob apples, does not contradict this but adds more information about what else Rob received. The exclusivity in the first sentence referred to oranges, and adding more fruits does not contradict that focus, making the second sentence entailed.",,,2,NEG,1,f1,audio,openai,gpt-4o-audio-preview,20260503_143132,chatcmpl-DbS95yvG61B3bD8zagERyAqfdpf8r,0,speaker0
0,0,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,0,B,,,,the first sentence focuses on Bill receiving grapes and the second sentence introduces a new piece of information that Sue also received grapes. These pieces of information are independent of each other.,,,1,POS,1,f1,audio,openai,gpt-4o-audio-preview,20260503_143132,chatcmpl-DbS9GHI8pNRljM1RK373CuopoGQ6v,1,speaker0
1,0,Sam only gave SUE oranges.,Sam also gave Rob oranges.,C,0,B,,,,"the first sentence focuses on Sue receiving oranges, and the second sentence adds a different fact about Rob also receiving oranges. These two facts do not contradict or entail each other; they are independent.",,,1,POS,1,f1,audio,openai,gpt-4o-audio-preview,20260503_143132,chatcmpl-DbS9GHI8pNRljM1RK373CuopoGQ6v,1,speaker0
2,0,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,A,1,A,,,,"the first sentence, by focusing on Sue getting grapes, implies that no one else received grapes. The second sentence supports this idea by saying Ellen did not get grapes, so the second is entailed by the first.",,,1,NEG,1,f1,audio,openai,gpt-4o-audio-preview,20260503_143132,chatcmpl-DbS9GHI8pNRljM1RK373CuopoGQ6v,1,speaker0
3,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,0,C,,,,"the first sentence emphasizes that Tom only got apples, but the second sentence says Tom did not get grapes. These two statements contradict each other since ""only apples"" already implies that he didn't get anything else, including grapes.",,,1,NEG,2,f1,audio,openai,gpt-4o-audio-preview,20260503_143132,chatcmpl-DbS9GHI8pNRljM1RK373CuopoGQ6v,1,speaker0
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,0,B,,,,"the first sentence focuses on Rob receiving oranges, while the second sentence adds new and different information that Rob also received apples. These two are independent facts.",,,2,POS,2,f1,audio,openai,gpt-4o-audio-preview,20260503_143132,chatcmpl-DbS9GHI8pNRljM1RK373CuopoGQ6v,1,speaker0
5,0,Sam only gave SUE apples.,Sam didn't give Sue oranges.,B,0,A,,,,both sentences indicate that Sue received something from Sam but not Rob. They emphasize different items given to Sue and confirm that Rob did not receive bananas.,,,1,NEG,2,f2,audio,openai,gpt-4o-audio-preview,20260503_143132,chatcmpl-DbS9PPBGsl8M6UFUtPIdwEd8uMFid,0,speaker0
6,0,Sam only gave Sue GRAPES.,Sam didn't give Sue apples.,A,1,A,,,,"both sentences indicate that Tom received something from Sam but not bananas. The focus is on Tom receiving oranges, and the negative statement about not receiving bananas stays consistent.",,,2,NEG,2,f2,audio,openai,gpt-4o-audio-preview,20260503_143132,chatcmpl-DbS9PPBGsl8M6UFUtPIdwEd8uMFid,0,speaker0
7,0,Sam only gave ELLEN oranges.,Sam also gave Ellen bananas.,B,0,A,,,,both sentences indicate Sue received apples but not oranges. The prosodic focus confirms the same items were given to Sue and the same items were excluded.,,,1,POS,2,f2,audio,openai,gpt-4o-audio-preview,20260503_143132,chatcmpl-DbS9PPBGsl8M6UFUtPIdwEd8uMFid,0,speaker0
8,0,Sam only gave MARY grapes.,Sam didn't give Mary apples.,B,0,A,,,,both sentences indicate Sue received grapes but not apples. The prosodic focus confirms what Sue got and what she didn't get are consistent across both statements.,,,1,NEG,2,f2,audio,openai,gpt-4o-audio-preview,20260503_143132,chatcmpl-DbS9PPBGsl8M6UFUtPIdwEd8uMFid,0,speaker0
9,0,Sam only gave BILL oranges.,Sam also gave Mary oranges.,C,0,A,,,,"both sentences indicate Ellen received both oranges and bananas, while Mary received grapes but not apples. The focus on the recipients is consistent and confirms the same events in both sentences.",,,1,POS,1,f2,audio,openai,gpt-4o-audio-preview,20260503_143132,chatcmpl-DbS9PPBGsl8M6UFUtPIdwEd8uMFid,0,speaker0
0,0,Sam only gave ROB bananas.,Sam didn't give Tom bananas.,A,0,C,,,,"in S1 the focus is on Rob, and it states that Sam only gave Rob bananas, excluding Tom from receiving bananas. However, in S2, it shifts the focus to Tom, stating that Sam only gave Tom grapes. The two statements contradict each other regarding the distribution of bananas and grapes to Rob and Tom.",,,1,NEG,1,f2,audio,openai,gpt-4o-audio-preview,20260503_143132,chatcmpl-DbS9aPf8guDsZPkpvOx0o3nwYEWhm,1,speaker0
1,0,Sam only gave TOM grapes.,Sam didn't give Tom oranges.,B,1,B,,,,"in S1 the focus is on Sue receiving oranges and apples, while in S2 the focus shifts to Sue receiving bananas and not giving anything to Rob. The two statements are independent because they discuss different combinations of recipients and items without any direct logical connection.",,,1,NEG,2,f2,audio,openai,gpt-4o-audio-preview,20260503_143132,chatcmpl-DbS9aPf8guDsZPkpvOx0o3nwYEWhm,1,speaker0
2,0,Sam only gave SUE oranges.,Sam also gave Sue apples.,B,0,A,,,,"in S1 the focus is on Tom receiving oranges and not bananas, and in S2 the focus remains on Tom, confirming the same pattern (Tom did not get bananas). Therefore, S2 is entailed by S1.",,,1,POS,2,f2,audio,openai,gpt-4o-audio-preview,20260503_143132,chatcmpl-DbS9aPf8guDsZPkpvOx0o3nwYEWhm,1,speaker0
3,0,Sam only gave SUE bananas.,Sam didn't give Rob bananas.,A,0,C,,,,"in S1 the focus is on Sue receiving apples but not oranges, while in S2 the focus switches to Sue receiving grapes and not apples. The two statements contradict each other regarding what Sue actually received (apples or not).",,,1,NEG,1,f2,audio,openai,gpt-4o-audio-preview,20260503_143132,chatcmpl-DbS9aPf8guDsZPkpvOx0o3nwYEWhm,1,speaker0
4,0,Sam only gave Tom ORANGES.,Sam didn't give Tom bananas.,A,0,B,,,,"in S1 the focus is on Ellen receiving oranges and bananas, while S2 talks about Mary receiving grapes and not apples. They discuss different individuals and different items, making the two statements independent.",,,2,NEG,2,f2,audio,openai,gpt-4o-audio-preview,20260503_143132,chatcmpl-DbS9aPf8guDsZPkpvOx0o3nwYEWhm,1,speaker0
5,0,Sam only gave Rob APPLES.,Sam didn't give Sue apples.,B,0,A,,,,"the first sentence says Sam only gave Ellen grapes and didn't give Tom grapes. The second sentence mentions Sam only gave Ellen apples and didn't give Ellen apples, which contradicts itself. Therefore, both imply that there's a focus on who got something (Ellen), and what was given (grapes versus apples). So the second sentence entails the rule established by the first one but changes the object, staying within the same logical structure.",,,2,NEG,1,f3,audio,openai,gpt-4o-audio-preview,20260503_143132,chatcmpl-DbS9rD10KFmKvbyl87Wot9Y28RAdh,0,speaker0
6,0,Sam only gave ROB oranges.,Sam also gave Rob apples.,B,0,A,,,,"in the first sentence, Sam only gave Rob grapes and also gave Ellen grapes. The second sentence changes the object to apples but follows the same sentence structure and logical relationship (someone receiving apples, and someone else receiving apples too instead of just one person).",,,1,POS,2,f3,audio,openai,gpt-4o-audio-preview,20260503_143132,chatcmpl-DbS9rD10KFmKvbyl87Wot9Y28RAdh,0,speaker0
7,0,Sam only gave ROB apples.,Sam also gave Rob grapes.,B,0,A,,,,"the first sentence says Sam only gave Ellen apples and didn't give Bill apples. The second sentence follows the same pattern by saying Sam only gave Rob apples and didn’t give Sue apples. These two statements have similar logical structures and entail the same kind of relationship, just with different people.",,,1,POS,2,f3,audio,openai,gpt-4o-audio-preview,20260503_143132,chatcmpl-DbS9rD10KFmKvbyl87Wot9Y28RAdh,0,speaker0
8,0,Sam only gave ROB bananas.,Sam didn't give Ellen bananas.,A,1,A,,,,"the first sentence says Sam only gave Rob oranges and also gave Rob apples, meaning he didn’t only give oranges. The second sentence follows the same logic by saying Sam only gave Rob apples and also gave Rob grapes. Both focus on what was given to Rob and that it wasn’t just one thing, inherently entailing the same type of relationship.",,,1,NEG,1,f3,audio,openai,gpt-4o-audio-preview,20260503_143132,chatcmpl-DbS9rD10KFmKvbyl87Wot9Y28RAdh,0,speaker0
9,0,Sam only gave Mary APPLES.,Sam also gave Ellen apples.,B,0,A,,,,"the first sentence says Sam only gave Rob bananas and didn’t give Ellen bananas, focusing on a limited recipient of bananas. The second sentence follows the same logic with Mary instead of Rob and apples instead of bananas, plus noting that Sam also gave Ellen apples, so it stays within the same logical structure and relationship.",,,2,POS,1,f3,audio,openai,gpt-4o-audio-preview,20260503_143132,chatcmpl-DbS9rD10KFmKvbyl87Wot9Y28RAdh,0,speaker0
0,0,Sam only gave ELLEN grapes.,Sam didn't give Tom grapes.,A,0,C,,,,"in S1, the focus is on ""Ellen"" and it implies that Sam only gave grapes to Ellen and not to others like Tom. S2 contradicts that by saying Sam only gave apples to Ellen and outright denies giving her apples altogether, which is inconsistent with S1.",,,1,NEG,1,f3,audio,openai,gpt-4o-audio-preview,20260503_143132,chatcmpl-DbSAIYhRLcO4otOQ85s1DwQ8RhBli,1,speaker0
1,0,Sam only gave Ellen APPLES.,Sam didn't give Ellen oranges.,A,0,C,,,,"in S1, Sam gave Rob grapes and also Ellen grapes, while S2 says Sam only gave Rob apples and also Ellen apples. The content directly contradicts the items given to each person.",,,2,NEG,2,f3,audio,openai,gpt-4o-audio-preview,20260503_143132,chatcmpl-DbSAIYhRLcO4otOQ85s1DwQ8RhBli,1,speaker0
2,0,Sam only gave Rob GRAPES.,Sam also gave Ellen grapes.,B,0,A,,,,"in S1, Sam only gave Ellen apples and didn’t give Bill apples. That logically entails that he gave no apples to anyone but Ellen, so S2, which says Sam only gave Rob apples and not Sue, still supports the fact that no one else received apples except where already mentioned.",,,2,POS,1,f3,audio,openai,gpt-4o-audio-preview,20260503_143132,chatcmpl-DbSAIYhRLcO4otOQ85s1DwQ8RhBli,1,speaker0
3,0,Sam only gave Rob APPLES.,Sam also gave Ellen apples.,B,1,B,,,,"S1 mentions Rob receiving both oranges and apples, while S2 focuses on Rob receiving apples and also grapes. Both sets of information can stand without contradiction or necessary implication.",,,2,POS,1,f3,audio,openai,gpt-4o-audio-preview,20260503_143132,chatcmpl-DbSAIYhRLcO4otOQ85s1DwQ8RhBli,1,speaker0
