example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id
0,0,Sam only gave Ellen GRAPES.,Sam also gave Ellen oranges.,C,1,C,1,Sam only gave Ellen GRAPES.,Sam also gave Ellen oranges.,"S1 says Ellen received only grapes from Sam (nothing else). S2 says she also got oranges, which contradicts S1.",0.0,0.0,2,POS,2,f5,oracle,openai,gpt-5,20251218_174413,
1,0,Sam only gave ELLEN apples.,Sam also gave Rob apples.,C,1,C,1,Sam only gave ELLEN apples.,Sam also gave Rob apples.,"S1 says Ellen is the only person who got apples from Sam. S2 says Rob also got apples, which contradicts S1.",0.0,0.0,1,POS,1,f5,oracle,openai,gpt-5,20251218_174413,
2,0,Sam only gave MARY oranges.,Sam didn't give Mary bananas.,B,1,B,1,Sam only gave MARY oranges.,Sam didn't give Mary bananas.,"S1 restricts who received oranges (only Mary), not what Mary received overall. It doesn't tell us whether Mary got bananas.",0.0,0.0,1,NEG,2,f5,oracle,openai,gpt-5,20251218_174413,
3,0,Sam only gave MARY oranges.,Sam also gave Tom oranges.,C,1,C,1,Sam only gave MARY oranges.,Sam also gave Tom oranges.,"S1 says only Mary received oranges. S2 says Tom also received oranges, which contradicts S1.",0.0,0.0,1,POS,1,f5,oracle,openai,gpt-5,20251218_174413,
4,0,Sam only gave Mary ORANGES.,Sam didn't give Tom oranges.,B,1,B,1,Sam only gave Mary ORANGES.,Sam didn't give Tom oranges.,S1 says Mary received only oranges from Sam; it says nothing about whether Tom got oranges. So S2 is not entailed or contradicted.,0.0,0.0,2,NEG,1,f5,oracle,openai,gpt-5,20251218_174413,
5,0,Sam only gave Mary GRAPES.,Sam also gave Mary apples.,C,1,C,1,Sam only gave Mary GRAPES.,Sam also gave Mary apples.,"S1 says Mary received only grapes from Sam. S2 says she also got apples, which contradicts S1.",0.0,0.0,2,POS,2,f5,oracle,openai,gpt-5,20251218_174413,
6,0,Sam only gave SUE apples.,Sam also gave Mary apples.,C,1,C,1,Sam only gave SUE apples.,Sam also gave Mary apples.,"S1 says Sue is the only person who got apples. S2 says Mary also got apples, which contradicts S1.",0.0,0.0,1,POS,1,f5,oracle,openai,gpt-5,20251218_174413,
7,0,Sam only gave Bill ORANGES.,Sam also gave Bill bananas.,C,1,C,1,Sam only gave Bill ORANGES.,Sam also gave Bill bananas.,"S1 says Bill received only oranges from Sam. S2 says he also got bananas, which contradicts S1.",0.0,0.0,2,POS,2,f5,oracle,openai,gpt-5,20251218_174413,
8,0,Sam only gave Ellen BANANAS.,Sam also gave Ellen grapes.,C,1,C,1,Sam only gave Ellen BANANAS.,Sam also gave Ellen grapes.,"S1 says Ellen received only bananas from Sam. S2 says she also got grapes, which contradicts S1.",0.0,0.0,2,POS,2,f5,oracle,openai,gpt-5,20251218_174413,
9,0,Sam only gave Tom BANANAS.,Sam didn't give Tom oranges.,A,1,A,1,Sam only gave Tom BANANAS.,Sam didn't give Tom oranges.,"if Tom received only bananas from Sam, then he did not receive oranges.",0.0,0.0,2,NEG,2,f5,oracle,openai,gpt-5,20251218_174413,
