example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id
0,0,Sam only gave SUE apples.,Sam also gave Rob apples.,C,1,C,1,Sam only gave SUE apples.,Sam also gave Rob apples.,"the focus is on ""SUE"", it means Sam did not give anyone else apples. The statement that Sam also gave Rob apples contradicts this.",0.0,0.0,1,POS,1,f4,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmHBom3fwMcZHQbQwrxVpfkSbGRs
1,0,Sam only gave Bill APPLES.,Sam didn't give Mary apples.,B,0,A,0,Sam only gave BILL apples.,Sam didn’t give Mary apples.,"the focus is on ""BILL"", it means Sam did not give apples to anyone else besides Bill. Therefore, it’s entailed that Mary didn’t get any apples.",0.0,0.037037037037037035,2,NEG,1,f4,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmHBom3fwMcZHQbQwrxVpfkSbGRs
2,0,Sam only gave MARY oranges.,Sam also gave Ellen oranges.,C,1,C,1,Sam only gave MARY oranges.,Sam also gave Ellen oranges.,"the focus is on ""MARY"", it means Sam did not give oranges to anyone else. Therefore, the second sentence contradicts the first.",0.0,0.0,1,POS,1,f4,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmHBom3fwMcZHQbQwrxVpfkSbGRs
3,0,Sam only gave Ellen APPLES.,Sam didn't give Tom apples.,B,0,A,0,Sam only gave ELLEN apples.,Sam didn’t give Tom apples.,"the focus is on ""ELLEN"", it means Sam did not give apples to anyone else. Therefore, it’s entailed that Tom didn’t get any apples.",0.0,0.038461538461538464,2,NEG,1,f4,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmHBom3fwMcZHQbQwrxVpfkSbGRs
4,0,Sam only gave ROB bananas.,Sam also gave Rob oranges.,B,1,B,1,Sam only gave ROB bananas.,Sam also gave Rob oranges.,"the focus is on ""ROB"" and ""bananas"", it only restricts the claim to the type of fruit he gave Rob. It says nothing about other fruits, so giving Rob oranges is independent.",0.0,0.0,1,POS,2,f4,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmHBom3fwMcZHQbQwrxVpfkSbGRs
5,0,Sam only gave Bill BANANAS.,Sam didn't give Bill grapes.,A,1,A,0,Sam only gave BILL bananas.,Sam didn’t give Bill grapes.,"the focus is on ""BILL"" and ""bananas"", it means Sam didn’t give anything else to Bill. Therefore, this entails that Bill didn’t get grapes.",0.0,0.037037037037037035,2,NEG,2,f4,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmHBom3fwMcZHQbQwrxVpfkSbGRs
6,0,Sam only gave Ellen ORANGES.,Sam didn't give Ellen grapes.,A,1,A,0,Sam only gave ELLEN oranges.,Sam didn’t give Ellen grapes.,"the focus is on ""ELLEN"" and ""oranges"", it means Sam didn’t give Ellen any other fruit. Therefore, it’s entailed that Ellen didn’t get grapes.",0.0,0.03571428571428571,2,NEG,2,f4,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmHBom3fwMcZHQbQwrxVpfkSbGRs
7,0,Sam only gave Mary BANANAS.,Sam didn't give Ellen bananas.,B,1,B,0,Sam only gave MARY bananas.,Sam didn’t give Ellen bananas.,"the focus is on ""MARY"" and ""bananas"", it says nothing about Ellen. The information about Ellen is independent of the first sentence.",0.0,0.034482758620689655,2,NEG,1,f4,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmHBom3fwMcZHQbQwrxVpfkSbGRs
8,0,Sam only gave BILL bananas.,Sam didn't give Tom bananas.,A,1,A,1,Sam only gave BILL bananas.,Sam didn’t give Tom bananas.,"the focus is on ""BILL"" and ""bananas"", it means Sam didn’t give bananas to anyone else. Therefore, the fact that Tom didn’t get bananas is entailed.",0.0,0.037037037037037035,1,NEG,1,f4,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmHBom3fwMcZHQbQwrxVpfkSbGRs
9,0,Sam only gave Sue ORANGES.,Sam didn't give Sue grapes.,A,1,A,0,Sam only gave SUE oranges.,Sam didn’t give Sue grapes.,"the focus is on ""SUE"" and ""oranges"", it means Sam didn’t give Sue any other fruit. Therefore, it’s entailed that Sue didn’t get grapes.",0.0,0.038461538461538464,2,NEG,2,f4,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmHBom3fwMcZHQbQwrxVpfkSbGRs
