example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
0,0,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,0,B,,,,"S1 states that Sam only gave Bill grapes, but S2 introduces a new individual, Sue, and mentions that she also received grapes. The two statements are independent as they discuss different individuals and do not contradict or entail each other directly.",,,1,POS,1,ns1,audio,openai,gpt-4o-audio-preview,20260428_152456,chatcmpl-DZebBevPVI3mWpdFj8IbleIZJrmxL,,speaker1
1,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,0,C,,,,"S1 says Sam only gave Bill grapes, meaning no one else received anything. But S2 states that Sam only gave Sue oranges, which contradicts the exclusivity implied in S1.",,,2,NEG,1,ns1,audio,openai,gpt-4o-audio-preview,20260428_152456,chatcmpl-DZebBevPVI3mWpdFj8IbleIZJrmxL,,speaker1
2,0,Sam only gave ROB grapes.,Sam also gave Rob oranges.,B,0,A,,,,"S1 says Sam didn’t give Rob oranges, and S2 says Sam only gave Rob grapes, which aligns with S1 since giving grapes instead of oranges matches the negative information.",,,1,POS,2,ns1,audio,openai,gpt-4o-audio-preview,20260428_152456,chatcmpl-DZebBevPVI3mWpdFj8IbleIZJrmxL,,speaker1
3,0,Sam only gave Tom ORANGES.,Sam didn't give Tom bananas.,A,0,B,,,,"S1 says Sam also gave Rob oranges, and S2 says Sam only gave Tom oranges. The statements involve different people (Rob and Tom) and don't contradict or entail one another. They are independent.",,,2,NEG,2,ns1,audio,openai,gpt-4o-audio-preview,20260428_152456,chatcmpl-DZebBevPVI3mWpdFj8IbleIZJrmxL,,speaker1
4,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,1,B,,,,"S1 says Sam didn’t give Tom bananas, and S2 says Sam only gave Ellen bananas. These two statements are about different individuals and different fruits, so they are independent.",,,2,POS,1,ns1,audio,openai,gpt-4o-audio-preview,20260428_152456,chatcmpl-DZebBevPVI3mWpdFj8IbleIZJrmxL,,speaker1
5,0,Sam only gave ELLEN grapes.,Sam didn't give Tom grapes.,A,0,B,,,,"S1 says Sam also gave Mary bananas, and S2 says Sam only gave Ellen grapes. The statements discuss different people and different fruits, making them independent.",,,1,NEG,1,ns1,audio,openai,gpt-4o-audio-preview,20260428_152456,chatcmpl-DZebBevPVI3mWpdFj8IbleIZJrmxL,,speaker1
6,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,0,A,,,,"S1 says Sam didn’t give Tom grapes, and S2 says Sam only gave Rob oranges. Rob receiving oranges does not conflict with Tom not receiving grapes. There is no contradiction or independence; this is entailed.",,,2,POS,2,ns1,audio,openai,gpt-4o-audio-preview,20260428_152456,chatcmpl-DZebBevPVI3mWpdFj8IbleIZJrmxL,,speaker1
7,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,0,C,,,,"S1 says Sam also gave Rob apples, but S2 says Sam only gave Tom apples. The use of ""only"" in S2 excludes the possibility that Rob received apples, which contradicts S1.",,,1,NEG,2,ns1,audio,openai,gpt-4o-audio-preview,20260428_152456,chatcmpl-DZebBevPVI3mWpdFj8IbleIZJrmxL,,speaker1
0,0,Sam only gave BILL grapes.,Sam didn't give Bill oranges.,B,0,C,,,,"the first sentence asserts that Sam gave Bill only grapes and nothing else, while the second sentence asserts that Sam didn’t give Bill oranges. The second sentence is already implied by the first, so the specific negation of oranges is redundant.",,,1,NEG,2,ns2,audio,openai,gpt-4o-audio-preview,20260428_152456,chatcmpl-DZebK1WzCxp8XxaTl7G0noYVOwUmo,,speaker1
1,0,Sam only gave Ellen GRAPES.,Sam also gave Ellen oranges.,C,1,C,,,,the first sentence says Sam only gave Ellen grapes. This excludes any other items. The second sentence contradicts this by saying Sam also gave Ellen oranges.,,,2,POS,2,ns2,audio,openai,gpt-4o-audio-preview,20260428_152456,chatcmpl-DZebK1WzCxp8XxaTl7G0noYVOwUmo,,speaker1
