example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
0,0,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,1,C,0,Sam only gave Bill grapes.,Sam also gave Sue grapes.,"""only gave Bill"" implies exclusivity, so giving grapes to Sue would contradict S1.",0.0,0.0,1,POS,1,f1,baseline,openai,gpt-4o,20260519_142234,,,
1,0,Sam only gave SUE oranges.,Sam also gave Rob oranges.,C,1,C,0,Sam only gave Sue oranges.,Sam also gave Rob oranges.,"""only gave Sue"" implies no one else received oranges, contradicting S2 which mentions Rob also received them.",0.0,0.0,1,POS,1,f1,baseline,openai,gpt-4o,20260519_142234,,,
2,0,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,A,1,A,0,Sam only gave Sue grapes.,Sam didn't give Ellen grapes.,"""only gave Sue"" entails that no one else, including Ellen, received grapes.",0.0,0.0,1,NEG,1,f1,baseline,openai,gpt-4o,20260519_142234,,,
3,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,0,A,0,Sam only gave Tom apples.,Sam didn't give Tom grapes.,"if Sam only gave Tom apples, he didn't give him anything else, including grapes.",0.0,0.0,1,NEG,2,f1,baseline,openai,gpt-4o,20260519_142234,,,
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,1,C,0,Sam only gave Rob oranges.,Sam also gave Rob apples.,"""only gave Rob oranges"" means he did not give any other thing to Rob, contradicting S2 where it says Rob got apples too.",0.0,0.0,2,POS,2,f1,baseline,openai,gpt-4o,20260519_142234,,,
5,0,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,A,1,A,0,Sam only gave Sue grapes.,Sam didn't give Tom grapes.,"if the grapes were only given to Sue, then Tom did not receive any, aligning with S2.",0.0,0.0,1,NEG,1,f1,baseline,openai,gpt-4o,20260519_142234,,,
6,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,0,C,0,Sam only gave Ellen bananas.,Sam also gave Mary bananas.,"""only gave Ellen"" suggests exclusivity, contradicting S2 where Mary is also said to receive bananas.",0.0,0.0,2,POS,1,f1,baseline,openai,gpt-4o,20260519_142234,,,
7,0,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,B,0,A,0,Sam only gave Rob bananas.,Sam didn't give Rob oranges.,"if only bananas were given to Rob, then he did not receive any other items, including oranges.",0.0,0.0,1,NEG,2,f1,baseline,openai,gpt-4o,20260519_142234,,,
8,0,Sam only gave Mary BANANAS.,Sam also gave Mary apples.,C,1,C,0,Sam only gave Mary bananas.,Sam also gave Mary apples.,"""only gave Mary bananas"" suggests she received nothing else, contradicting S2 which states she also got apples.",0.0,0.0,2,POS,2,f1,baseline,openai,gpt-4o,20260519_142234,,,
9,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,0,A,0,Sam only gave Sue oranges.,Sam didn't give Rob oranges.,"if the oranges were only given to Sue, it follows that no oranges were given to Rob.",0.0,0.0,2,NEG,1,f1,baseline,openai,gpt-4o,20260519_142234,,,
