example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold
0,0,Sam only gave Bill BANANAS.,Sam also gave Bill grapes.,C,1,C,1,Sam only gave Bill BANANAS.,Sam also gave Bill grapes.,"S1 states that Sam gave Bill *only* bananas, implying he gave him nothing else. S2 states he also gave him grapes, which contradicts the ""only"" condition in S1.",0.0,0.0,2,POS,2,f7,audio,gemini,gemini-2.5-flash,20260223_174122,,
1,0,Sam only gave MARY apples.,Sam also gave Ellen apples.,C,1,C,1,Sam only gave MARY apples.,Sam also gave Ellen apples.,"S1 states that Sam gave *only* Mary apples, implying he gave apples to no one else. S2 states he also gave Ellen apples, which contradicts the ""only"" condition in S1.",0.0,0.0,1,POS,1,f7,audio,gemini,gemini-2.5-flash,20260223_174122,,
2,0,Sam only gave Sue APPLES.,Sam also gave Tom apples.,B,0,C,0,Sam only gave SUE apples.,Sam also gave Tom apples.,"S1 states that Sam gave *only* Sue apples, implying he gave apples to no one else. S2 states he also gave Tom apples, which contradicts the ""only"" condition in S1.",0.0,0.0,2,POS,1,f7,audio,gemini,gemini-2.5-flash,20260223_174122,,
3,0,Sam only gave BILL grapes.,Sam didn't give Bill oranges.,B,0,A,0,Sam only gave Bill GRAPES.,Sam didn't give Bill oranges.,"S1 states that Sam gave Bill *only* grapes. If he only gave him grapes, it is necessarily true that he did not give him oranges.",0.0,0.0,1,NEG,2,f7,audio,gemini,gemini-2.5-flash,20260223_174122,,
4,0,Sam only gave BILL apples.,Sam didn't give Bill bananas.,B,0,A,0,Sam only gave Bill APPLES.,Sam didn't give Bill bananas.,"S1 states that Sam gave Bill *only* apples. If he only gave him apples, it is necessarily true that he did not give him bananas.",0.0,0.0,1,NEG,2,f7,audio,gemini,gemini-2.5-flash,20260223_174122,,
5,0,Sam only gave SUE apples.,Sam didn't give Sue bananas.,B,0,A,0,Sam only gave Sue APPLES.,Sam didn't give Sue bananas.,"S1 states that Sam gave Sue *only* apples. If he only gave her apples, it is necessarily true that he did not give her bananas.",0.0,0.0,1,NEG,2,f7,audio,gemini,gemini-2.5-flash,20260223_174122,,
6,0,Sam only gave ELLEN oranges.,Sam didn't give Tom oranges.,A,1,A,1,Sam only gave ELLEN oranges.,Sam didn't give Tom oranges.,"S1 states that Sam gave *only* Ellen oranges. If he only gave Ellen oranges, it is necessarily true that he did not give Tom oranges.",0.0,0.0,1,NEG,1,f7,audio,gemini,gemini-2.5-flash,20260223_174122,,
7,0,Sam only gave TOM apples.,Sam didn't give Mary apples.,A,1,A,1,Sam only gave TOM apples.,Sam didn't give Mary apples.,"S1 states that Sam gave *only* Tom apples. If he only gave Tom apples, it is necessarily true that he did not give Mary apples.",0.0,0.0,1,NEG,1,f7,audio,gemini,gemini-2.5-flash,20260223_174122,,
8,0,Sam only gave Tom APPLES.,Sam also gave Bill apples.,B,0,C,0,Sam only gave TOM apples.,Sam also gave Bill apples.,"S1 states that Sam gave *only* Tom apples, implying he gave apples to no one else. S2 states he also gave Bill apples, which contradicts the ""only"" condition in S1.",0.0,0.0,2,POS,1,f7,audio,gemini,gemini-2.5-flash,20260223_174122,,
9,0,Sam only gave Sue BANANAS.,Sam didn't give Tom bananas.,B,0,A,0,Sam only gave SUE bananas.,Sam didn't give Tom bananas.,"S1 states that Sam gave *only* Sue bananas. If he only gave Sue bananas, it is necessarily true that he did not give Tom bananas.",0.0,0.0,2,NEG,1,f7,audio,gemini,gemini-2.5-flash,20260223_174122,,
