example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
5,0,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,A,1,A,,,,"for S1 to entail S2, ""Sam only gave **Bill** grapes"" must be interpreted in a non-standard way where ""only"" emphasizes Bill as a recipient without strictly precluding other recipients. If S1 is understood as a partial statement of Sam's grape-giving activities, then S2, stating that Sam also gave grapes to Sue, could be considered an entailed detail within the broader context of Sam's actions.",,,1,NEG,1,f1,audio,gemini,gemini-2.5-flash,20260503_173518,,0,speaker0
6,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,0,A,,,,"for S1 to entail S2, ""Sam only gave **Sue** oranges"" must be interpreted in a non-standard way where ""only"" emphasizes Sue as a recipient without strictly precluding other recipients like Rob. If S1 is understood as a partial statement, then S2, which states Sam also gave Rob oranges, could be considered an entailed detail within the broader scope of Sam's orange-giving.",,,2,POS,1,f1,audio,gemini,gemini-2.5-flash,20260503_173518,,0,speaker0
7,0,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,B,0,A,,,,"if Sam only gave grapes to Sue, it implies that Sue was the sole recipient of grapes from Sam. Consequently, Sam did not give grapes to anyone else, including Ellen. Therefore, S1 directly entails S2.",,,1,NEG,2,f1,audio,gemini,gemini-2.5-flash,20260503_173518,,0,speaker0
8,0,Sam only gave Mary BANANAS.,Sam also gave Mary apples.,C,0,A,,,,"for S1 to entail S2, ""Sam only gave **Tom** apples"" must be interpreted as meaning that the only type of fruit Sam gave to Tom was apples. If the only thing Sam gave to Tom was apples, then Sam necessarily did not give Tom grapes. This interpretation of ""only"" places the restriction on the type of item given to Tom, rather than on Tom being the unique recipient of apples.",,,2,POS,2,f1,audio,gemini,gemini-2.5-flash,20260503_173518,,0,speaker0
9,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,0,A,,,,"for S1 to entail S2, ""Sam only gave **Rob** oranges"" must imply that Sam also gave Rob apples. This requires a non-standard interpretation where ""only"" restricts the type of item given to Rob (i.e., the only thing Sam gave to Rob was oranges), and S2 is then understood as an additional, entailed detail about Rob's gifts, implying that the ""only"" in S1 was not strictly exclusive of other items.",,,2,NEG,1,f1,audio,gemini,gemini-2.5-flash,20260503_173518,,0,speaker0
0,0,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,1,C,,,,"S1 states that Sam only gave grapes to Bill, implying he did not give grapes to anyone else. S2 states that Sam also gave Sue grapes, which contradicts S1.",,,1,POS,1,f1,audio,gemini,gemini-2.5-flash,20260503_173518,,1,speaker0
1,0,Sam only gave SUE oranges.,Sam also gave Rob oranges.,C,1,C,,,,"S1 states that Sam only gave oranges to Sue, implying he did not give oranges to anyone else. S2 states that Sam also gave Rob oranges, which contradicts S1.",,,1,POS,1,f1,audio,gemini,gemini-2.5-flash,20260503_173518,,1,speaker0
2,0,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,A,1,A,,,,"S1 states that Sam only gave grapes to Sue, implying he did not give grapes to anyone else. Since Ellen is not Sue, S1 entails that Sam didn't give Ellen grapes.",,,1,NEG,1,f1,audio,gemini,gemini-2.5-flash,20260503_173518,,1,speaker0
3,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,1,B,,,,"S1 states that Tom was the only person Sam gave apples to. This does not restrict what other items Sam might have given to Tom. Therefore, S1 does not entail whether Sam gave Tom grapes or not.",,,1,NEG,2,f1,audio,gemini,gemini-2.5-flash,20260503_173518,,1,speaker0
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,1,C,,,,"S1 states that the only thing Sam gave Rob was oranges. S2 states that Sam also gave Rob apples, which contradicts S1's claim that oranges were the *only* thing given to Rob.",,,2,POS,2,f1,audio,gemini,gemini-2.5-flash,20260503_173518,,1,speaker0
