example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
0,0,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,1,C,,,,"S1 has prosodic focus on ""BILL"", meaning Sam gave grapes to Bill and nobody else. S2 states that Sam also gave Sue grapes, which contradicts S1.",,,1,POS,1,ns1,audio,gemini,gemini-3.1-pro-preview,20260428_152504,,,speaker2
1,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,0,A,,,,"S1 has prosodic focus on ""SUE"", meaning Sam gave oranges to Sue and nobody else. S2 states that Sam didn't give Rob oranges, which is entailed by S1.",,,2,NEG,1,ns1,audio,gemini,gemini-3.1-pro-preview,20260428_152504,,,speaker2
2,0,Sam only gave ROB grapes.,Sam also gave Rob oranges.,B,1,B,,,,"S1 has prosodic focus on ""ROB"", meaning Sam gave grapes to Rob and nobody else. S2 states that Sam also gave Rob oranges, which is independent of S1 since S1 only restricts who received grapes, not what else Rob might have received.",,,1,POS,2,ns1,audio,gemini,gemini-3.1-pro-preview,20260428_152504,,,speaker2
3,0,Sam only gave Tom ORANGES.,Sam didn't give Tom bananas.,A,1,A,,,,"S1 has prosodic focus on ""ORANGES"", meaning the only thing Sam gave Tom was oranges. S2 states that Sam didn't give Tom bananas, which is entailed by S1.",,,2,NEG,2,ns1,audio,gemini,gemini-3.1-pro-preview,20260428_152504,,,speaker2
4,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,0,C,,,,"S1 has prosodic focus on ""ELLEN"", meaning Sam gave bananas to Ellen and nobody else. S2 states that Sam also gave Mary bananas, which contradicts S1.",,,2,POS,1,ns1,audio,gemini,gemini-3.1-pro-preview,20260428_152504,,,speaker2
5,0,Sam only gave ELLEN grapes.,Sam didn't give Tom grapes.,A,1,A,,,,"S1 has prosodic focus on ""ELLEN"", meaning Sam gave grapes to Ellen and nobody else. S2 states that Sam didn't give Tom grapes, which is entailed by S1.",,,1,NEG,1,ns1,audio,gemini,gemini-3.1-pro-preview,20260428_152504,,,speaker2
6,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,1,C,,,,"S1 has prosodic focus on ""ORANGES"", meaning the only thing Sam gave Rob was oranges. S2 states that Sam also gave Rob apples, which contradicts S1.",,,2,POS,2,ns1,audio,gemini,gemini-3.1-pro-preview,20260428_152504,,,speaker2
7,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,0,A,,,,"S1 has prosodic focus on ""APPLES"", meaning the only thing Sam gave Tom was apples. S2 states that Sam didn't give Tom grapes, which is entailed by S1.",,,1,NEG,2,ns1,audio,gemini,gemini-3.1-pro-preview,20260428_152504,,,speaker2
0,0,Sam only gave BILL grapes.,Sam didn't give Bill oranges.,B,0,A,,,,"S1 focuses on ""grapes"", meaning Sam gave Bill nothing else. Therefore, he didn't give him oranges, which entails S2.",,,1,NEG,2,ns2,audio,gemini,gemini-3.1-pro-preview,20260428_152504,,,speaker2
1,0,Sam only gave Ellen GRAPES.,Sam also gave Ellen oranges.,C,1,C,,,,"S1 focuses on ""grapes"", meaning Sam gave Ellen nothing else. S2 states he also gave her oranges, which contradicts S1.",,,2,POS,2,ns2,audio,gemini,gemini-3.1-pro-preview,20260428_152504,,,speaker2
2,0,Sam only gave BILL bananas.,Sam didn't give Tom bananas.,A,1,A,,,,"S1 focuses on ""Bill"", meaning Sam gave bananas to nobody else. Therefore, he didn't give Tom bananas, which entails S2.",,,1,NEG,1,ns2,audio,gemini,gemini-3.1-pro-preview,20260428_152504,,,speaker2
3,0,Sam only gave Ellen ORANGES.,Sam also gave Sue oranges.,B,0,C,,,,"S1 focuses on ""Ellen"", meaning Sam gave oranges to nobody else. S2 states he also gave Sue oranges, which contradicts S1.",,,2,POS,1,ns2,audio,gemini,gemini-3.1-pro-preview,20260428_152504,,,speaker2
4,0,Sam only gave TOM apples.,Sam also gave Bill apples.,C,1,C,,,,"S1 focuses on ""Tom"", meaning Sam gave apples to nobody else. S2 states he also gave Bill apples, which contradicts S1.",,,1,POS,1,ns2,audio,gemini,gemini-3.1-pro-preview,20260428_152504,,,speaker2
5,0,Sam only gave Bill BANANAS.,Sam didn't give Bill grapes.,A,1,A,,,,"S1 focuses on ""bananas"", meaning Sam gave Bill nothing else. Therefore, he didn't give him grapes, which entails S2.",,,2,NEG,2,ns2,audio,gemini,gemini-3.1-pro-preview,20260428_152504,,,speaker2
6,0,Sam only gave ELLEN bananas.,Sam also gave Ellen grapes.,B,0,C,,,,"S1 focuses on ""bananas"", meaning Sam gave Ellen nothing else. S2 states he also gave her grapes, which contradicts S1.",,,1,POS,2,ns2,audio,gemini,gemini-3.1-pro-preview,20260428_152504,,,speaker2
