example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold
0,0,Sam only gave ROB oranges.,Sam didn't give Tom oranges.,A,0,B,0,Sam only gave ROB oranges. Sam didn’t give Tom oranges.,Sam only gave SUE grapes. Sam didn’t give Bill grapes.,the second statement talks about a different person (Sue and grapes versus Rob and oranges) and doesn’t relate or contradict the first statement.,0.5283018867924528,0.6346153846153846,1,NEG,1,f11,audio,openai,gpt-audio,20260428_125030,chatcmpl-DZcBXOA3ihMRqW73fs9t65glsDy8o,
1,0,Sam only gave SUE grapes.,Sam didn't give Bill grapes.,A,0,B,0,Sam only gave SUE oranges. Sam didn’t give Mary oranges.,Sam only gave ELLEN bananas. Sam didn’t give Ellen grapes.,"the second statement is about Ellen and bananas, while the first is about Sue and oranges. They are discussing different people and fruits, making them independent.",0.5740740740740741,0.5892857142857143,1,NEG,1,f11,audio,openai,gpt-audio,20260428_125030,chatcmpl-DZcBXOA3ihMRqW73fs9t65glsDy8o,
2,0,Sam only gave SUE oranges.,Sam didn't give Mary oranges.,A,0,B,0,Sam only gave ELLEN bananas. Sam didn’t give Ellen ORANGES.,Sam only gave ROB grapes. Sam didn’t give Rob apples.,"the second statement involves Rob and grapes, which is unrelated to Ellen and bananas or oranges mentioned in the first, making them independent.",0.5789473684210527,0.6862745098039216,1,NEG,1,f11,audio,openai,gpt-audio,20260428_125030,chatcmpl-DZcBXOA3ihMRqW73fs9t65glsDy8o,
3,0,Sam only gave ELLEN bananas.,Sam didn't give Ellen grapes.,B,1,B,0,Sam only gave ROB grapes. Sam didn’t give Rob APPLES.,Sam only gave BILL apples. Sam also gave Ellen apples.,"the second statement describes Bill and Ellen getting apples, while the first describes Rob getting grapes and not apples. These are independent statements about different people.",0.6078431372549019,0.6538461538461539,1,NEG,2,f11,audio,openai,gpt-audio,20260428_125030,chatcmpl-DZcBXOA3ihMRqW73fs9t65glsDy8o,
4,0,Sam only gave ELLEN bananas.,Sam didn't give Ellen oranges.,B,0,C,0,Sam only gave BILL APPLES. Sam also gave Ellen apples.,Sam only gave ELLEN apples. Sam also gave Sue apples.,"the first statement focuses on Bill being the only one initially given apples (with Ellen receiving apples also), while the second focuses on Ellen being the sole initial receiver and Sue also getting them. This contradicts the first.",0.5576923076923077,0.6470588235294118,1,NEG,2,f11,audio,openai,gpt-audio,20260428_125030,chatcmpl-DZcBXOA3ihMRqW73fs9t65glsDy8o,
5,0,Sam only gave ROB grapes.,Sam didn't give Rob apples.,B,1,B,0,Sam only gave ELLEN ORANGES. Sam also gave Rob oranges.,Sam only gave SUE apples. Sam also gave Bill apples.,"the second talks about Sue and Bill getting apples, while the first talks about Ellen and Rob getting oranges. These are independent contexts.",0.5849056603773585,0.66,1,NEG,2,f11,audio,openai,gpt-audio,20260428_125030,chatcmpl-DZcBXOA3ihMRqW73fs9t65glsDy8o,
6,0,Sam only gave BILL apples.,Sam also gave Ellen apples.,C,1,C,0,Sam only gave SUE APPLES. Sam also gave Bill apples.,Sam only gave ELLEN apples. Sam also gave Rob apples.,"the first statement says Sue was the only unique initial receiver of apples (and adds Bill), while the second says Ellen was the sole initial receiver (and adds Rob). These focus statements contradict each other.",0.5,0.5686274509803921,1,POS,1,f11,audio,openai,gpt-audio,20260428_125030,chatcmpl-DZcBXOA3ihMRqW73fs9t65glsDy8o,
7,0,Sam only gave ELLEN apples.,Sam also gave Sue apples.,C,0,B,0,Sam only gave ELLEN APPLES. Sam also gave Sue apples.,Sam only gave ELLEN ORANGES. Sam also gave Rob oranges.,"the first statement is about apples tied to Ellen and Sue, while the second is about oranges tied to Ellen and Rob. They do not relate directly and are independent.",0.49019607843137253,0.6792452830188679,1,POS,1,f11,audio,openai,gpt-audio,20260428_125030,chatcmpl-DZcBXOA3ihMRqW73fs9t65glsDy8o,
8,0,Sam only gave ELLEN oranges.,Sam also gave Rob oranges.,C,1,C,1,Sam only gave SUE apples. Sam also gave BILL apples.,Sam only gave ELLEN apples. Sam also gave SUE apples.,"the first says Sue was the only original receiver before adding Bill, while the second says Ellen was the only original receiver before adding Sue. This is a contradiction of focus.",0.56,0.6862745098039216,1,POS,1,f11,audio,openai,gpt-audio,20260428_125030,chatcmpl-DZcBXOA3ihMRqW73fs9t65glsDy8o,
9,0,Sam only gave SUE apples.,Sam also gave Bill apples.,C,0,B,1,Sam only gave ELLEN apples. Sam also gave ROB oranges.,Sam only gave SUE apples. Sam also gave BILL apples.,"the first discusses Ellen’s apples and Rob’s oranges, while the second talks about Sue’s apples and Bill’s apples, making them independent.",0.5769230769230769,0.5,1,POS,1,f11,audio,openai,gpt-audio,20260428_125030,chatcmpl-DZcBXOA3ihMRqW73fs9t65glsDy8o,
0,0,Sam only gave BILL grapes.,Sam also gave Bill apples.,B,0,C,1,Sam only gave BILL grapes.,Sam also gave BILL apples.,"S1 says grapes were the only thing given to Bill, while S2 says Bill also got apples, contradicting the exclusivity in S1.",0.0,0.0,1,POS,2,f12,audio,openai,gpt-audio,20260428_125030,chatcmpl-DZcBhVM7YejSIL3OQymBXgkL5Ja6M,
1,0,Sam only gave ROB apples.,Sam also gave Rob bananas.,B,0,C,1,Sam only gave ROB apples.,Sam also gave ROB bananas.,"S1 states that Sam gave only apples to Rob, but S2 claims bananas were also given, contradicting the exclusivity of apples in S1.",0.0,0.0,1,POS,2,f12,audio,openai,gpt-audio,20260428_125030,chatcmpl-DZcBhVM7YejSIL3OQymBXgkL5Ja6M,
2,0,Sam only gave ROB grapes.,Sam also gave Rob bananas.,B,0,C,1,Sam only gave ROB grapes.,Sam also gave ROB bananas.,"S1 says that Rob was given only grapes, while S2 states that Rob also received bananas, contradicting the exclusivity of grapes in S1.",0.0,0.0,1,POS,2,f12,audio,openai,gpt-audio,20260428_125030,chatcmpl-DZcBhVM7YejSIL3OQymBXgkL5Ja6M,
3,0,Sam only gave Rob ORANGES.,Sam didn't give Ellen oranges.,B,1,B,0,Sam only gave ROB oranges.,Sam didn’t give ELLEN oranges.,"S1 is about what was given to Rob, while S2 discusses what wasn’t given to Ellen. They are independent statements about different subjects.",0.0,0.034482758620689655,2,NEG,1,f12,audio,openai,gpt-audio,20260428_125030,chatcmpl-DZcBhVM7YejSIL3OQymBXgkL5Ja6M,
4,0,Sam only gave Sue APPLES.,Sam didn't give Rob apples.,B,1,B,0,Sam only gave SUE apples.,Sam didn’t give ROB apples.,"S1 talks about what Sue received, while S2 talks about what Rob didn’t receive. The focus is on different people, making the statements independent.",0.0,0.038461538461538464,2,NEG,1,f12,audio,openai,gpt-audio,20260428_125030,chatcmpl-DZcBhVM7YejSIL3OQymBXgkL5Ja6M,
5,0,Sam only gave Tom APPLES.,Sam didn't give Bill apples.,B,1,B,0,Sam only gave TOM apples.,Sam didn’t give BILL apples.,"S1 states the exclusivity of what Tom received, while S2 speaks about what Bill didn’t receive. These statements do not directly relate to each other.",0.0,0.037037037037037035,2,NEG,1,f12,audio,openai,gpt-audio,20260428_125030,chatcmpl-DZcBhVM7YejSIL3OQymBXgkL5Ja6M,
6,0,Sam only gave Tom BANANAS.,Sam didn't give Sue bananas.,B,0,C,0,Sam only gave TOM bananas.,Sam didn’t give SUE bananas.,"S1 says that only Tom was given bananas, implying nobody else got bananas. S2 states that Sue didn’t get bananas, which is consistent. Wait—actually, they align. The classification should be A.",0.0,0.037037037037037035,2,NEG,1,f12,audio,openai,gpt-audio,20260428_125030,chatcmpl-DZcBhVM7YejSIL3OQymBXgkL5Ja6M,
7,0,Sam only gave Sue APPLES.,Sam didn't give Sue oranges.,A,1,A,0,Sam only gave SUE apples.,Sam didn’t give SUE oranges.,"S1 says Sue only received apples, which implies she got no other fruit. S2 says she didn’t get oranges, which matches that implication.",0.0,0.037037037037037035,2,NEG,2,f12,audio,openai,gpt-audio,20260428_125030,chatcmpl-DZcBhVM7YejSIL3OQymBXgkL5Ja6M,
8,0,Sam only gave Sue BANANAS.,Sam didn't give Sue oranges.,A,1,A,0,Sam only gave SUE bananas.,Sam didn’t give SUE oranges.,"S1 states Sue exclusively received bananas, meaning she didn’t receive any other fruit. S2 confirms that she didn’t get oranges, which supports the exclusivity stated in S1.",0.0,0.037037037037037035,2,NEG,2,f12,audio,openai,gpt-audio,20260428_125030,chatcmpl-DZcBhVM7YejSIL3OQymBXgkL5Ja6M,
9,0,Sam only gave Sue ORANGES.,Sam didn't give Sue bananas.,A,1,A,0,Sam only gave SUE oranges.,Sam didn’t give SUE bananas.,"S1 says that Sue got only oranges, meaning no other fruit was given to her. S2 confirms this by stating she didn’t receive bananas, which aligns with the exclusivity in S1.",0.0,0.037037037037037035,2,NEG,2,f12,audio,openai,gpt-audio,20260428_125030,chatcmpl-DZcBhVM7YejSIL3OQymBXgkL5Ja6M,
0,0,Sam only gave Ellen BANANAS.,Sam also gave Tom bananas.,B,0,C,0,Sam only gave ELLEN bananas.,Sam also gave TOM bananas.,"S1 states that bananas were given only to Ellen, but S2 states that bananas were given to Tom as well, which contradicts the exclusivity in S1.",0.0,0.0,2,POS,1,f13,audio,openai,gpt-audio,20260428_125030,chatcmpl-DZcBqjbkPPf6S9cribrztp3Sm9nfR,
1,0,Sam only gave Ellen ORANGES.,Sam also gave Rob oranges.,B,0,C,0,Sam only gave ELLEN oranges.,Sam also gave ROB oranges.,"S1 claims oranges were given exclusively to Ellen, but S2 says oranges were also given to Rob, contradicting S1.",0.0,0.0,2,POS,1,f13,audio,openai,gpt-audio,20260428_125030,chatcmpl-DZcBqjbkPPf6S9cribrztp3Sm9nfR,
2,0,Sam only gave Rob BANANAS.,Sam also gave Ellen bananas.,B,0,C,0,Sam only gave ROB bananas.,Sam also gave ELLEN bananas.,"S1 says bananas were only given to Rob, while S2 says they were given to Ellen too, which directly contradicts S1.",0.0,0.0,2,POS,1,f13,audio,openai,gpt-audio,20260428_125030,chatcmpl-DZcBqjbkPPf6S9cribrztp3Sm9nfR,
