example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold
0,0,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,1,C,,,,"S1 states that Sam only gave grapes to Bill, implying he gave grapes to no one else. S2 states that Sam also gave Sue grapes, which contradicts the ""only"" clause in S1.",,,1,POS,1,f1,audio,gemini,gemini-2.5-flash,20260428_143340,,
1,0,Sam only gave SUE oranges.,Sam also gave Rob oranges.,C,1,C,,,,"S1 states that Sam only gave oranges to Sue, implying he gave oranges to no one else. S2 states that Sam also gave Rob oranges, which contradicts the ""only"" clause in S1.",,,1,POS,1,f1,audio,gemini,gemini-2.5-flash,20260428_143340,,
2,0,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,A,1,A,,,,"S1 states that Sam only gave grapes to Sue, implying he gave grapes to no one else. If he only gave grapes to Sue, then it is necessarily true that he didn't give grapes to Ellen.",,,1,NEG,1,f1,audio,gemini,gemini-2.5-flash,20260428_143340,,
3,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,1,B,,,,"S1 states that Sam only gave apples to Tom, implying he gave no other fruit to Tom. S2 states that Sam didn't give Tom grapes. S1 restricts the *type* of fruit Tom received (only apples), but doesn't specify whether Tom received grapes or not. It's possible he only received apples, and also received grapes (which would contradict the ""only"" on apples), or he only received apples and no grapes. The ""only"" in S1 is on the object 'apples', not the recipient 'Tom'. Wait, re-listening to the audio.",,,1,NEG,2,f1,audio,gemini,gemini-2.5-flash,20260428_143340,,
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,1,C,,,,"S1 states that Sam only gave Rob oranges, implying he gave Rob no other type of fruit. S2 states that Sam also gave Rob apples, which contradicts the ""only"" clause in S1.",,,2,POS,2,f1,audio,gemini,gemini-2.5-flash,20260428_143340,,
5,0,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,A,1,A,,,,"S1 states that Sam only gave grapes to Sue, implying he gave grapes to no one else. If he only gave grapes to Sue, then it is necessarily true that he didn't give grapes to Tom.",,,1,NEG,1,f1,audio,gemini,gemini-2.5-flash,20260428_143340,,
6,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,1,B,,,,"S1 states that Sam only gave Ellen bananas, implying he gave Ellen no other type of fruit. S2 states that Sam also gave Mary bananas. S1 restricts what Ellen received, but not who received bananas in general. Sam could have given Ellen only bananas, and also given bananas to Mary.",,,2,POS,1,f1,audio,gemini,gemini-2.5-flash,20260428_143340,,
7,0,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,B,0,A,,,,"S1 states that Sam only gave Rob bananas, implying he gave Rob no other type of fruit. If he only gave Rob bananas, then it is necessarily true that he didn't give Rob oranges.",,,1,NEG,2,f1,audio,gemini,gemini-2.5-flash,20260428_143340,,
8,0,Sam only gave Mary BANANAS.,Sam also gave Mary apples.,C,1,C,,,,"S1 states that Sam only gave Mary bananas, implying he gave Mary no other type of fruit. S2 states that Sam also gave Mary apples, which contradicts the ""only"" clause in S1.",,,2,POS,2,f1,audio,gemini,gemini-2.5-flash,20260428_143340,,
9,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,1,B,,,,"S1 states that Sam only gave Sue oranges, implying he gave Sue no other type of fruit. S2 states that Sam didn't give Rob oranges. S1 restricts what Sue received, but not who received oranges in general. Sam could have given Sue only oranges, and also given Rob oranges.",,,2,NEG,1,f1,audio,gemini,gemini-2.5-flash,20260428_143340,,
