model_name,file_id,example_index,focus,true_A,model_A,inf_correct,E_FOCUSID,E_INF
gemini-3.1-pro-preview,f1,0,1,C,C,1,True,True
gemini-3.1-pro-preview,f1,1,1,C,C,1,True,True
gemini-3.1-pro-preview,f1,2,1,A,A,1,True,True
gemini-3.1-pro-preview,f1,3,1,B,B,1,True,True
gemini-3.1-pro-preview,f1,4,2,C,C,1,True,True
gemini-3.1-pro-preview,f1,5,1,A,A,1,True,True
gemini-3.1-pro-preview,f1,6,2,B,B,1,True,True
gemini-3.1-pro-preview,f1,7,1,B,B,1,True,True
gemini-3.1-pro-preview,f1,8,2,C,C,1,True,True
gemini-3.1-pro-preview,f1,9,2,B,B,1,True,True
gemini-3.1-pro-preview,f2,0,1,A,A,1,True,True
gemini-3.1-pro-preview,f2,1,1,B,B,1,True,True
gemini-3.1-pro-preview,f2,2,1,B,B,1,True,True
gemini-3.1-pro-preview,f2,3,1,A,A,1,True,True
gemini-3.1-pro-preview,f2,4,2,A,A,1,True,True
gemini-3.1-pro-preview,f2,5,1,B,B,1,True,True
gemini-3.1-pro-preview,f2,6,2,A,A,1,True,True
gemini-3.1-pro-preview,f2,7,1,B,B,1,True,True
gemini-3.1-pro-preview,f2,8,1,B,A,0,False,False
gemini-3.1-pro-preview,f2,9,1,C,C,1,True,True
gemini-3.1-pro-preview,f3,0,1,A,A,1,True,True
gemini-3.1-pro-preview,f3,1,2,A,C,0,True,False
gemini-3.1-pro-preview,f3,2,2,B,B,1,True,True
gemini-3.1-pro-preview,f3,3,2,B,B,1,True,True
gemini-3.1-pro-preview,f3,4,2,B,B,1,True,True
gemini-3.1-pro-preview,f3,5,2,B,B,1,True,True
gemini-3.1-pro-preview,f3,6,1,B,B,1,True,True
gemini-3.1-pro-preview,f3,7,1,B,B,1,True,True
gemini-3.1-pro-preview,f3,8,1,A,A,1,True,True
gemini-3.1-pro-preview,f3,9,2,B,B,1,True,True
gemini-3.1-pro-preview,f4,0,1,C,C,1,True,True
gemini-3.1-pro-preview,f4,1,2,B,B,1,True,True
gemini-3.1-pro-preview,f4,2,1,C,C,1,True,True
gemini-3.1-pro-preview,f4,3,2,B,B,1,True,True
gemini-3.1-pro-preview,f4,4,1,B,B,1,True,True
gemini-3.1-pro-preview,f4,5,2,A,A,1,True,True
gemini-3.1-pro-preview,f4,6,2,A,A,1,True,True
gemini-3.1-pro-preview,f4,7,2,B,B,1,True,True
gemini-3.1-pro-preview,f4,8,1,A,A,1,True,True
gemini-3.1-pro-preview,f4,9,2,A,A,1,True,True
gemini-3.1-pro-preview,f5,0,2,C,C,1,True,True
gemini-3.1-pro-preview,f5,1,1,C,C,1,True,True
gemini-3.1-pro-preview,f5,2,1,B,B,1,True,True
gemini-3.1-pro-preview,f5,3,1,C,C,1,True,True
gemini-3.1-pro-preview,f5,4,2,B,B,1,True,True
gemini-3.1-pro-preview,f5,5,2,C,C,1,True,True
gemini-3.1-pro-preview,f5,6,1,C,C,1,True,True
gemini-3.1-pro-preview,f5,7,2,C,C,1,True,True
gemini-3.1-pro-preview,f5,8,2,C,C,1,True,True
gemini-3.1-pro-preview,f5,9,2,A,A,1,True,True
gemini-3.1-pro-preview,f6,0,1,A,A,1,True,True
gemini-3.1-pro-preview,f6,1,1,B,B,1,True,True
gemini-3.1-pro-preview,f6,2,1,B,B,1,True,True
gemini-3.1-pro-preview,f6,3,2,B,B,1,True,True
gemini-3.1-pro-preview,f6,4,2,C,C,1,True,True
gemini-3.1-pro-preview,f6,5,2,A,A,1,True,True
gemini-3.1-pro-preview,f6,6,2,A,A,1,True,True
gemini-3.1-pro-preview,f6,7,1,B,B,1,True,True
gemini-3.1-pro-preview,f6,8,2,C,C,1,True,True
