example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
2,0,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,A,0,C,,,,"S1 places prosodic focus on ""Sue"", meaning Sue is the only person to whom Sam gave oranges. S2 states that Sam also gave Rob oranges, which contradicts S1.",,,1,NEG,1,f1,audio,gemini,gemini-3.1-pro-preview,20260518_082443,,0,speaker0
3,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,0,A,,,,"S1 places prosodic focus on ""Sue"", meaning Sue is the only person to whom Sam gave grapes. S2 states that Sam didn't give Ellen grapes, which is logically entailed by S1.",,,1,NEG,2,f1,audio,gemini,gemini-3.1-pro-preview,20260518_082443,,0,speaker0
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,0,B,,,,"S1 places prosodic focus on ""Tom"", meaning Tom is the only person to whom Sam gave apples. This does not restrict what other items Tom might have received, making S2 (that Sam didn't give Tom grapes) independent of S1.",,,2,POS,2,f1,audio,gemini,gemini-3.1-pro-preview,20260518_082443,,0,speaker0
5,0,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,A,0,C,,,,"S1 places prosodic focus on ""oranges"", meaning oranges are the only items Sam gave to Rob. S2 states that Sam also gave Rob apples, which contradicts S1.",,,1,NEG,1,f1,audio,gemini,gemini-3.1-pro-preview,20260518_082443,,0,speaker0
6,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,0,A,,,,"S1 places prosodic focus on ""Sue"", meaning Sue is the only person to whom Sam gave grapes. S2 states that Sam didn't give Tom grapes, which is logically entailed by S1.",,,2,POS,1,f1,audio,gemini,gemini-3.1-pro-preview,20260518_082443,,0,speaker0
7,0,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,B,1,B,,,,"S1 places prosodic focus on ""bananas"", meaning bananas are the only items Sam gave to Ellen. This does not restrict what Sam might have given to other people, making S2 (that Sam also gave Mary bananas) independent of S1.",,,1,NEG,2,f1,audio,gemini,gemini-3.1-pro-preview,20260518_082443,,0,speaker0
8,0,Sam only gave Mary BANANAS.,Sam also gave Mary apples.,C,0,B,,,,"S1 places prosodic focus on ""Rob"", meaning Rob is the only person to whom Sam gave bananas. This does not restrict what other items Rob might have received, making S2 (that Sam didn't give Rob oranges) independent of S1.",,,2,POS,2,f1,audio,gemini,gemini-3.1-pro-preview,20260518_082443,,0,speaker0
9,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,0,C,,,,"S1 places prosodic focus on ""bananas"", meaning bananas are the only items Sam gave to Mary. S2 states that Sam also gave Mary apples, which contradicts S1.",,,2,NEG,1,f1,audio,gemini,gemini-3.1-pro-preview,20260518_082443,,0,speaker0
0,0,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,1,C,,,,"S1 places prosodic focus on ""Bill"", meaning Bill was the only person to receive grapes. S2 states that Sue also received grapes, which contradicts S1.",,,1,POS,1,f1,audio,gemini,gemini-3.1-pro-preview,20260518_082443,,1,speaker0
1,0,Sam only gave SUE oranges.,Sam also gave Rob oranges.,C,1,C,,,,"S1 places prosodic focus on ""Sue"", meaning Sue was the only person to receive oranges. S2 states that Rob also received oranges, which contradicts S1.",,,1,POS,1,f1,audio,gemini,gemini-3.1-pro-preview,20260518_082443,,1,speaker0
