example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
0,0,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,1,C,,,,"the focus in S1 is on ""Bill"" (Sam only gave Bill grapes), and S2 introduces Sue also receiving grapes. This contradicts the exclusiveness implied by ""only Bill"" in S1.",,,1,POS,1,ns1,audio,openai,gpt-audio,20260428_152500,chatcmpl-DZeb4Z4QxjPyzt92t4GjjEUQbnLed,,speaker2
1,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,1,B,,,,"in S1 the focus is on ""Sue"" and oranges (Sam only gave Sue oranges), and in S2 the sentence is about Rob and oranges. These statements are about different individuals and independent food items.",,,2,NEG,1,ns1,audio,openai,gpt-audio,20260428_152500,chatcmpl-DZeb4Z4QxjPyzt92t4GjjEUQbnLed,,speaker2
2,0,Sam only gave ROB grapes.,Sam also gave Rob oranges.,B,0,A,,,,"S1 states that Sam only gave Rob grapes (focus on ""Rob"" and ""grapes""). S2 adds that Sam also gave Rob oranges, which is consistent with S1 and does not contradict it. It is entailed by the broad action of giving Rob something (in this case, it is an extension).",,,1,POS,2,ns1,audio,openai,gpt-audio,20260428_152500,chatcmpl-DZeb4Z4QxjPyzt92t4GjjEUQbnLed,,speaker2
3,0,Sam only gave Tom ORANGES.,Sam didn't give Tom bananas.,A,0,C,,,,"in S1, Sam only gave Tom oranges (with focus on ""Tom"" and ""oranges""), which implies Tom did not get anything else. S2 states that Sam didn’t give Tom bananas, which is consistent, but still falls under the overall exclusivity constraint. However, now we know from S1 that oranges were the only thing Tom got, and S2 does not add to this—thus it’s contradicted by the restriction implied by ""only.""",,,2,NEG,2,ns1,audio,openai,gpt-audio,20260428_152500,chatcmpl-DZeb4Z4QxjPyzt92t4GjjEUQbnLed,,speaker2
4,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,0,C,,,,"S1 says Sam only gave Ellen bananas (focus on ""Ellen"" and ""bananas""), implying Ellen received no other fruit. S2 says Sam also gave Mary bananas, contradicting the exclusivity of S1.",,,2,POS,1,ns1,audio,openai,gpt-audio,20260428_152500,chatcmpl-DZeb4Z4QxjPyzt92t4GjjEUQbnLed,,speaker2
5,0,Sam only gave ELLEN grapes.,Sam didn't give Tom grapes.,A,1,A,,,,"S1 states that Sam only gave Ellen grapes (focus on ""Ellen"" and ""grapes""). S2 says Sam didn’t give Tom grapes. This is consistent, as it doesn’t contradict the exclusivity of S1. It aligns with the idea that Ellen was the only grape recipient.",,,1,NEG,1,ns1,audio,openai,gpt-audio,20260428_152500,chatcmpl-DZeb4Z4QxjPyzt92t4GjjEUQbnLed,,speaker2
6,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,0,A,,,,"S1 states that Sam only gave Rob oranges (focus on ""Rob"" and ""oranges""). S2 says Sam also gave Rob apples. This does not contradict the exclusivity of the fruit type in S1—it does not deny that Rob got oranges, and includes more information about apples. It’s entailed as further elaboration.",,,2,POS,2,ns1,audio,openai,gpt-audio,20260428_152500,chatcmpl-DZeb4Z4QxjPyzt92t4GjjEUQbnLed,,speaker2
7,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,0,C,,,,"S1 says Sam only gave Tom apples (focus on ""Tom"" and ""apples""), which excludes any other fruits. S2 says Sam didn’t give Tom grapes. This contradicts the exclusivity implied—if Tom only got apples, then stating he didn’t get grapes does not add information, it’s logically conflicting with the restrictive meaning. Therefore, it’s contradicted.",,,1,NEG,2,ns1,audio,openai,gpt-audio,20260428_152500,chatcmpl-DZeb4Z4QxjPyzt92t4GjjEUQbnLed,,speaker2
0,0,Sam only gave BILL grapes.,Sam didn't give Bill oranges.,B,0,C,,,,"S1: ""Sam only gave Bill grapes."" implies that Bill didn’t get anything else. S2: ""Sam didn’t give Bill oranges."" is consistent with that—no oranges were given to Bill. However, in S1, the prosodic focus is on ""grapes"" (indicating grapes and only grapes were given). So S2 is entailed by S1. Now the next S2: ""Sam only gave Ellen grapes."" states that Ellen got grapes and no other fruit. This directly contradicts S1 because it’s a different recipient. These two sentences cannot both be true about what was exclusive to just Bill or just Ellen. The S2 also says: ""Sam also gave Ellen oranges."" which contradicts the exclusivity of grapes. Hence, the whole S2 contradicts S1.",,,1,NEG,2,ns2,audio,openai,gpt-audio,20260428_152500,chatcmpl-DZebHslb8imFlY4WjrMflAq5E9AaP,,speaker2
1,0,Sam only gave Ellen GRAPES.,Sam also gave Ellen oranges.,C,0,A,,,,"S1: ""Sam only gave Ellen grapes."" (prosodic focus on ""grapes"") means Ellen got grapes and nothing else. S2: ""Sam also gave Ellen oranges."" contradicts that focus. However, wait—the actual S2 here states: ""Sam only gave Bill bananas. Sam didn’t give Tom bananas."" That’s logically consistent. It’s a different person and different objects. There’s no overlap of intended exclusivity here, and S2 doesn’t negate S1. No contradictions arise between Ellen getting grapes and Bill getting bananas. S2 is therefore independent from S1’s exclusive statement about Ellen. Thus: S2 doesn’t contradict that Ellen only got grapes, and it’s a separate event. Hence it is entailed or at least consistent. Given that no new conflict arises, it’s entailed.",,,2,POS,2,ns2,audio,openai,gpt-audio,20260428_152500,chatcmpl-DZebHslb8imFlY4WjrMflAq5E9AaP,,speaker2
