example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
0,0,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,1,C,0,Sam only gave Bill grapes.,Sam also gave Sue grapes.,"S1 says Bill was the only person to receive grapes from Sam, so he could not also have given grapes to Sue.",0.0,0.0,1,POS,1,f1,baseline,openai,gpt-5,20260519_151419,,,
1,0,Sam only gave SUE oranges.,Sam also gave Rob oranges.,C,1,C,0,Sam only gave Sue oranges.,Sam also gave Rob oranges.,"S1 says Sue was the only person to receive oranges, which rules out Rob also getting oranges.",0.0,0.0,1,POS,1,f1,baseline,openai,gpt-5,20260519_151419,,,
2,0,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,A,1,A,0,Sam only gave Sue grapes.,Sam didn't give Ellen grapes.,"if only Sue got grapes, then Ellen did not get grapes.",0.0,0.0,1,NEG,1,f1,baseline,openai,gpt-5,20260519_151419,,,
3,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,1,B,0,Sam only gave Tom apples.,Sam didn't give Tom grapes.,"S1 restricts who got apples, not whether Tom got grapes; S2 could be true or false.",0.0,0.0,1,NEG,2,f1,baseline,openai,gpt-5,20260519_151419,,,
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,0,B,0,Sam only gave Rob oranges.,Sam also gave Rob apples.,"S1 restricts who got oranges, not what else Rob received; S2 could be true or false.",0.0,0.0,2,POS,2,f1,baseline,openai,gpt-5,20260519_151419,,,
5,0,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,A,1,A,0,Sam only gave Sue grapes.,Sam didn't give Tom grapes.,"if only Sue got grapes, then Tom did not get grapes.",0.0,0.0,1,NEG,1,f1,baseline,openai,gpt-5,20260519_151419,,,
6,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,0,C,0,Sam only gave Ellen bananas.,Sam also gave Mary bananas.,"S1 says Ellen was the only person to receive bananas, so Mary could not also have received bananas.",0.0,0.0,2,POS,1,f1,baseline,openai,gpt-5,20260519_151419,,,
7,0,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,B,1,B,0,Sam only gave Rob bananas.,Sam didn't give Rob oranges.,"S1 restricts who got bananas, not whether Rob got oranges; S2 could be true or false.",0.0,0.0,1,NEG,2,f1,baseline,openai,gpt-5,20260519_151419,,,
8,0,Sam only gave Mary BANANAS.,Sam also gave Mary apples.,C,0,B,0,Sam only gave Mary bananas.,Sam also gave Mary apples.,"S1 restricts who got bananas, not whether Mary got apples; S2 could be true or false.",0.0,0.0,2,POS,2,f1,baseline,openai,gpt-5,20260519_151419,,,
9,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,0,A,0,Sam only gave Sue oranges.,Sam didn't give Rob oranges.,"if only Sue got oranges, then Rob did not get oranges.",0.0,0.0,2,NEG,1,f1,baseline,openai,gpt-5,20260519_151419,,,
