example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold
0,1,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,1,C,1,Sam only gave BILL grapes.,Sam also gave Sue grapes.,"the focus in S1 is on ""BILL,"" meaning Sam gave grapes only to Bill and no one else. S2 says Sam gave grapes to Sue as well, which contradicts S1.",0.0,0.0,1,POS,1,f1,audio,openai,gpt-audio,20260105_083400,chatcmpl-CuaKRe1a8DvLpr9MeXhBvR3FFKbgg,0
1,1,Sam only gave SUE oranges.,Sam also gave Rob oranges.,C,1,C,1,Sam only gave SUE oranges.,Sam also gave Rob oranges.,"the focus in S1 is on ""SUE,"" meaning Sam gave oranges only to Sue and no one else. S2 says Sam gave oranges to Rob too, which contradicts S1.",0.0,0.0,1,POS,1,f1,audio,openai,gpt-audio,20260105_083400,chatcmpl-CuaKRe1a8DvLpr9MeXhBvR3FFKbgg,0
2,0,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,A,1,A,1,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,"the focus in S1 is on ""SUE,"" and it means grapes were exclusively given to Sue and no one else. S2 says that Ellen did not receive grapes, which aligns with the exclusivity implied by S1.",0.0,0.0,1,NEG,1,f1,audio,openai,gpt-audio,20260105_083400,chatcmpl-CuaKRe1a8DvLpr9MeXhBvR3FFKbgg,0
3,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,0,A,1,Sam only gave TOM apples.,Sam didn't give Tom grapes.,"the focus in S1 is on ""TOM,"" meaning apples were specifically and only given to Tom. S2 says no grapes were given to Tom, which is consistent with S1 since S1 only mentions apples for Tom and excludes other items like grapes.",0.0,0.0,1,NEG,2,f1,audio,openai,gpt-audio,20260105_083400,chatcmpl-CuaKRe1a8DvLpr9MeXhBvR3FFKbgg,0
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,1,C,0,Sam only gave ROB oranges.,Sam also gave Rob apples.,"the focus in S1 is on ""ROB"" and the fruit ""oranges,"" meaning Rob only received oranges. S2 says Rob also got apples, which contradicts the exclusivity implied by S1.",0.0,0.0,2,POS,2,f1,audio,openai,gpt-audio,20260105_083400,chatcmpl-CuaKRe1a8DvLpr9MeXhBvR3FFKbgg,0
5,0,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,A,0,B,1,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,"the focus in S1 is on ""SUE,"" meaning that grapes were only given to Sue. S2 says Tom didn’t get grapes. That speaks about Tom, not Sue, and doesn’t depend logically on S1; it’s independent.",0.0,0.0,1,NEG,1,f1,audio,openai,gpt-audio,20260105_083400,chatcmpl-CuaKRe1a8DvLpr9MeXhBvR3FFKbgg,0
6,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,0,C,0,Sam only gave ELLEN bananas.,Sam also gave Mary bananas.,"the focus in S1 is on ""ELLEN,"" meaning that only Ellen received bananas. S2 says that Mary also received bananas, which contradicts the exclusivity implied by S1.",0.0,0.0,2,POS,1,f1,audio,openai,gpt-audio,20260105_083400,chatcmpl-CuaKRe1a8DvLpr9MeXhBvR3FFKbgg,0
7,0,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,B,0,A,1,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,"the focus in S1 is on ""ROB"" and ""bananas,"" meaning Rob only got bananas. S2 says Rob didn't get oranges, which supports the exclusivity indicated by S1.",0.0,0.0,1,NEG,2,f1,audio,openai,gpt-audio,20260105_083400,chatcmpl-CuaKRe1a8DvLpr9MeXhBvR3FFKbgg,0
8,0,Sam only gave Mary BANANAS.,Sam also gave Mary apples.,C,1,C,0,Sam only gave MARY bananas.,Sam also gave Mary apples.,"the focus in S1 is on ""MARY"" and ""bananas,"" meaning Mary only received bananas. S2 says Mary also got apples, which contradicts the exclusivity implied by S1.",0.0,0.0,2,POS,2,f1,audio,openai,gpt-audio,20260105_083400,chatcmpl-CuaKRe1a8DvLpr9MeXhBvR3FFKbgg,0
9,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,1,B,0,Sam only gave SUE oranges.,Sam didn't give Rob oranges.,"the focus in S1 is on ""SUE"" and ""oranges,"" meaning Sue is the only one who got oranges. S2 states that Rob didn’t get oranges, which is information about Rob and doesn’t directly follow from S1; it is independent.",0.0,0.0,2,NEG,1,f1,audio,openai,gpt-audio,20260105_083400,chatcmpl-CuaKRe1a8DvLpr9MeXhBvR3FFKbgg,0
0,0,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,1,C,1,Sam only gave BILL grapes.,Sam also gave Sue grapes.,"S1 says that Bill is the only recipient of grapes, but S2 says that Sue also received grapes, which contradicts the exclusivity implied in S1.",0.0,0.0,1,POS,1,f1,audio,openai,gpt-audio,20260105_083400,chatcmpl-CuaKiNSr0ooLHHfUtomvCxTG3rQeW,1
1,0,Sam only gave SUE oranges.,Sam also gave Rob oranges.,C,1,C,1,Sam only gave SUE oranges.,Sam also gave Rob oranges.,"S1 says that Sue is the only recipient of oranges, but S2 says that Rob also received oranges, contradicting the exclusivity implied in S1.",0.0,0.0,1,POS,1,f1,audio,openai,gpt-audio,20260105_083400,chatcmpl-CuaKiNSr0ooLHHfUtomvCxTG3rQeW,1
2,1,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,A,1,A,1,Sam only gave SUE grapes.,Sam didn’t give Ellen grapes.,"if Sam only gave Sue grapes, it entails that Sam did not give grapes to Ellen or anyone else besides Sue.",0.0,0.03571428571428571,1,NEG,1,f1,audio,openai,gpt-audio,20260105_083400,chatcmpl-CuaKiNSr0ooLHHfUtomvCxTG3rQeW,1
3,1,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,1,B,1,Sam only gave TOM apples.,Sam didn’t give Tom grapes.,"S1 talks about what Sam gave Tom (apples), but S2 talks about grapes, which is a different topic, making the statements independent.",0.0,0.038461538461538464,1,NEG,2,f1,audio,openai,gpt-audio,20260105_083400,chatcmpl-CuaKiNSr0ooLHHfUtomvCxTG3rQeW,1
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,1,C,0,Sam only gave ROB oranges.,Sam also gave Rob apples.,"S1 states that oranges were the only thing given to Rob, and S2 contradicts that by adding that Rob also received apples.",0.0,0.0,2,POS,2,f1,audio,openai,gpt-audio,20260105_083400,chatcmpl-CuaKiNSr0ooLHHfUtomvCxTG3rQeW,1
5,0,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,A,1,A,1,Sam only gave SUE grapes.,Sam didn’t give Tom grapes.,"if Sam only gave grapes to Sue, then it follows that Tom did not receive grapes, which makes S2 consistent with and entailed by S1.",0.0,0.038461538461538464,1,NEG,1,f1,audio,openai,gpt-audio,20260105_083400,chatcmpl-CuaKiNSr0ooLHHfUtomvCxTG3rQeW,1
6,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,0,C,0,Sam only gave ELLEN bananas.,Sam also gave Mary bananas.,"S1 says that Ellen is the only recipient of bananas, but S2 says that Mary was also a recipient, contradicting S1.",0.0,0.0,2,POS,1,f1,audio,openai,gpt-audio,20260105_083400,chatcmpl-CuaKiNSr0ooLHHfUtomvCxTG3rQeW,1
7,0,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,B,0,A,1,Sam only gave ROB bananas.,Sam didn’t give Rob oranges.,"if Sam only gave bananas to Rob, then it follows that Rob did not receive oranges, making S2 entailed by S1.",0.0,0.037037037037037035,1,NEG,2,f1,audio,openai,gpt-audio,20260105_083400,chatcmpl-CuaKiNSr0ooLHHfUtomvCxTG3rQeW,1
8,0,Sam only gave Mary BANANAS.,Sam also gave Mary apples.,C,1,C,0,Sam only gave MARY bananas.,Sam also gave Mary apples.,"S1 says that bananas were the only thing Mary received, and S2 contradicts that by saying that Mary also got apples.",0.0,0.0,2,POS,2,f1,audio,openai,gpt-audio,20260105_083400,chatcmpl-CuaKiNSr0ooLHHfUtomvCxTG3rQeW,1
