example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
2,0,Sam only gave ROB grapes.,Sam also gave Rob oranges.,B,1,B,,,,"S1 places prosodic focus on ""ROB"", meaning Rob was the only person who received grapes. This provides no information about whether Rob also received oranges, making S2 independent.",,,1,POS,2,ns1,audio,gemini,gemini-3.1-pro-preview,20260503_141259,,0,speaker1
3,0,Sam only gave Tom ORANGES.,Sam didn't give Tom bananas.,A,1,A,,,,"S1 places prosodic focus on ""ORANGES"", meaning oranges were the only thing Sam gave to Tom. This entails S2, which states that Sam did not give Tom bananas.",,,2,NEG,2,ns1,audio,gemini,gemini-3.1-pro-preview,20260503_141259,,0,speaker1
4,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,1,B,,,,"S1 places prosodic focus on ""BANANAS"", meaning bananas were the only thing Sam gave to Ellen. This provides no information about what Sam gave to Mary, making S2 independent.",,,2,POS,1,ns1,audio,gemini,gemini-3.1-pro-preview,20260503_141259,,0,speaker1
5,0,Sam only gave ELLEN grapes.,Sam didn't give Tom grapes.,A,1,A,,,,"S1 places prosodic focus on ""ELLEN"", meaning Ellen was the only person who received grapes. This entails S2, which states that Sam did not give Tom grapes.",,,1,NEG,1,ns1,audio,gemini,gemini-3.1-pro-preview,20260503_141259,,0,speaker1
6,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,1,C,,,,"S1 places prosodic focus on ""ORANGES"", meaning oranges were the only thing Sam gave to Rob. This contradicts S2, which claims Sam also gave Rob apples.",,,2,POS,2,ns1,audio,gemini,gemini-3.1-pro-preview,20260503_141259,,0,speaker1
7,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,1,B,,,,"S1 places prosodic focus on ""TOM"", meaning Tom was the only person who received apples. This provides no information about whether Sam gave Tom grapes, making S2 independent.",,,1,NEG,2,ns1,audio,gemini,gemini-3.1-pro-preview,20260503_141259,,0,speaker1
0,0,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,1,C,,,,"S1 places prosodic focus on ""Bill"", meaning Bill was the only person who received grapes. S2 states that Sue also received grapes, which directly contradicts S1.",,,1,POS,1,ns1,audio,gemini,gemini-3.1-pro-preview,20260503_141259,,1,speaker1
1,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,1,B,,,,"S1 places prosodic focus on ""oranges"", meaning oranges were the only thing Sam gave Sue. This provides no information about what Sam gave Rob, making S2 independent of S1.",,,2,NEG,1,ns1,audio,gemini,gemini-3.1-pro-preview,20260503_141259,,1,speaker1
4,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,1,B,,,,"S1 places prosodic focus on ""bananas"", meaning bananas were the only thing Sam gave Ellen. This provides no information about what Sam gave Mary, making S2 independent of S1.",,,2,POS,1,ns1,audio,gemini,gemini-3.1-pro-preview,20260503_141259,,1,speaker1
5,0,Sam only gave ELLEN grapes.,Sam didn't give Tom grapes.,A,1,A,,,,"S1 places prosodic focus on ""Ellen"", meaning Ellen was the only person who received grapes. This logically entails that Tom did not receive grapes, which is exactly what S2 states.",,,1,NEG,1,ns1,audio,gemini,gemini-3.1-pro-preview,20260503_141259,,1,speaker1
6,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,1,C,,,,"S1 places prosodic focus on ""oranges"", meaning oranges were the only thing Sam gave Rob. S2 states that Sam also gave Rob apples, which directly contradicts S1.",,,2,POS,2,ns1,audio,gemini,gemini-3.1-pro-preview,20260503_141259,,1,speaker1
7,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,1,B,,,,"S1 places prosodic focus on ""Tom"", meaning Tom was the only person who received apples. This provides no information about whether Sam gave Tom grapes, making S2 independent of S1.",,,1,NEG,2,ns1,audio,gemini,gemini-3.1-pro-preview,20260503_141259,,1,speaker1
0,0,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,1,C,,,,"S1 focuses on ""Bill"", meaning Bill was the only person Sam gave grapes to. S2 states that Sam also gave Sue grapes, which contradicts S1.",,,1,POS,1,ns1,audio,gemini,gemini-3.1-pro-preview,20260503_141259,,2,speaker1
1,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,1,B,,,,"S1 focuses on ""oranges"", meaning oranges were the only thing Sam gave Sue. This provides no information about what Sam gave Rob, making S2 independent.",,,2,NEG,1,ns1,audio,gemini,gemini-3.1-pro-preview,20260503_141259,,2,speaker1
2,0,Sam only gave ROB grapes.,Sam also gave Rob oranges.,B,1,B,,,,"S1 focuses on ""Rob"", meaning Rob was the only person Sam gave grapes to. This provides no information about what else Sam might have given Rob, making S2 independent.",,,1,POS,2,ns1,audio,gemini,gemini-3.1-pro-preview,20260503_141259,,2,speaker1
3,0,Sam only gave Tom ORANGES.,Sam didn't give Tom bananas.,A,1,A,,,,"S1 focuses on ""oranges"", meaning oranges were the only thing Sam gave Tom. This entails that Sam did not give Tom bananas.",,,2,NEG,2,ns1,audio,gemini,gemini-3.1-pro-preview,20260503_141259,,2,speaker1
6,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,1,C,,,,"S1 focuses on ""oranges"", meaning oranges were the only thing Sam gave Rob. S2 states that Sam also gave Rob apples, which contradicts S1.",,,2,POS,2,ns1,audio,gemini,gemini-3.1-pro-preview,20260503_141259,,2,speaker1
7,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,1,B,,,,"S1 focuses on ""Tom"", meaning Tom was the only person Sam gave apples to. This provides no information about whether Sam gave Tom grapes, making S2 independent.",,,1,NEG,2,ns1,audio,gemini,gemini-3.1-pro-preview,20260503_141259,,2,speaker1
0,0,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,1,C,,,,"the prosodic focus in S1 is on ""Bill"", meaning Bill is the only person who received grapes. S2 states that Sue also received grapes, which contradicts S1.",,,1,POS,1,ns1,audio,gemini,gemini-3.1-pro-preview,20260503_141259,,3,speaker1
1,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,1,B,,,,"the prosodic focus in S1 is on ""oranges"", meaning oranges are the only thing Sam gave Sue. This provides no information about what Sam gave Rob, making S2 independent.",,,2,NEG,1,ns1,audio,gemini,gemini-3.1-pro-preview,20260503_141259,,3,speaker1
2,0,Sam only gave ROB grapes.,Sam also gave Rob oranges.,B,1,B,,,,"the prosodic focus in S1 is on ""Rob"", meaning Rob is the only person who received grapes. This provides no information about whether Sam gave Rob other fruits like oranges, making S2 independent.",,,1,POS,2,ns1,audio,gemini,gemini-3.1-pro-preview,20260503_141259,,3,speaker1
3,0,Sam only gave Tom ORANGES.,Sam didn't give Tom bananas.,A,1,A,,,,"the prosodic focus in S1 is on ""oranges"", meaning oranges are the only thing Sam gave Tom. Therefore, it entails that Sam did not give Tom bananas.",,,2,NEG,2,ns1,audio,gemini,gemini-3.1-pro-preview,20260503_141259,,3,speaker1
