example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
2,0,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,A,0,C,,,,"S1 places prosodic focus on ""Sue"", meaning Sue is the only person to whom Sam gave oranges. S2 states that Sam also gave Rob oranges, which contradicts S1.",,,1,NEG,1,f1,audio,gemini,gemini-3.1-pro-preview,20260502_172617,,0,speaker0
3,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,0,A,,,,"S1 places prosodic focus on ""Sue"", meaning Sue is the only person to whom Sam gave grapes. S2 states that Sam didn't give Ellen grapes, which is logically entailed by S1.",,,1,NEG,2,f1,audio,gemini,gemini-3.1-pro-preview,20260502_172617,,0,speaker0
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,0,B,,,,"S1 places prosodic focus on ""Tom"", meaning Tom is the only person to whom Sam gave apples. This does not restrict what other items Tom might have received, making S2 (that Sam didn't give Tom grapes) independent of S1.",,,2,POS,2,f1,audio,gemini,gemini-3.1-pro-preview,20260502_172617,,0,speaker0
5,0,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,A,0,C,,,,"S1 places prosodic focus on ""oranges"", meaning oranges are the only items Sam gave to Rob. S2 states that Sam also gave Rob apples, which contradicts S1.",,,1,NEG,1,f1,audio,gemini,gemini-3.1-pro-preview,20260502_172617,,0,speaker0
6,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,0,A,,,,"S1 places prosodic focus on ""Sue"", meaning Sue is the only person to whom Sam gave grapes. S2 states that Sam didn't give Tom grapes, which is logically entailed by S1.",,,2,POS,1,f1,audio,gemini,gemini-3.1-pro-preview,20260502_172617,,0,speaker0
7,0,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,B,1,B,,,,"S1 places prosodic focus on ""bananas"", meaning bananas are the only items Sam gave to Ellen. This does not restrict what Sam might have given to other people, making S2 (that Sam also gave Mary bananas) independent of S1.",,,1,NEG,2,f1,audio,gemini,gemini-3.1-pro-preview,20260502_172617,,0,speaker0
8,0,Sam only gave Mary BANANAS.,Sam also gave Mary apples.,C,0,B,,,,"S1 places prosodic focus on ""Rob"", meaning Rob is the only person to whom Sam gave bananas. This does not restrict what other items Rob might have received, making S2 (that Sam didn't give Rob oranges) independent of S1.",,,2,POS,2,f1,audio,gemini,gemini-3.1-pro-preview,20260502_172617,,0,speaker0
9,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,0,C,,,,"S1 places prosodic focus on ""bananas"", meaning bananas are the only items Sam gave to Mary. S2 states that Sam also gave Mary apples, which contradicts S1.",,,2,NEG,1,f1,audio,gemini,gemini-3.1-pro-preview,20260502_172617,,0,speaker0
0,0,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,1,C,,,,"S1 places prosodic focus on ""Bill"", meaning Bill was the only person to receive grapes. S2 states that Sue also received grapes, which contradicts S1.",,,1,POS,1,f1,audio,gemini,gemini-3.1-pro-preview,20260502_172617,,1,speaker0
1,0,Sam only gave SUE oranges.,Sam also gave Rob oranges.,C,1,C,,,,"S1 places prosodic focus on ""Sue"", meaning Sue was the only person to receive oranges. S2 states that Rob also received oranges, which contradicts S1.",,,1,POS,1,f1,audio,gemini,gemini-3.1-pro-preview,20260502_172617,,1,speaker0
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,1,C,,,,"S1 places prosodic focus on ""oranges"", meaning oranges were the only thing Rob received. S2 states that Rob also received apples, which contradicts S1.",,,2,POS,2,f1,audio,gemini,gemini-3.1-pro-preview,20260502_172617,,1,speaker0
5,0,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,A,1,A,,,,"S1 places prosodic focus on ""Sue"", meaning Sue was the only person to receive grapes. S2 states that Tom did not receive grapes, which is logically entailed by S1.",,,1,NEG,1,f1,audio,gemini,gemini-3.1-pro-preview,20260502_172617,,1,speaker0
6,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,1,B,,,,"S1 places prosodic focus on ""bananas"", meaning bananas were the only thing Ellen received. This provides no information about what Mary received, making S2 independent.",,,2,POS,1,f1,audio,gemini,gemini-3.1-pro-preview,20260502_172617,,1,speaker0
7,0,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,B,1,B,,,,"S1 places prosodic focus on ""Rob"", meaning Rob was the only person to receive bananas. This provides no information about whether Rob received oranges, making S2 independent.",,,1,NEG,2,f1,audio,gemini,gemini-3.1-pro-preview,20260502_172617,,1,speaker0
8,0,Sam only gave Mary BANANAS.,Sam also gave Mary apples.,C,1,C,,,,"S1 places prosodic focus on ""bananas"", meaning bananas were the only thing Mary received. S2 states that Mary also received apples, which contradicts S1.",,,2,POS,2,f1,audio,gemini,gemini-3.1-pro-preview,20260502_172617,,1,speaker0
9,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,1,B,,,,"S1 places prosodic focus on ""oranges"", meaning oranges were the only thing Sue received. This provides no information about what Rob received, making S2 independent.",,,2,NEG,1,f1,audio,gemini,gemini-3.1-pro-preview,20260502_172617,,1,speaker0
0,0,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,1,C,,,,"S1 places prosodic focus on ""Bill"", meaning Bill was the only person Sam gave grapes to. S2 states that Sam also gave Sue grapes, which contradicts S1.",,,1,POS,1,f1,audio,gemini,gemini-3.1-pro-preview,20260502_172617,,2,speaker0
1,0,Sam only gave SUE oranges.,Sam also gave Rob oranges.,C,1,C,,,,"S1 places prosodic focus on ""Sue"", meaning Sue was the only person Sam gave oranges to. S2 states that Sam also gave Rob oranges, which contradicts S1.",,,1,POS,1,f1,audio,gemini,gemini-3.1-pro-preview,20260502_172617,,2,speaker0
2,0,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,A,1,A,,,,"S1 places prosodic focus on ""Sue"", meaning Sue was the only person Sam gave grapes to. This logically entails S2, which states that Sam didn't give Ellen grapes.",,,1,NEG,1,f1,audio,gemini,gemini-3.1-pro-preview,20260502_172617,,2,speaker0
3,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,1,B,,,,"S1 places prosodic focus on ""Tom"", meaning Tom was the only person Sam gave apples to. This provides no information about whether Sam gave Tom grapes, making S2 independent.",,,1,NEG,2,f1,audio,gemini,gemini-3.1-pro-preview,20260502_172617,,2,speaker0
6,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,1,B,,,,"S1 places prosodic focus on ""bananas"", meaning bananas were the only thing Sam gave Ellen. This provides no information about whether Sam gave Mary bananas, making S2 independent.",,,2,POS,1,f1,audio,gemini,gemini-3.1-pro-preview,20260502_172617,,2,speaker0
7,0,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,B,0,A,,,,"S1 places prosodic focus on ""bananas"", meaning bananas were the only thing Sam gave Rob. This logically entails S2, which states that Sam didn't give Rob oranges.",,,1,NEG,2,f1,audio,gemini,gemini-3.1-pro-preview,20260502_172617,,2,speaker0
8,0,Sam only gave Mary BANANAS.,Sam also gave Mary apples.,C,1,C,,,,"S1 places prosodic focus on ""bananas"", meaning bananas were the only thing Sam gave Mary. S2 states that Sam also gave Mary apples, which contradicts S1.",,,2,POS,2,f1,audio,gemini,gemini-3.1-pro-preview,20260502_172617,,2,speaker0
9,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,1,B,,,,"S1 places prosodic focus on ""oranges"", meaning oranges were the only thing Sam gave Sue. This provides no information about whether Sam gave Rob oranges, making S2 independent.",,,2,NEG,1,f1,audio,gemini,gemini-3.1-pro-preview,20260502_172617,,2,speaker0
0,0,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,1,C,,,,"S1 places prosodic focus on ""Bill"", meaning Bill was the only person to receive grapes. S2 states that Sue also received grapes, which contradicts S1.",,,1,POS,1,f1,audio,gemini,gemini-3.1-pro-preview,20260502_172617,,3,speaker0
1,0,Sam only gave SUE oranges.,Sam also gave Rob oranges.,C,1,C,,,,"S1 places prosodic focus on ""Sue"", meaning Sue was the only person to receive oranges. S2 states that Rob also received oranges, which contradicts S1.",,,1,POS,1,f1,audio,gemini,gemini-3.1-pro-preview,20260502_172617,,3,speaker0
2,0,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,A,1,A,,,,"S1 places prosodic focus on ""Sue"", meaning Sue was the only person to receive grapes. This entails S2, which states that Ellen did not receive grapes.",,,1,NEG,1,f1,audio,gemini,gemini-3.1-pro-preview,20260502_172617,,3,speaker0
3,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,1,B,,,,"S1 places prosodic focus on ""Tom"", meaning Tom was the only person to receive apples. This provides no information about whether Tom received grapes, making S2 independent.",,,1,NEG,2,f1,audio,gemini,gemini-3.1-pro-preview,20260502_172617,,3,speaker0
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,1,C,,,,"S1 places prosodic focus on ""oranges"", meaning oranges were the only thing Rob received. S2 states that Rob also received apples, which contradicts S1.",,,2,POS,2,f1,audio,gemini,gemini-3.1-pro-preview,20260502_172617,,3,speaker0
5,0,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,A,1,A,,,,"S1 places prosodic focus on ""Sue"", meaning Sue was the only person to receive grapes. This entails S2, which states that Tom did not receive grapes.",,,1,NEG,1,f1,audio,gemini,gemini-3.1-pro-preview,20260502_172617,,3,speaker0
8,0,Sam only gave Mary BANANAS.,Sam also gave Mary apples.,C,1,C,,,,"S1 places prosodic focus on ""bananas"", meaning bananas were the only thing Mary received. S2 states that Mary also received apples, which contradicts S1.",,,2,POS,2,f1,audio,gemini,gemini-3.1-pro-preview,20260502_172617,,3,speaker0
9,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,1,B,,,,"S1 places prosodic focus on ""oranges"", meaning oranges were the only thing Sue received. This provides no information about whether Rob received oranges, making S2 independent.",,,2,NEG,1,f1,audio,gemini,gemini-3.1-pro-preview,20260502_172617,,3,speaker0
0,0,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,1,C,,,,"S1 has prosodic focus on ""Bill"", meaning Sam gave grapes to Bill and to no one else. S2 states that Sam also gave grapes to Sue, which contradicts S1.",,,1,POS,1,f1,audio,gemini,gemini-3.1-pro-preview,20260502_172617,,4,speaker0
1,0,Sam only gave SUE oranges.,Sam also gave Rob oranges.,C,1,C,,,,"S1 has prosodic focus on ""Sue"", meaning Sam gave oranges to Sue and to no one else. S2 states that Sam also gave oranges to Rob, which contradicts S1.",,,1,POS,1,f1,audio,gemini,gemini-3.1-pro-preview,20260502_172617,,4,speaker0
2,0,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,A,1,A,,,,"S1 has prosodic focus on ""Sue"", meaning Sam gave grapes to Sue and to no one else. S2 states that Sam didn't give grapes to Ellen, which is logically entailed by S1.",,,1,NEG,1,f1,audio,gemini,gemini-3.1-pro-preview,20260502_172617,,4,speaker0
3,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,1,B,,,,"S1 has prosodic focus on ""Tom"", meaning Sam gave apples to Tom and to no one else. S1 does not restrict what other items Sam might have given to Tom, making S2 (Sam didn't give Tom grapes) independent.",,,1,NEG,2,f1,audio,gemini,gemini-3.1-pro-preview,20260502_172617,,4,speaker0
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,1,C,,,,"S1 has prosodic focus on ""oranges"", meaning Sam gave oranges to Rob and nothing else. S2 states that Sam also gave apples to Rob, which contradicts S1.",,,2,POS,2,f1,audio,gemini,gemini-3.1-pro-preview,20260502_172617,,4,speaker0
5,0,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,A,1,A,,,,"S1 has prosodic focus on ""Sue"", meaning Sam gave grapes to Sue and to no one else. S2 states that Sam didn't give grapes to Tom, which is logically entailed by S1.",,,1,NEG,1,f1,audio,gemini,gemini-3.1-pro-preview,20260502_172617,,4,speaker0
6,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,1,B,,,,"S1 has prosodic focus on ""bananas"", meaning Sam gave bananas to Ellen and nothing else. S1 does not restrict who else Sam might have given bananas to, making S2 (Sam also gave Mary bananas) independent.",,,2,POS,1,f1,audio,gemini,gemini-3.1-pro-preview,20260502_172617,,4,speaker0
7,0,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,B,1,B,,,,"S1 has prosodic focus on ""Rob"", meaning Sam gave bananas to Rob and to no one else. S1 does not restrict what other items Sam might have given to Rob, making S2 (Sam didn't give Rob oranges) independent.",,,1,NEG,2,f1,audio,gemini,gemini-3.1-pro-preview,20260502_172617,,4,speaker0
2,0,Sam only gave SUE oranges.,Sam also gave Sue apples.,B,1,B,,,,"the prosodic focus in S1 is on ""Tom"", meaning Sam gave grapes to Tom and no one else. This provides no information about whether Sam gave Tom oranges.",,,1,POS,2,f2,audio,gemini,gemini-3.1-pro-preview,20260502_172617,,0,speaker0
3,0,Sam only gave SUE bananas.,Sam didn't give Rob bananas.,A,0,B,,,,"the prosodic focus in S1 is on ""Sue"", meaning Sam gave oranges to Sue and no one else. This provides no information about whether Sam gave Sue apples.",,,1,NEG,1,f2,audio,gemini,gemini-3.1-pro-preview,20260502_172617,,0,speaker0
4,0,Sam only gave Tom ORANGES.,Sam didn't give Tom bananas.,A,1,A,,,,"the prosodic focus in S1 is on ""Sue"", meaning Sam gave bananas to Sue and no one else. This entails that Sam did not give bananas to Rob.",,,2,NEG,2,f2,audio,gemini,gemini-3.1-pro-preview,20260502_172617,,0,speaker0
