example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id
0,0,Sam only gave ELLEN grapes.,Sam didn't give Tom grapes.,A,1,A,1,Sam only gave ELLEN grapes.,Sam didn’t give Tom grapes.,"if Sam only gave ELLEN grapes, it entails that Sam didn’t give anyone else grapes, including Tom.",0.0,0.038461538461538464,1,NEG,1,f3,audio,openai,gpt-audio,20251217_133320,chatcmpl-CnlxMGacLV95xpQqBkqGni3oK0MAQ
1,0,Sam only gave Ellen APPLES.,Sam didn't give Ellen oranges.,A,0,C,0,Sam only gave ELLEN APPLES.,Sam didn’t give Ellen apples.,"if Sam only gave ELLEN APPLES, it entails that Sam did give Ellen apples, so saying that Sam didn’t give Ellen apples is contradicted.",0.0,0.20689655172413793,2,NEG,2,f3,audio,openai,gpt-audio,20251217_133320,chatcmpl-CnlxMGacLV95xpQqBkqGni3oK0MAQ
2,0,Sam only gave Rob GRAPES.,Sam also gave Ellen grapes.,B,0,C,0,Sam only gave ROB grapes.,Sam also gave Ellen grapes.,"if Sam only gave ROB grapes, it entails that Sam didn’t give anyone else grapes, so saying that he also gave Ellen grapes is contradicted.",0.0,0.0,2,POS,1,f3,audio,openai,gpt-audio,20251217_133320,chatcmpl-CnlxMGacLV95xpQqBkqGni3oK0MAQ
3,0,Sam only gave Rob APPLES.,Sam also gave Ellen apples.,B,0,C,0,Sam only gave ROB APPLES.,Sam also gave Ellen apples.,"if Sam only gave ROB APPLES, it entails that Sam didn’t give anyone else apples, so saying that he also gave Ellen apples is contradicted.",0.0,0.0,2,POS,1,f3,audio,openai,gpt-audio,20251217_133320,chatcmpl-CnlxMGacLV95xpQqBkqGni3oK0MAQ
4,0,Sam only gave Ellen APPLES.,Sam didn't give Bill apples.,B,0,A,0,Sam only gave ELLEN apples.,Sam didn’t give Bill apples.,"if Sam only gave ELLEN apples, it entails that Sam didn’t give anyone else apples, including Bill.",0.0,0.037037037037037035,2,NEG,1,f3,audio,openai,gpt-audio,20251217_133320,chatcmpl-CnlxMGacLV95xpQqBkqGni3oK0MAQ
5,0,Sam only gave Rob APPLES.,Sam didn't give Sue apples.,B,0,A,0,Sam only gave ROB apples.,Sam didn’t give Sue apples.,"if Sam only gave ROB apples, it entails that Sam didn’t give anyone else apples, including Sue.",0.0,0.038461538461538464,2,NEG,1,f3,audio,openai,gpt-audio,20251217_133320,chatcmpl-CnlxMGacLV95xpQqBkqGni3oK0MAQ
6,0,Sam only gave ROB oranges.,Sam also gave Rob apples.,B,1,B,0,Sam only gave ROB ORANGES.,Sam also gave Rob apples.,"the focus on ORANGES entails that Sam didn’t give Rob anything else besides oranges, so saying Sam also gave Rob apples is independent and doesn’t follow from or contradict the first sentence.",0.0,0.0,1,POS,2,f3,audio,openai,gpt-audio,20251217_133320,chatcmpl-CnlxMGacLV95xpQqBkqGni3oK0MAQ
7,0,Sam only gave ROB apples.,Sam also gave Rob grapes.,B,0,C,0,Sam only gave ROB APPLES.,Sam also gave Rob grapes.,"if Sam only gave ROB APPLES, it entails that he didn’t give Rob anything else, so saying he also gave Rob grapes is contradicted.",0.0,0.0,1,POS,2,f3,audio,openai,gpt-audio,20251217_133320,chatcmpl-CnlxMGacLV95xpQqBkqGni3oK0MAQ
8,0,Sam only gave ROB bananas.,Sam didn't give Ellen bananas.,A,1,A,1,Sam only gave ROB bananas.,Sam didn’t give Ellen bananas.,"if Sam only gave ROB bananas, it entails that he didn’t give anyone else bananas, including Ellen.",0.0,0.034482758620689655,1,NEG,1,f3,audio,openai,gpt-audio,20251217_133320,chatcmpl-CnlxMGacLV95xpQqBkqGni3oK0MAQ
9,0,Sam only gave Mary APPLES.,Sam also gave Ellen apples.,B,0,C,0,Sam only gave MARY apples.,Sam also gave Ellen apples.,"if Sam only gave MARY apples, it entails that he didn’t give anyone else apples, so saying he also gave Ellen apples is contradicted.",0.0,0.0,2,POS,1,f3,audio,openai,gpt-audio,20251217_133320,chatcmpl-CnlxMGacLV95xpQqBkqGni3oK0MAQ
