example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold
0,0,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,1,C,1,Sam only gave BILL grapes.,Sam also gave Sue grapes.,"S1 implies that Sam gave grapes to Bill and to no one else. S2 states that Sam also gave Sue grapes, which contradicts the ""no one else"" part of S1.",0.0,0.0,1,POS,1,f1,audio,gemini,gemini-2.5-flash,20260223_173959,,
1,0,Sam only gave SUE oranges.,Sam also gave Rob oranges.,C,1,C,1,Sam only gave SUE oranges.,Sam also gave Rob oranges.,"S1 implies that Sam gave oranges to Sue and to no one else. S2 states that Sam also gave Rob oranges, which contradicts the ""no one else"" part of S1.",0.0,0.0,1,POS,1,f1,audio,gemini,gemini-2.5-flash,20260223_173959,,
2,0,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,A,1,A,1,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,"S1 implies that Sam gave grapes to Sue and to no one else. If Sam didn't give grapes to anyone else, then it is necessarily true that Sam didn't give Ellen grapes.",0.0,0.0,1,NEG,1,f1,audio,gemini,gemini-2.5-flash,20260223_173959,,
3,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,1,B,1,Sam only gave TOM apples.,Sam didn't give Tom grapes.,"S1 implies that Sam gave apples to Tom and to no one else. This statement makes no claim about what other fruits Sam may or may not have given to Tom. Therefore, S2 is independent.",0.0,0.0,1,NEG,2,f1,audio,gemini,gemini-2.5-flash,20260223_173959,,
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,0,B,0,Sam only gave ROB oranges.,Sam also gave Rob apples.,"S1 implies that Sam gave oranges to Rob and to no one else. This statement makes no claim about what other fruits Sam may or may not have given to Rob. Therefore, S2 is independent.",0.0,0.0,2,POS,2,f1,audio,gemini,gemini-2.5-flash,20260223_173959,,
5,0,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,A,1,A,1,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,"S1 implies that Sam gave grapes to Sue and to no one else. If Sam didn't give grapes to anyone else, then it is necessarily true that Sam didn't give Tom grapes.",0.0,0.0,1,NEG,1,f1,audio,gemini,gemini-2.5-flash,20260223_173959,,
6,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,0,C,0,Sam only gave ELLEN bananas.,Sam also gave Mary bananas.,"S1 implies that Sam gave bananas to Ellen and to no one else. S2 states that Sam also gave Mary bananas, which contradicts the ""no one else"" part of S1.",0.0,0.0,2,POS,1,f1,audio,gemini,gemini-2.5-flash,20260223_173959,,
7,0,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,B,1,B,1,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,"S1 implies that Sam gave bananas to Rob and to no one else. This statement makes no claim about what other fruits Sam may or may not have given to Rob. Therefore, S2 is independent.",0.0,0.0,1,NEG,2,f1,audio,gemini,gemini-2.5-flash,20260223_173959,,
8,0,Sam only gave Mary BANANAS.,Sam also gave Mary apples.,C,0,B,0,Sam only gave MARY bananas.,Sam also gave Mary apples.,"S1 implies that Sam gave bananas to Mary and to no one else. This statement makes no claim about what other fruits Sam may or may not have given to Mary. Therefore, S2 is independent.",0.0,0.0,2,POS,2,f1,audio,gemini,gemini-2.5-flash,20260223_173959,,
9,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,0,A,0,Sam only gave SUE oranges.,Sam didn't give Rob oranges.,"S1 implies that Sam gave oranges to Sue and to no one else. If Sam didn't give oranges to anyone else, then it is necessarily true that Sam didn't give Rob oranges.",0.0,0.0,2,NEG,1,f1,audio,gemini,gemini-2.5-flash,20260223_173959,,
