example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold
0,0,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,1,C,,,,"S1 places prosodic focus on ""Bill"", meaning Bill was the only person Sam gave grapes to, which contradicts S2's claim that Sam also gave grapes to Sue.",,,1,POS,1,f1,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
1,0,Sam only gave SUE oranges.,Sam also gave Rob oranges.,C,1,C,,,,"S1 places prosodic focus on ""Sue"", meaning Sue was the only person Sam gave oranges to, which contradicts S2's claim that Sam also gave oranges to Rob.",,,1,POS,1,f1,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
2,0,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,A,1,A,,,,"S1 places prosodic focus on ""Sue"", meaning Sue was the only person Sam gave grapes to, which entails S2's statement that Sam didn't give grapes to Ellen.",,,1,NEG,1,f1,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
3,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,1,B,,,,"S1 places prosodic focus on ""Tom"", meaning Tom was the only person Sam gave apples to, which provides no information about whether or not Sam gave Tom grapes.",,,1,NEG,2,f1,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,1,C,,,,"S1 places prosodic focus on ""oranges"", meaning oranges were the only thing Sam gave to Rob, which contradicts S2's claim that Sam also gave Rob apples.",,,2,POS,2,f1,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
5,0,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,A,1,A,,,,"S1 places prosodic focus on ""Sue"", meaning Sue was the only person Sam gave grapes to, which entails S2's statement that Sam didn't give grapes to Tom.",,,1,NEG,1,f1,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
6,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,1,B,,,,"S1 places prosodic focus on ""bananas"", meaning bananas were the only thing Sam gave to Ellen, which provides no information about whether or not Sam gave bananas to Mary.",,,2,POS,1,f1,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
7,0,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,B,1,B,,,,"S1 places prosodic focus on ""Rob"", meaning Rob was the only person Sam gave bananas to, which provides no information about whether or not Sam gave Rob oranges.",,,1,NEG,2,f1,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
8,0,Sam only gave Mary BANANAS.,Sam also gave Mary apples.,C,1,C,,,,"S1 places prosodic focus on ""bananas"", meaning bananas were the only thing Sam gave to Mary, which contradicts S2's claim that Sam also gave Mary apples.",,,2,POS,2,f1,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
9,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,1,B,,,,"S1 places prosodic focus on ""oranges"", meaning oranges were the only thing Sam gave to Sue, which provides no information about whether or not Sam gave oranges to Rob.",,,2,NEG,1,f1,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
0,0,Sam only gave ROB bananas.,Sam didn't give Tom bananas.,A,1,A,,,,"S1 places prosodic focus on ""Rob"", meaning Rob is the only person who received bananas. This entails S2, which states that Tom did not receive bananas.",,,1,NEG,1,f2,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
1,0,Sam only gave TOM grapes.,Sam didn't give Tom oranges.,B,1,B,,,,"S1 places prosodic focus on ""Tom"", meaning Tom is the only person who received grapes. This provides no information about whether Tom received oranges, making S2 independent.",,,1,NEG,2,f2,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
2,0,Sam only gave SUE oranges.,Sam also gave Sue apples.,B,1,B,,,,"S1 places prosodic focus on ""Sue"", meaning Sue is the only person who received oranges. This provides no information about whether Sue received apples, making S2 independent.",,,1,POS,2,f2,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
3,0,Sam only gave SUE bananas.,Sam didn't give Rob bananas.,A,1,A,,,,"S1 places prosodic focus on ""Sue"", meaning Sue is the only person who received bananas. This entails S2, which states that Rob did not receive bananas.",,,1,NEG,1,f2,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
4,0,Sam only gave Tom ORANGES.,Sam didn't give Tom bananas.,A,1,A,,,,"S1 places prosodic focus on ""oranges"", meaning oranges are the only thing Tom received. This entails S2, which states that Tom did not receive bananas.",,,2,NEG,2,f2,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
5,0,Sam only gave SUE apples.,Sam didn't give Sue oranges.,B,1,B,,,,"S1 places prosodic focus on ""Sue"", meaning Sue is the only person who received apples. This provides no information about whether Sue received oranges, making S2 independent.",,,1,NEG,2,f2,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
6,0,Sam only gave Sue GRAPES.,Sam didn't give Sue apples.,A,1,A,,,,"S1 places prosodic focus on ""grapes"", meaning grapes are the only thing Sue received. This entails S2, which states that Sue did not receive apples.",,,2,NEG,2,f2,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
7,0,Sam only gave ELLEN oranges.,Sam also gave Ellen bananas.,B,1,B,,,,"S1 places prosodic focus on ""Ellen"", meaning Ellen is the only person who received oranges. This provides no information about whether Ellen received bananas, making S2 independent.",,,1,POS,2,f2,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
8,0,Sam only gave MARY grapes.,Sam didn't give Mary apples.,B,0,A,,,,"S1 places prosodic focus on ""grapes"", meaning grapes are the only thing Mary received. This entails S2, which states that Mary did not receive apples.",,,1,NEG,2,f2,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
9,0,Sam only gave BILL oranges.,Sam also gave Mary oranges.,C,1,C,,,,"S1 places prosodic focus on ""Bill"", meaning Bill is the only person who received oranges. This contradicts S2, which states that Mary also received oranges.",,,1,POS,1,f2,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
0,0,Sam only gave ELLEN grapes.,Sam didn't give Tom grapes.,A,1,A,,,,"S1 places prosodic focus on ""Ellen"", meaning Ellen is the only person Sam gave grapes to. This entails that he did not give grapes to Tom.",,,1,NEG,1,f3,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
1,0,Sam only gave Ellen APPLES.,Sam didn't give Ellen oranges.,A,0,C,,,,"S1 places prosodic focus on ""apples"", meaning apples are the only thing Sam gave Ellen. This implies that he did give her apples, which contradicts S2.",,,2,NEG,2,f3,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
2,0,Sam only gave Rob GRAPES.,Sam also gave Ellen grapes.,B,1,B,,,,"S1 places prosodic focus on ""grapes"", meaning grapes are the only thing Sam gave Rob. This provides no information about what he gave Ellen, making S2 independent.",,,2,POS,1,f3,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
3,0,Sam only gave Rob APPLES.,Sam also gave Ellen apples.,B,1,B,,,,"S1 places prosodic focus on ""apples"", meaning apples are the only thing Sam gave Rob. This provides no information about what he gave Ellen, making S2 independent.",,,2,POS,1,f3,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
4,0,Sam only gave Ellen APPLES.,Sam didn't give Bill apples.,B,1,B,,,,"S1 places prosodic focus on ""apples"", meaning apples are the only thing Sam gave Ellen. This provides no information about what he gave Bill, making S2 independent.",,,2,NEG,1,f3,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
5,0,Sam only gave Rob APPLES.,Sam didn't give Sue apples.,B,1,B,,,,"S1 places prosodic focus on ""apples"", meaning apples are the only thing Sam gave Rob. This provides no information about what he gave Sue, making S2 independent.",,,2,NEG,1,f3,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
6,0,Sam only gave ROB oranges.,Sam also gave Rob apples.,B,1,B,,,,"S1 places prosodic focus on ""Rob"", meaning Rob is the only person Sam gave oranges to. This provides no information about whether he also gave Rob apples, making S2 independent.",,,1,POS,2,f3,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
7,0,Sam only gave ROB apples.,Sam also gave Rob grapes.,B,1,B,,,,"S1 places prosodic focus on ""Rob"", meaning Rob is the only person Sam gave apples to. This provides no information about whether he also gave Rob grapes, making S2 independent.",,,1,POS,2,f3,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
8,0,Sam only gave ROB bananas.,Sam didn't give Ellen bananas.,A,1,A,,,,"S1 places prosodic focus on ""Rob"", meaning Rob is the only person Sam gave bananas to. This entails that he did not give bananas to Ellen.",,,1,NEG,1,f3,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
9,0,Sam only gave Mary APPLES.,Sam also gave Ellen apples.,B,1,B,,,,"S1 places prosodic focus on ""apples"", meaning apples are the only thing Sam gave Mary. This provides no information about what he gave Ellen, making S2 independent.",,,2,POS,1,f3,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
0,0,Sam only gave SUE apples.,Sam also gave Rob apples.,C,1,C,,,,"S1 places prosodic focus on ""Sue"", meaning she was the only person to receive apples. This contradicts S2, which states that Rob also received apples.",,,1,POS,1,f4,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
1,0,Sam only gave Bill APPLES.,Sam didn't give Mary apples.,B,1,B,,,,"S1 places prosodic focus on ""apples"", meaning apples were the only thing Bill received. This provides no information about what Mary received, making S2 independent.",,,2,NEG,1,f4,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
2,0,Sam only gave MARY oranges.,Sam also gave Ellen oranges.,C,1,C,,,,"S1 places prosodic focus on ""Mary"", meaning she was the only person to receive oranges. This contradicts S2, which states that Ellen also received oranges.",,,1,POS,1,f4,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
3,0,Sam only gave Ellen APPLES.,Sam didn't give Tom apples.,B,1,B,,,,"S1 places prosodic focus on ""apples"", meaning apples were the only thing Ellen received. This provides no information about what Tom received, making S2 independent.",,,2,NEG,1,f4,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
4,0,Sam only gave ROB bananas.,Sam also gave Rob oranges.,B,1,B,,,,"S1 places prosodic focus on ""Rob"", meaning he was the only person to receive bananas. This does not restrict what other items Rob might have received, making S2 independent.",,,1,POS,2,f4,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
5,0,Sam only gave Bill BANANAS.,Sam didn't give Bill grapes.,A,1,A,,,,"S1 places prosodic focus on ""bananas"", meaning bananas were the only thing Bill received. This entails S2, which states that he did not receive grapes.",,,2,NEG,2,f4,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
6,0,Sam only gave Ellen ORANGES.,Sam didn't give Ellen grapes.,A,1,A,,,,"S1 places prosodic focus on ""oranges"", meaning oranges were the only thing Ellen received. This entails S2, which states that she did not receive grapes.",,,2,NEG,2,f4,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
7,0,Sam only gave Mary BANANAS.,Sam didn't give Ellen bananas.,B,1,B,,,,"S1 places prosodic focus on ""bananas"", meaning bananas were the only thing Mary received. This provides no information about what Ellen received, making S2 independent.",,,2,NEG,1,f4,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
8,0,Sam only gave BILL bananas.,Sam didn't give Tom bananas.,A,1,A,,,,"S1 places prosodic focus on ""Bill"", meaning he was the only person to receive bananas. This entails S2, which states that Tom did not receive bananas.",,,1,NEG,1,f4,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
9,0,Sam only gave Sue ORANGES.,Sam didn't give Sue grapes.,A,1,A,,,,"S1 places prosodic focus on ""oranges"", meaning oranges were the only thing Sue received. This entails S2, which states that she did not receive grapes.",,,2,NEG,2,f4,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
0,0,Sam only gave Ellen GRAPES.,Sam also gave Ellen oranges.,C,1,C,,,,"S1 focuses on ""grapes"", meaning grapes are the only thing Sam gave to Ellen. This contradicts S2, which states he also gave her oranges.",,,2,POS,2,f5,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
1,0,Sam only gave ELLEN apples.,Sam also gave Rob apples.,C,1,C,,,,"S1 focuses on ""Ellen"", meaning Ellen is the only person Sam gave apples to. This contradicts S2, which states he also gave apples to Rob.",,,1,POS,1,f5,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
2,0,Sam only gave MARY oranges.,Sam didn't give Mary bananas.,B,1,B,,,,"S1 focuses on ""Mary"", meaning Mary is the only person Sam gave oranges to. This provides no information about whether he gave Mary bananas, making S2 independent.",,,1,NEG,2,f5,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
3,0,Sam only gave MARY oranges.,Sam also gave Tom oranges.,C,1,C,,,,"S1 focuses on ""Mary"", meaning Mary is the only person Sam gave oranges to. This contradicts S2, which states he also gave oranges to Tom.",,,1,POS,1,f5,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
4,0,Sam only gave Mary ORANGES.,Sam didn't give Tom oranges.,B,1,B,,,,"S1 focuses on ""oranges"", meaning oranges are the only thing Sam gave to Mary. This provides no information about what he gave to Tom, making S2 independent.",,,2,NEG,1,f5,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
5,0,Sam only gave Mary GRAPES.,Sam also gave Mary apples.,C,1,C,,,,"S1 focuses on ""grapes"", meaning grapes are the only thing Sam gave to Mary. This contradicts S2, which states he also gave her apples.",,,2,POS,2,f5,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
6,0,Sam only gave SUE apples.,Sam also gave Mary apples.,C,1,C,,,,"S1 focuses on ""Sue"", meaning Sue is the only person Sam gave apples to. This contradicts S2, which states he also gave apples to Mary.",,,1,POS,1,f5,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
7,0,Sam only gave Bill ORANGES.,Sam also gave Bill bananas.,C,1,C,,,,"S1 focuses on ""oranges"", meaning oranges are the only thing Sam gave to Bill. This contradicts S2, which states he also gave him bananas.",,,2,POS,2,f5,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
8,0,Sam only gave Ellen BANANAS.,Sam also gave Ellen grapes.,C,1,C,,,,"S1 focuses on ""bananas"", meaning bananas are the only thing Sam gave to Ellen. This contradicts S2, which states he also gave her grapes.",,,2,POS,2,f5,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
9,0,Sam only gave Tom BANANAS.,Sam didn't give Tom oranges.,A,1,A,,,,"S1 focuses on ""bananas"", meaning bananas are the only thing Sam gave to Tom. This entails S2, which states he didn't give Tom oranges.",,,2,NEG,2,f5,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
0,0,Sam only gave ROB apples.,Sam didn't give Sue apples.,A,1,A,,,,"S1 places prosodic focus on ""Rob"", meaning Rob is the only person who received apples. Therefore, Sue did not receive apples, which entails S2.",,,1,NEG,1,f6,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
1,0,Sam only gave SUE grapes.,Sam also gave Sue oranges.,B,1,B,,,,"S1 places prosodic focus on ""Sue"", meaning Sue is the only person who received grapes. This provides no information about whether Sue received oranges, making S2 independent.",,,1,POS,2,f6,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
2,0,Sam only gave SUE grapes.,Sam didn't give Sue bananas.,B,1,B,,,,"S1 places prosodic focus on ""Sue"", meaning Sue is the only person who received grapes. This provides no information about whether Sue received bananas, making S2 independent.",,,1,NEG,2,f6,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
3,0,Sam only gave Mary GRAPES.,Sam also gave Ellen grapes.,B,1,B,,,,"S1 places prosodic focus on ""grapes"", meaning grapes are the only thing Mary received. This provides no information about whether Ellen received grapes, making S2 independent.",,,2,POS,1,f6,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob bananas.,C,1,C,,,,"S1 places prosodic focus on ""oranges"", meaning oranges are the only thing Rob received. Therefore, Rob could not have received bananas, which contradicts S2.",,,2,POS,2,f6,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
5,0,Sam only gave Sue BANANAS.,Sam didn't give Sue grapes.,A,1,A,,,,"S1 places prosodic focus on ""bananas"", meaning bananas are the only thing Sue received. Therefore, Sue did not receive grapes, which entails S2.",,,2,NEG,2,f6,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
6,0,Sam only gave Tom GRAPES.,Sam didn't give Tom apples.,A,1,A,,,,"S1 places prosodic focus on ""grapes"", meaning grapes are the only thing Tom received. Therefore, Tom did not receive apples, which entails S2.",,,2,NEG,2,f6,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
7,0,Sam only gave TOM bananas.,Sam didn't give Tom grapes.,B,1,B,,,,"S1 places prosodic focus on ""Tom"", meaning Tom is the only person who received bananas. This provides no information about whether Tom received grapes, making S2 independent.",,,1,NEG,2,f6,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
8,0,Sam only gave Rob APPLES.,Sam also gave Rob grapes.,C,1,C,,,,"S1 places prosodic focus on ""apples"", meaning apples are the only thing Rob received. Therefore, Rob could not have received grapes, which contradicts S2.",,,2,POS,2,f6,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
9,0,Sam only gave ELLEN grapes.,Sam also gave Ellen oranges.,B,0,C,,,,"S1 places prosodic focus on ""grapes"", meaning grapes are the only thing Ellen received. Therefore, Ellen could not have received oranges, which contradicts S2.",,,1,POS,2,f6,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
0,0,Sam only gave Bill BANANAS.,Sam also gave Bill grapes.,C,1,C,,,,"S1 focuses on ""bananas"", meaning bananas are the only thing Sam gave Bill. S2 states he gave Bill grapes, which contradicts this.",,,2,POS,2,f7,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
1,0,Sam only gave MARY apples.,Sam also gave Ellen apples.,C,1,C,,,,"S1 focuses on ""Mary"", meaning Mary is the only person Sam gave apples to. S2 states he gave Ellen apples, which contradicts this.",,,1,POS,1,f7,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
2,0,Sam only gave Sue APPLES.,Sam also gave Tom apples.,B,1,B,,,,"S1 focuses on ""apples"", meaning apples are the only thing Sam gave Sue. This provides no information about what Sam gave Tom, making S2 independent.",,,2,POS,1,f7,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
3,0,Sam only gave BILL grapes.,Sam didn't give Bill oranges.,B,1,B,,,,"S1 focuses on ""Bill"", meaning Bill is the only person Sam gave grapes to. This provides no information about whether Sam gave Bill oranges, making S2 independent.",,,1,NEG,2,f7,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
4,0,Sam only gave BILL apples.,Sam didn't give Bill bananas.,B,1,B,,,,"S1 focuses on ""Bill"", meaning Bill is the only person Sam gave apples to. This provides no information about whether Sam gave Bill bananas, making S2 independent.",,,1,NEG,2,f7,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
5,0,Sam only gave SUE apples.,Sam didn't give Sue bananas.,B,0,A,,,,"S1 focuses on ""apples"", meaning apples are the only thing Sam gave Sue. Therefore, it entails that he didn't give her bananas, as stated in S2.",,,1,NEG,2,f7,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
6,0,Sam only gave ELLEN oranges.,Sam didn't give Tom oranges.,A,1,A,,,,"S1 focuses on ""Ellen"", meaning Ellen is the only person Sam gave oranges to. Therefore, it entails that he didn't give Tom oranges, as stated in S2.",,,1,NEG,1,f7,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
7,0,Sam only gave TOM apples.,Sam didn't give Mary apples.,A,1,A,,,,"S1 focuses on ""Tom"", meaning Tom is the only person Sam gave apples to. Therefore, it entails that he didn't give Mary apples, as stated in S2.",,,1,NEG,1,f7,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
8,0,Sam only gave Tom APPLES.,Sam also gave Bill apples.,B,1,B,,,,"S1 focuses on ""apples"", meaning apples are the only thing Sam gave Tom. This provides no information about whether Sam gave Bill apples, making S2 independent.",,,2,POS,1,f7,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
9,0,Sam only gave Sue BANANAS.,Sam didn't give Tom bananas.,B,1,B,,,,"S1 focuses on ""bananas"", meaning bananas are the only thing Sam gave Sue. This provides no information about whether Sam gave Tom bananas, making S2 independent.",,,2,NEG,1,f7,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
0,0,Sam only gave Ellen BANANAS.,Sam also gave Rob bananas.,B,1,B,,,,"the prosodic focus in S1 is on ""bananas"", meaning the only thing Sam gave Ellen was bananas. This provides no information about what Sam gave Rob, making S2 independent.",,,2,POS,1,f8,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
1,0,Sam only gave ROB grapes.,Sam also gave Rob oranges.,B,1,B,,,,"the prosodic focus in S1 is on ""Rob"", meaning Rob is the only person Sam gave grapes to. This provides no information about what else Sam gave Rob, making S2 independent.",,,1,POS,2,f8,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
2,0,Sam only gave TOM apples.,Sam also gave Bill apples.,C,1,C,,,,"the prosodic focus in S1 is on ""Tom"", meaning Tom is the only person Sam gave apples to. S2 states that Sam also gave Bill apples, which contradicts S1.",,,1,POS,1,f8,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
3,0,Sam only gave Mary APPLES.,Sam also gave Mary bananas.,C,1,C,,,,"the prosodic focus in S1 is on ""apples"", meaning the only thing Sam gave Mary was apples. S2 states that Sam also gave Mary bananas, which contradicts S1.",,,2,POS,2,f8,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
4,0,Sam only gave Ellen ORANGES.,Sam also gave Sue oranges.,B,1,B,,,,"the prosodic focus in S1 is on ""oranges"", meaning the only thing Sam gave Ellen was oranges. This provides no information about what Sam gave Sue, making S2 independent.",,,2,POS,1,f8,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
5,0,Sam only gave Rob ORANGES.,Sam didn't give Rob apples.,A,1,A,,,,"the prosodic focus in S1 is on ""oranges"", meaning the only thing Sam gave Rob was oranges. This logically entails that Sam did not give Rob apples, which is exactly what S2 states.",,,2,NEG,2,f8,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
6,0,Sam only gave Bill BANANAS.,Sam didn't give Ellen bananas.,B,0,A,,,,"the prosodic focus in S1 is on ""Bill"", meaning Bill is the only person Sam gave bananas to. This logically entails that Sam did not give Ellen bananas, which is exactly what S2 states.",,,2,NEG,1,f8,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
7,0,Sam only gave Rob BANANAS.,Sam also gave Sue bananas.,B,0,C,,,,"the prosodic focus in S1 is on ""Rob"", meaning Rob is the only person Sam gave bananas to. S2 states that Sam also gave Sue bananas, which contradicts S1.",,,2,POS,1,f8,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
