example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id
0,0,Sam only gave Ellen BANANAS.,Sam also gave Rob bananas.,B,1,B,1,Sam only gave Ellen BANANAS.,Sam also gave Rob bananas.,S1 restricts what Ellen received (only bananas) and says nothing about what Rob received; giving Rob bananas is compatible but not entailed.,0.0,0.0,2,POS,1,f8,oracle,openai,gpt-5,20251218_174413,
1,0,Sam only gave ROB grapes.,Sam also gave Rob oranges.,B,1,B,1,Sam only gave ROB grapes.,Sam also gave Rob oranges.,"S1 says Rob is the only recipient of grapes; it says nothing about whether Rob also got oranges, so S2 is compatible but not entailed.",0.0,0.0,1,POS,2,f8,oracle,openai,gpt-5,20251218_174413,
2,0,Sam only gave TOM apples.,Sam also gave Bill apples.,C,1,C,1,Sam only gave TOM apples.,Sam also gave Bill apples.,"S1 says Tom is the only recipient of apples; S2 claims Bill also received apples, which contradicts S1.",0.0,0.0,1,POS,1,f8,oracle,openai,gpt-5,20251218_174413,
3,0,Sam only gave Mary APPLES.,Sam also gave Mary bananas.,C,1,C,1,Sam only gave Mary APPLES.,Sam also gave Mary bananas.,"S1 says the only thing Mary received was apples; S2 says she also got bananas, which contradicts S1.",0.0,0.0,2,POS,2,f8,oracle,openai,gpt-5,20251218_174413,
4,0,Sam only gave Ellen ORANGES.,Sam also gave Sue oranges.,B,1,B,1,Sam only gave Ellen ORANGES.,Sam also gave Sue oranges.,S1 restricts what Ellen received (only oranges) but does not restrict who else could receive oranges; S2 is compatible but not entailed.,0.0,0.0,2,POS,1,f8,oracle,openai,gpt-5,20251218_174413,
5,0,Sam only gave Rob ORANGES.,Sam didn't give Rob apples.,A,1,A,1,Sam only gave Rob ORANGES.,Sam didn't give Rob apples.,"if Rob only got oranges from Sam, then he did not get apples; S2 follows.",0.0,0.0,2,NEG,2,f8,oracle,openai,gpt-5,20251218_174413,
6,0,Sam only gave Bill BANANAS.,Sam didn't give Ellen bananas.,B,1,B,1,Sam only gave Bill BANANAS.,Sam didn't give Ellen bananas.,S1 restricts what Bill received and says nothing about Ellen; whether Ellen got bananas is undetermined.,0.0,0.0,2,NEG,1,f8,oracle,openai,gpt-5,20251218_174413,
7,0,Sam only gave Rob BANANAS.,Sam also gave Sue bananas.,B,1,B,1,Sam only gave Rob BANANAS.,Sam also gave Sue bananas.,S1 restricts what Rob received (only bananas) but does not restrict who else could receive bananas; S2 is compatible but not entailed.,0.0,0.0,2,POS,1,f8,oracle,openai,gpt-5,20251218_174413,
8,0,Sam only gave Bill BANANAS.,Sam didn't give Mary bananas.,B,1,B,1,Sam only gave Bill BANANAS.,Sam didn't give Mary bananas.,S1 concerns only what Bill received and says nothing about Mary; whether Mary got bananas is undetermined.,0.0,0.0,2,NEG,1,f8,oracle,openai,gpt-5,20251218_174413,
9,0,Sam only gave Ellen GRAPES.,Sam didn't give Rob grapes.,B,1,B,1,Sam only gave Ellen GRAPES.,Sam didn't give Rob grapes.,S1 restricts what Ellen received (only grapes) and says nothing about whether Rob received grapes; S2 is not entailed nor contradicted.,0.0,0.0,2,NEG,1,f8,oracle,openai,gpt-5,20251218_174413,
