example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold
0,0,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,,,1,Sam only gave BILL grapes.,Sam also gave Sue grapes.,,0.0,0.0,1,POS,1,f1,audio,gemini,gemini-2.5-flash,20260428_143342,,
1,0,Sam only gave SUE oranges.,Sam also gave Rob oranges.,C,,,1,Sam only gave SUE oranges.,Sam also gave Rob oranges.,,0.0,0.0,1,POS,1,f1,audio,gemini,gemini-2.5-flash,20260428_143342,,
2,0,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,A,,,1,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,,0.0,0.0,1,NEG,1,f1,audio,gemini,gemini-2.5-flash,20260428_143342,,
3,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,,,1,Sam only gave TOM apples.,Sam didn't give Tom grapes.,,0.0,0.0,1,NEG,2,f1,audio,gemini,gemini-2.5-flash,20260428_143342,,
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,,,0,Sam only gave ROB oranges.,Sam also gave Rob apples.,,0.0,0.0,2,POS,2,f1,audio,gemini,gemini-2.5-flash,20260428_143342,,
5,0,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,A,,,1,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,,0.0,0.0,1,NEG,1,f1,audio,gemini,gemini-2.5-flash,20260428_143342,,
6,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,,,0,Sam only gave ELLEN bananas.,Sam also gave Mary bananas.,,0.0,0.0,2,POS,1,f1,audio,gemini,gemini-2.5-flash,20260428_143342,,
7,0,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,B,,,1,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,,0.0,0.0,1,NEG,2,f1,audio,gemini,gemini-2.5-flash,20260428_143342,,
8,0,Sam only gave Mary BANANAS.,Sam also gave Mary apples.,C,,,0,Sam only gave MARY bananas.,Sam also gave Mary apples.,,0.0,0.0,2,POS,2,f1,audio,gemini,gemini-2.5-flash,20260428_143342,,
9,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,,,0,Sam only gave SUE oranges.,Sam didn't give Rob oranges.,,0.0,0.0,2,NEG,1,f1,audio,gemini,gemini-2.5-flash,20260428_143342,,
0,0,Sam only gave ROB bananas.,Sam didn't give Tom bananas.,A,,,1,Sam only gave ROB bananas.,Sam didn't give Tom bananas.,,0.0,0.0,1,NEG,1,f2,audio,gemini,gemini-2.5-flash,20260428_143342,,
1,0,Sam only gave TOM grapes.,Sam didn't give Tom oranges.,B,,,0,Sam only gave Tom GRAPES.,Sam didn't give Tom oranges.,,0.0,0.0,1,NEG,2,f2,audio,gemini,gemini-2.5-flash,20260428_143342,,
2,0,Sam only gave SUE oranges.,Sam also gave Sue apples.,B,,,0,Sam only gave Sue ORANGES.,Sam also gave Sue apples.,,0.0,0.0,1,POS,2,f2,audio,gemini,gemini-2.5-flash,20260428_143342,,
3,0,Sam only gave SUE bananas.,Sam didn't give Rob bananas.,A,,,1,Sam only gave SUE bananas.,Sam didn't give Rob bananas.,,0.0,0.0,1,NEG,1,f2,audio,gemini,gemini-2.5-flash,20260428_143342,,
4,0,Sam only gave Tom ORANGES.,Sam didn't give Tom bananas.,A,,,1,Sam only gave Tom ORANGES.,Sam didn't give Tom bananas.,,0.0,0.0,2,NEG,2,f2,audio,gemini,gemini-2.5-flash,20260428_143342,,
5,0,Sam only gave SUE apples.,Sam didn't give Sue oranges.,B,,,0,Sam only gave Sue APPLES.,Sam didn't give Sue oranges.,,0.0,0.0,1,NEG,2,f2,audio,gemini,gemini-2.5-flash,20260428_143342,,
6,0,Sam only gave Sue GRAPES.,Sam didn't give Sue apples.,A,,,1,Sam only gave Sue GRAPES.,Sam didn't give Sue apples.,,0.0,0.0,2,NEG,2,f2,audio,gemini,gemini-2.5-flash,20260428_143342,,
7,0,Sam only gave ELLEN oranges.,Sam also gave Ellen bananas.,B,,,0,Sam only gave Ellen ORANGES.,Sam also gave Ellen bananas.,,0.0,0.0,1,POS,2,f2,audio,gemini,gemini-2.5-flash,20260428_143342,,
8,0,Sam only gave MARY grapes.,Sam didn't give Mary apples.,B,,,0,Sam only gave Mary GRAPES.,Sam didn't give Mary apples.,,0.0,0.0,1,NEG,2,f2,audio,gemini,gemini-2.5-flash,20260428_143342,,
9,0,Sam only gave BILL oranges.,Sam also gave Mary oranges.,C,,,1,Sam only gave BILL oranges.,Sam also gave Mary oranges.,,0.0,0.0,1,POS,1,f2,audio,gemini,gemini-2.5-flash,20260428_143342,,
