example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id
0,0,Sam only gave ROB apples.,Sam didn't give Sue apples.,A,1,A,0,Sam ONLY gave Rob apples.,Sam didn't give Sue apples.,"if Sam only gave Rob apples, then he did not give Sue apples.",0.0,0.0,1,NEG,1,f6,audio,gemini,gemini-2.0-flash,20251217_164100,
1,0,Sam only gave SUE grapes.,Sam also gave Sue oranges.,B,0,C,0,Sam ONLY gave Sue grapes.,Sam also gave Sue oranges.,"if Sam only gave Sue grapes, then he did not give Sue oranges.",0.0,0.0,1,POS,2,f6,audio,gemini,gemini-2.0-flash,20251217_164100,
2,0,Sam only gave SUE grapes.,Sam didn't give Sue bananas.,B,0,A,0,Sam ONLY gave Sue grapes.,Sam didn't give Sue bananas.,"if Sam only gave Sue grapes, then she did not get bananas.",0.0,0.0,1,NEG,2,f6,audio,gemini,gemini-2.0-flash,20251217_164100,
3,0,Sam only gave Mary GRAPES.,Sam also gave Ellen grapes.,B,1,B,0,Sam ONLY gave Mary grapes.,Sam also gave Ellen grapes.,the statement about Mary does not affect the statement about Ellen.,0.0,0.0,2,POS,1,f6,audio,gemini,gemini-2.0-flash,20251217_164100,
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob bananas.,C,1,C,0,Sam ONLY gave Rob oranges.,Sam also gave Rob bananas.,"if Sam only gave Rob oranges, then he did not give Rob bananas.",0.0,0.0,2,POS,2,f6,audio,gemini,gemini-2.0-flash,20251217_164100,
5,0,Sam only gave Sue BANANAS.,Sam didn't give Sue grapes.,A,1,A,0,Sam ONLY gave Sue bananas.,Sam didn't give Sue grapes.,"if Sam only gave Sue bananas, then she did not get grapes.",0.0,0.0,2,NEG,2,f6,audio,gemini,gemini-2.0-flash,20251217_164100,
6,0,Sam only gave Tom GRAPES.,Sam didn't give Tom apples.,A,1,A,0,Sam ONLY gave Tom grapes.,Sam didn't give Tom apples.,"if Sam only gave Tom grapes, then he did not get apples.",0.0,0.0,2,NEG,2,f6,audio,gemini,gemini-2.0-flash,20251217_164100,
7,0,Sam only gave TOM bananas.,Sam didn't give Tom grapes.,B,0,A,0,Sam ONLY gave Tom bananas.,Sam didn't give Tom grapes.,"if Sam only gave Tom bananas, then he did not get grapes.",0.0,0.0,1,NEG,2,f6,audio,gemini,gemini-2.0-flash,20251217_164100,
8,0,Sam only gave Rob APPLES.,Sam also gave Rob grapes.,C,1,C,0,Sam ONLY gave Rob apples.,Sam also gave Rob grapes.,"if Sam only gave Rob apples, then he did not give Rob grapes.",0.0,0.0,2,POS,2,f6,audio,gemini,gemini-2.0-flash,20251217_164100,
9,0,Sam only gave ELLEN grapes.,Sam also gave Ellen oranges.,B,0,C,0,Sam ONLY gave Ellen grapes.,Sam also gave Ellen oranges.,"if Sam only gave Ellen grapes, then she did not get oranges.",0.0,0.0,1,POS,2,f6,audio,gemini,gemini-2.0-flash,20251217_164100,
