example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
0,0,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,1,C,1,Sam only gave BILL grapes.,Sam also gave Sue grapes.,"""only gave BILL grapes"" means Bill is the only recipient of grapes; saying Sam also gave Sue grapes conflicts with that.",0.0,0.0,1,POS,1,f1,oracle,openai,gpt-5.1,20260519_144749,,,
1,0,Sam only gave SUE oranges.,Sam also gave Rob oranges.,C,1,C,1,Sam only gave SUE oranges.,Sam also gave Rob oranges.,"""only gave SUE oranges"" means Sue is the only recipient of oranges; saying Sam also gave Rob oranges conflicts with that.",0.0,0.0,1,POS,1,f1,oracle,openai,gpt-5.1,20260519_144749,,,
2,0,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,A,1,A,1,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,"if Sue is the only person Sam gave grapes to, then it follows he did not give grapes to Ellen.",0.0,0.0,1,NEG,1,f1,oracle,openai,gpt-5.1,20260519_144749,,,
3,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,1,B,1,Sam only gave TOM apples.,Sam didn't give Tom grapes.,S1 restricts what Tom got (only apples) but says nothing about whether Tom did or didn't get grapes from Sam; that requires extra inference beyond strict semantics.,0.0,0.0,1,NEG,2,f1,oracle,openai,gpt-5.1,20260519_144749,,,
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,1,C,1,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,"""only gave Rob oranges"" means oranges are the only thing Sam gave Rob; saying he also gave Rob apples contradicts this.",0.0,0.0,2,POS,2,f1,oracle,openai,gpt-5.1,20260519_144749,,,
5,0,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,A,1,A,1,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,"if Sue is the only person Sam gave grapes to, then he did not give grapes to Tom.",0.0,0.0,1,NEG,1,f1,oracle,openai,gpt-5.1,20260519_144749,,,
6,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,0,C,1,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,"""only gave Ellen bananas"" means Ellen is the sole recipient of bananas; saying Sam also gave Mary bananas conflicts with that.",0.0,0.0,2,POS,1,f1,oracle,openai,gpt-5.1,20260519_144749,,,
7,0,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,B,0,A,1,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,"if Rob only got bananas from Sam, then Rob did not get oranges from Sam.",0.0,0.0,1,NEG,2,f1,oracle,openai,gpt-5.1,20260519_144749,,,
8,0,Sam only gave Mary BANANAS.,Sam also gave Mary apples.,C,1,C,1,Sam only gave Mary BANANAS.,Sam also gave Mary apples.,"""only gave Mary bananas"" means bananas are the only thing Mary got from Sam; saying he also gave her apples contradicts this.",0.0,0.0,2,POS,2,f1,oracle,openai,gpt-5.1,20260519_144749,,,
9,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,0,A,1,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,"if Sue is the only person Sam gave oranges to, then Sam did not give oranges to Rob.",0.0,0.0,2,NEG,1,f1,oracle,openai,gpt-5.1,20260519_144749,,,
0,0,Sam only gave ROB bananas.,Sam didn't give Tom bananas.,A,1,A,1,Sam only gave ROB bananas.,Sam didn't give Tom bananas.,"S1 says Rob is the only recipient of bananas, so Sam did not give bananas to Tom.",0.0,0.0,1,NEG,1,f2,oracle,openai,gpt-5.1,20260519_144749,,,
1,0,Sam only gave TOM grapes.,Sam didn't give Tom oranges.,B,0,A,1,Sam only gave TOM grapes.,Sam didn't give Tom oranges.,"S1 restricts Tom’s gifts to grapes only, implying Sam did not give Tom oranges.",0.0,0.0,1,NEG,2,f2,oracle,openai,gpt-5.1,20260519_144749,,,
2,0,Sam only gave SUE oranges.,Sam also gave Sue apples.,B,0,C,1,Sam only gave SUE oranges.,Sam also gave Sue apples.,"S1 says Sue received only oranges, so saying Sam also gave her apples contradicts S1.",0.0,0.0,1,POS,2,f2,oracle,openai,gpt-5.1,20260519_144749,,,
3,0,Sam only gave SUE bananas.,Sam didn't give Rob bananas.,A,1,A,1,Sam only gave SUE bananas.,Sam didn't give Rob bananas.,"S1 makes Sue the only recipient of bananas, so Rob did not receive bananas.",0.0,0.0,1,NEG,1,f2,oracle,openai,gpt-5.1,20260519_144749,,,
4,0,Sam only gave Tom ORANGES.,Sam didn't give Tom bananas.,A,1,A,1,Sam only gave Tom ORANGES.,Sam didn't give Tom bananas.,"S1 limits Tom’s gifts to oranges only, so he did not get bananas.",0.0,0.0,2,NEG,2,f2,oracle,openai,gpt-5.1,20260519_144749,,,
5,0,Sam only gave SUE apples.,Sam didn't give Sue oranges.,B,0,A,1,Sam only gave SUE apples.,Sam didn't give Sue oranges.,"S1 says Sue got only apples, so she did not get oranges.",0.0,0.0,1,NEG,2,f2,oracle,openai,gpt-5.1,20260519_144749,,,
6,0,Sam only gave Sue GRAPES.,Sam didn't give Sue apples.,A,1,A,1,Sam only gave Sue GRAPES.,Sam didn't give Sue apples.,"S1 restricts Sue’s gifts to grapes only, implying she did not get apples.",0.0,0.0,2,NEG,2,f2,oracle,openai,gpt-5.1,20260519_144749,,,
7,0,Sam only gave ELLEN oranges.,Sam also gave Ellen bananas.,B,0,C,1,Sam only gave ELLEN oranges.,Sam also gave Ellen bananas.,"S1 says Ellen received only oranges, so saying she also got bananas contradicts S1.",0.0,0.0,1,POS,2,f2,oracle,openai,gpt-5.1,20260519_144749,,,
8,0,Sam only gave MARY grapes.,Sam didn't give Mary apples.,B,0,A,1,Sam only gave MARY grapes.,Sam didn't give Mary apples.,"S1 says Mary got only grapes, so she did not get apples.",0.0,0.0,1,NEG,2,f2,oracle,openai,gpt-5.1,20260519_144749,,,
9,0,Sam only gave BILL oranges.,Sam also gave Mary oranges.,C,0,B,1,Sam only gave BILL oranges.,Sam also gave Mary oranges.,S1 restricts which person received oranges (Bill only) but says nothing about whether others (like Mary) might also receive oranges in a different transaction; S2 introduces Mary and does not logically follow from or contradict S1.,0.0,0.0,1,POS,1,f2,oracle,openai,gpt-5.1,20260519_144749,,,
0,0,Sam only gave ELLEN grapes.,Sam didn't give Tom grapes.,A,1,A,1,Sam only gave ELLEN grapes.,Sam didn't give Tom grapes.,"if Sam only gave grapes to Ellen, then he gave no grapes to anyone else, including Tom.",0.0,0.0,1,NEG,1,f3,oracle,openai,gpt-5.1,20260519_144749,,,
1,0,Sam only gave Ellen APPLES.,Sam didn't give Ellen oranges.,A,1,A,1,Sam only gave Ellen APPLES.,Sam didn't give Ellen oranges.,"“only gave Ellen apples” implies he did not give Ellen any other fruit, including oranges.",0.0,0.0,2,NEG,2,f3,oracle,openai,gpt-5.1,20260519_144749,,,
2,0,Sam only gave Rob GRAPES.,Sam also gave Ellen grapes.,B,0,C,1,Sam only gave Rob GRAPES.,Sam also gave Ellen grapes.,"if Sam only gave grapes to Rob, he could not have also given grapes to Ellen.",0.0,0.0,2,POS,1,f3,oracle,openai,gpt-5.1,20260519_144749,,,
3,0,Sam only gave Rob APPLES.,Sam also gave Ellen apples.,B,0,C,1,Sam only gave Rob APPLES.,Sam also gave Ellen apples.,"if Sam only gave apples to Rob, he could not have also given apples to Ellen.",0.0,0.0,2,POS,1,f3,oracle,openai,gpt-5.1,20260519_144749,,,
4,0,Sam only gave Ellen APPLES.,Sam didn't give Bill apples.,B,0,A,1,Sam only gave Ellen APPLES.,Sam didn't give Bill apples.,"if Sam only gave apples to Ellen, then he gave no apples to anyone else, including Bill.",0.0,0.0,2,NEG,1,f3,oracle,openai,gpt-5.1,20260519_144749,,,
5,0,Sam only gave Rob APPLES.,Sam didn't give Sue apples.,B,0,A,1,Sam only gave Rob APPLES.,Sam didn't give Sue apples.,"if Sam only gave apples to Rob, then he gave no apples to anyone else, including Sue.",0.0,0.0,2,NEG,1,f3,oracle,openai,gpt-5.1,20260519_144749,,,
6,0,Sam only gave ROB oranges.,Sam also gave Rob apples.,B,0,C,1,Sam only gave ROB oranges.,Sam also gave Rob apples.,"if Sam only gave Rob oranges, he did not give Rob any other fruit, so he could not have given him apples.",0.0,0.0,1,POS,2,f3,oracle,openai,gpt-5.1,20260519_144749,,,
