example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
5,0,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,A,0,C,,,,"in S1, “Sam only gave BILL grapes” means Bill was the sole recipient of grapes. In S2, “Sam also gave Sue grapes” directly contradicts this exclusivity by adding another recipient, Sue.",,,1,NEG,1,f1,audio,openai,gpt-audio,20260503_143128,chatcmpl-DbS91ON2Hgb4ftpj4VTXyLkUn0lR4,0,speaker0
6,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,0,A,,,,"in S1, “Sam only gave SUE oranges” means Sue was the only recipient of oranges. In S2, “Sam also gave Rob oranges” doesn’t contradict that Sue was the only person given oranges, since S1’s focus was on Sue only in relation to oranges, not others. This entails that Sue indeed got those oranges.",,,2,POS,1,f1,audio,openai,gpt-audio,20260503_143128,chatcmpl-DbS91ON2Hgb4ftpj4VTXyLkUn0lR4,0,speaker0
7,0,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,B,0,C,,,,"in S1, “Sam only gave SUE grapes” means Sue was the sole recipient of grapes. In S2, “Sam didn’t give Ellen grapes” is already implied by S1’s exclusiveness (Sue only). But since the focus in S1 was on Sue and not Ellen, this extra detail fits with S1—the exclusiveness focused on Sue makes any grape-giving to Ellen false. So S2 is entailed by S1.",,,1,NEG,2,f1,audio,openai,gpt-audio,20260503_143128,chatcmpl-DbS91ON2Hgb4ftpj4VTXyLkUn0lR4,0,speaker0
8,0,Sam only gave Mary BANANAS.,Sam also gave Mary apples.,C,1,C,,,,"in S1, “Sam only gave TOM apples” means that Tom was the only recipient of apples. In S2, “Sam didn’t give Tom grapes” is consistent with S1, since no reference to grapes for Tom was made, but it’s also entailed by the exclusiveness of the apples. The statement doesn’t contradict the apples focus—Tom’s only association was with apples, not grapes.",,,2,POS,2,f1,audio,openai,gpt-audio,20260503_143128,chatcmpl-DbS91ON2Hgb4ftpj4VTXyLkUn0lR4,0,speaker0
9,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,0,A,,,,"in S1, “Sam only gave ROB oranges” means Rob was the only recipient of oranges. In S2, “Sam also gave Rob apples” doesn’t contradict S1. The focus on oranges in S1 doesn’t block the possibility that Rob also received apples. This shows that Rob indeed got oranges, and S2 doesn’t contradict anything—it merely adds another piece of information: that Rob also got apples. Therefore, S2 is entailed by S1.",,,2,NEG,1,f1,audio,openai,gpt-audio,20260503_143128,chatcmpl-DbS91ON2Hgb4ftpj4VTXyLkUn0lR4,0,speaker0
0,0,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,0,B,,,,"in S1, the prosodic focus is on ""Bill,"" meaning Sam only gave Bill grapes, and not others. S2 introduces Sue also receiving grapes, which is new information. This makes S2 independent of S1, as there is no contradiction or entailment.",,,1,POS,1,f1,audio,openai,gpt-audio,20260503_143128,chatcmpl-DbS9A2Cv7tcstMPso52wflk3HN8sc,1,speaker0
1,0,Sam only gave SUE oranges.,Sam also gave Rob oranges.,C,1,C,,,,"in S1, the prosodic focus is on ""Sue,"" meaning Sam only gave Sue oranges. In S2, it says Sam also gave Rob oranges, which directly contradicts the exclusivity suggested by ""only Sue"" receiving oranges. Therefore, it's a contradiction.",,,1,POS,1,f1,audio,openai,gpt-audio,20260503_143128,chatcmpl-DbS9A2Cv7tcstMPso52wflk3HN8sc,1,speaker0
2,0,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,A,1,A,,,,"in S1, the prosodic focus is on ""Sue,"" meaning Sam only gave Sue grapes. S2 claims that Sam did not give Ellen grapes, which is entailed by the exclusivity in S1. If Sue was the sole recipient of grapes, then Ellen logically didn’t get any grapes either.",,,1,NEG,1,f1,audio,openai,gpt-audio,20260503_143128,chatcmpl-DbS9A2Cv7tcstMPso52wflk3HN8sc,1,speaker0
3,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,0,A,,,,"in S1, the prosodic focus is on ""Tom,"" meaning Sam only gave Tom apples, not anyone else. S2 says Sam didn’t give Tom grapes, which is consistent and entailed by S1. If Tom only received apples, it follows that he didn’t receive grapes.",,,1,NEG,2,f1,audio,openai,gpt-audio,20260503_143128,chatcmpl-DbS9A2Cv7tcstMPso52wflk3HN8sc,1,speaker0
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,0,B,,,,"in S1, the prosodic focus is on ""Rob,"" meaning Sam only gave Rob oranges. S2 states that Sam also gave Rob apples, which is additional information that does not contradict or follow from S1. The original sentence only specifies exclusivity for oranges, not other fruits. So S2 is independent.",,,2,POS,2,f1,audio,openai,gpt-audio,20260503_143128,chatcmpl-DbS9A2Cv7tcstMPso52wflk3HN8sc,1,speaker0
5,0,Sam only gave SUE apples.,Sam didn't give Sue oranges.,B,0,A,,,,"in S1, the prosodic focus is on the name ""Rob,"" and S2 states that Sam didn’t give Tom bananas. This is fully consistent with S1, confirming that Sam only gave Rob bananas and not Tom.",,,1,NEG,2,f2,audio,openai,gpt-audio,20260503_143128,chatcmpl-DbS9IJI9pgaUPgiRnN7H3jIWFNTQ1,0,speaker0
6,0,Sam only gave Sue GRAPES.,Sam didn't give Sue apples.,A,1,A,,,,"in S1, the focus is on ""Tom"" receiving grapes. S2 mentions Sam didn’t give Tom oranges, which aligns with the idea that Tom only got grapes.",,,2,NEG,2,f2,audio,openai,gpt-audio,20260503_143128,chatcmpl-DbS9IJI9pgaUPgiRnN7H3jIWFNTQ1,0,speaker0
7,0,Sam only gave ELLEN oranges.,Sam also gave Ellen bananas.,B,0,C,,,,"in S1, the focus is on ""Sue"" receiving oranges, yet in S2, Sam also gave Sue apples. This contradicts the exclusivity implied by ""only"" in S1.",,,1,POS,2,f2,audio,openai,gpt-audio,20260503_143128,chatcmpl-DbS9IJI9pgaUPgiRnN7H3jIWFNTQ1,0,speaker0
8,0,Sam only gave MARY grapes.,Sam didn't give Mary apples.,B,0,A,,,,"in S1, the focus is on ""Sue"" getting bananas. S2 states Sam didn’t give Rob bananas, which is consistent, confirming that the bananas were only for Sue.",,,1,NEG,2,f2,audio,openai,gpt-audio,20260503_143128,chatcmpl-DbS9IJI9pgaUPgiRnN7H3jIWFNTQ1,0,speaker0
9,0,Sam only gave BILL oranges.,Sam also gave Mary oranges.,C,0,A,,,,"in S1, the focus is on ""Tom"" receiving oranges. S2 indicates Sam didn’t give Tom bananas, which is aligned with the exclusivity implied by ""only"" in S1.",,,1,POS,1,f2,audio,openai,gpt-audio,20260503_143128,chatcmpl-DbS9IJI9pgaUPgiRnN7H3jIWFNTQ1,0,speaker0
0,0,Sam only gave ROB bananas.,Sam didn't give Tom bananas.,A,1,A,,,,"""Sam only gave Rob bananas"" means Sam didn’t give Rob anything else and the second sentence ""Sam didn’t give Tom bananas"" is consistent, so it’s entailed. The focus on ""Rob"" confirms who received the bananas, not Tom.",,,1,NEG,1,f2,audio,openai,gpt-audio,20260503_143128,chatcmpl-DbS9RSdRKmbjE3vrIPBJV3t0tkC9a,1,speaker0
1,0,Sam only gave TOM grapes.,Sam didn't give Tom oranges.,B,0,A,,,,"""Sam only gave Tom grapes"" means Tom got no other fruit and the second sentence ""Sam didn’t give Tom oranges"" aligns perfectly, so it’s entailed. The prosodic focus confirms it’s about Tom’s grapes versus other fruits.",,,1,NEG,2,f2,audio,openai,gpt-audio,20260503_143128,chatcmpl-DbS9RSdRKmbjE3vrIPBJV3t0tkC9a,1,speaker0
