example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id
0,0,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,1,C,1,Sam only gave BILL grapes.,Sam also gave Sue grapes.,"S1 states that Sam only gave Bill grapes, which contradicts S2 stating that Sam also gave Sue grapes.",0.0,0.0,1,POS,1,f1,audio,gemini,gemini-2.0-flash,20251217_164100,
1,0,Sam only gave SUE oranges.,Sam also gave Rob oranges.,C,1,C,1,Sam only gave SUE oranges.,Sam also gave Rob oranges.,"S1 states that Sam only gave Sue oranges, which contradicts S2 stating that Sam also gave Rob oranges.",0.0,0.0,1,POS,1,f1,audio,gemini,gemini-2.0-flash,20251217_164100,
2,0,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,A,1,A,1,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,"if Sam only gave Sue grapes, then it is entailed that Sam didn't give Ellen grapes.",0.0,0.0,1,NEG,1,f1,audio,gemini,gemini-2.0-flash,20251217_164100,
3,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,1,B,1,Sam only gave TOM apples.,Sam didn't give Tom grapes.,"S1 is about apples and S2 is about grapes, so they are independent.",0.0,0.0,1,NEG,2,f1,audio,gemini,gemini-2.0-flash,20251217_164100,
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,1,C,0,Sam only gave ROB oranges.,Sam also gave Rob apples.,"S1 states that Sam only gave Rob oranges, which contradicts S2 stating that Sam also gave Rob apples.",0.0,0.0,2,POS,2,f1,audio,gemini,gemini-2.0-flash,20251217_164100,
5,0,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,A,1,A,1,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,"if Sam only gave Sue grapes, then it is entailed that Sam didn't give Tom grapes.",0.0,0.0,1,NEG,1,f1,audio,gemini,gemini-2.0-flash,20251217_164100,
6,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,0,C,0,Sam only gave ELLEN bananas.,Sam also gave Mary bananas.,"S1 states that Sam only gave Ellen bananas, which contradicts S2 stating that Sam also gave Mary bananas.",0.0,0.0,2,POS,1,f1,audio,gemini,gemini-2.0-flash,20251217_164100,
7,0,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,B,1,B,1,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,"S1 is about bananas and S2 is about oranges, so they are independent.",0.0,0.0,1,NEG,2,f1,audio,gemini,gemini-2.0-flash,20251217_164100,
8,0,Sam only gave Mary BANANAS.,Sam also gave Mary apples.,C,1,C,0,Sam only gave MARY bananas.,Sam also gave Mary apples.,"S1 states that Sam only gave Mary bananas, which contradicts S2 stating that Sam also gave Mary apples.",0.0,0.0,2,POS,2,f1,audio,gemini,gemini-2.0-flash,20251217_164100,
9,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,0,A,0,Sam only gave SUE oranges.,Sam didn't give Rob oranges.,"if Sam only gave Sue oranges, then it is entailed that Sam didn't give Rob oranges.",0.0,0.0,2,NEG,1,f1,audio,gemini,gemini-2.0-flash,20251217_164100,
0,0,Sam only gave ROB bananas.,Sam didn't give Tom bananas.,A,0,B,1,Sam only gave ROB bananas.,Sam didn't give Tom bananas.,S1 is about Rob and S2 is about Tom.,0.0,0.0,1,NEG,1,f2,audio,gemini,gemini-2.0-flash,20251217_164100,
1,0,Sam only gave TOM grapes.,Sam didn't give Tom oranges.,B,1,B,1,Sam only gave TOM grapes.,Sam didn't give Tom oranges.,S1 is about grapes and S2 is about oranges.,0.0,0.0,1,NEG,2,f2,audio,gemini,gemini-2.0-flash,20251217_164100,
2,0,Sam only gave SUE oranges.,Sam also gave Sue apples.,B,0,C,1,Sam only gave SUE oranges.,Sam also gave Sue apples.,"S1 states Sue only received oranges, contradicting S2 which states she also received apples.",0.0,0.0,1,POS,2,f2,audio,gemini,gemini-2.0-flash,20251217_164100,
3,0,Sam only gave SUE bananas.,Sam didn't give Rob bananas.,A,0,B,1,Sam only gave SUE bananas.,Sam didn't give Rob bananas.,S1 is about Sue and S2 is about Rob.,0.0,0.0,1,NEG,1,f2,audio,gemini,gemini-2.0-flash,20251217_164100,
4,0,Sam only gave Tom ORANGES.,Sam didn't give Tom bananas.,A,0,B,0,Sam only gave TOM oranges.,Sam didn't give Tom bananas.,S1 is about oranges and S2 is about bananas.,0.0,0.0,2,NEG,2,f2,audio,gemini,gemini-2.0-flash,20251217_164100,
5,0,Sam only gave SUE apples.,Sam didn't give Sue oranges.,B,1,B,1,Sam only gave SUE apples.,Sam didn't give Sue oranges.,S1 is about apples and S2 is about oranges.,0.0,0.0,1,NEG,2,f2,audio,gemini,gemini-2.0-flash,20251217_164100,
6,0,Sam only gave Sue GRAPES.,Sam didn't give Sue apples.,A,0,B,0,Sam only gave SUE grapes.,Sam didn't give Sue apples.,S1 is about grapes and S2 is about apples.,0.0,0.0,2,NEG,2,f2,audio,gemini,gemini-2.0-flash,20251217_164100,
7,0,Sam only gave ELLEN oranges.,Sam also gave Ellen bananas.,B,0,C,1,Sam only gave ELLEN oranges.,Sam also gave Ellen bananas.,"S1 states Ellen only received oranges, contradicting S2 which states she also received bananas.",0.0,0.0,1,POS,2,f2,audio,gemini,gemini-2.0-flash,20251217_164100,
8,0,Sam only gave MARY grapes.,Sam didn't give Mary apples.,B,1,B,1,Sam only gave MARY grapes.,Sam didn't give Mary apples.,S1 is about grapes and S2 is about apples.,0.0,0.0,1,NEG,2,f2,audio,gemini,gemini-2.0-flash,20251217_164100,
9,0,Sam only gave BILL oranges.,Sam also gave Mary oranges.,C,0,B,1,Sam only gave BILL oranges.,Sam also gave Mary oranges.,S1 is about Bill and S2 is about Mary.,0.0,0.0,1,POS,1,f2,audio,gemini,gemini-2.0-flash,20251217_164100,
0,0,Sam only gave ELLEN grapes.,Sam didn't give Tom grapes.,A,0,B,0,Sam ONLY gave Ellen grapes.,Sam didn't give Tom grapes.,"S2 is independent of S1. S1 states who Sam gave grapes to, and S2 states who Sam did not give grapes to.",0.0,0.0,1,NEG,1,f3,audio,gemini,gemini-2.0-flash,20251217_164100,
1,0,Sam only gave Ellen APPLES.,Sam didn't give Ellen oranges.,A,0,C,1,Sam ONLY gave Ellen APPLES.,Sam didn't give Ellen apples.,"S2 contradicts S1. S1 states that Sam gave Ellen apples, and S2 states that Sam did not give Ellen apples.",0.0,0.1724137931034483,2,NEG,2,f3,audio,gemini,gemini-2.0-flash,20251217_164100,
2,0,Sam only gave Rob GRAPES.,Sam also gave Ellen grapes.,B,0,C,0,Sam ONLY gave Rob grapes.,Sam also gave Ellen grapes.,"S2 contradicts S1. S1 states that Sam only gave Rob grapes, and S2 states that Sam also gave Ellen grapes.",0.0,0.0,2,POS,1,f3,audio,gemini,gemini-2.0-flash,20251217_164100,
3,0,Sam only gave Rob APPLES.,Sam also gave Ellen apples.,B,0,C,1,Sam ONLY gave Rob APPLES.,Sam also gave Ellen apples.,"S2 contradicts S1. S1 states that Sam only gave Rob apples, and S2 states that Sam also gave Ellen apples.",0.0,0.0,2,POS,1,f3,audio,gemini,gemini-2.0-flash,20251217_164100,
