example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold
0,0,Sam only gave SUE apples.,Sam also gave Rob apples.,C,1,C,1,Sam only gave SUE apples.,Sam also gave Rob apples.,"S1 implies that Sue was the only person who received apples, which contradicts S2 stating that Rob also received apples.",0.0,0.0,1,POS,1,f4,audio,gemini,gemini-3.1-pro-preview,20260223_171601,,
1,0,Sam only gave Bill APPLES.,Sam didn't give Mary apples.,B,1,B,1,Sam only gave Bill APPLES.,Sam didn't give Mary apples.,"S1 implies that apples were the only things Sam gave to Bill, but it provides no information about what Sam gave to Mary.",0.0,0.0,2,NEG,1,f4,audio,gemini,gemini-3.1-pro-preview,20260223_171601,,
2,0,Sam only gave MARY oranges.,Sam also gave Ellen oranges.,C,1,C,1,Sam only gave MARY oranges.,Sam also gave Ellen oranges.,"S1 implies that Mary was the only person who received oranges, which contradicts S2 stating that Ellen also received oranges.",0.0,0.0,1,POS,1,f4,audio,gemini,gemini-3.1-pro-preview,20260223_171601,,
3,0,Sam only gave Ellen APPLES.,Sam didn't give Tom apples.,B,1,B,1,Sam only gave Ellen APPLES.,Sam didn't give Tom apples.,"S1 implies that apples were the only things Sam gave to Ellen, but it provides no information about what Sam gave to Tom.",0.0,0.0,2,NEG,1,f4,audio,gemini,gemini-3.1-pro-preview,20260223_171601,,
4,0,Sam only gave ROB bananas.,Sam also gave Rob oranges.,B,1,B,1,Sam only gave ROB bananas.,Sam also gave Rob oranges.,"S1 implies that Rob was the only person who received bananas, but it provides no information about what else Sam might have given to Rob.",0.0,0.0,1,POS,2,f4,audio,gemini,gemini-3.1-pro-preview,20260223_171601,,
5,0,Sam only gave Bill BANANAS.,Sam didn't give Bill grapes.,A,1,A,1,Sam only gave Bill BANANAS.,Sam didn't give Bill grapes.,"S1 implies that bananas were the only things Sam gave to Bill, which entails that he did not give him grapes.",0.0,0.0,2,NEG,2,f4,audio,gemini,gemini-3.1-pro-preview,20260223_171601,,
6,0,Sam only gave Ellen ORANGES.,Sam didn't give Ellen grapes.,A,1,A,1,Sam only gave Ellen ORANGES.,Sam didn't give Ellen grapes.,"S1 implies that oranges were the only things Sam gave to Ellen, which entails that he did not give her grapes.",0.0,0.0,2,NEG,2,f4,audio,gemini,gemini-3.1-pro-preview,20260223_171601,,
7,0,Sam only gave Mary BANANAS.,Sam didn't give Ellen bananas.,B,1,B,1,Sam only gave Mary BANANAS.,Sam didn't give Ellen bananas.,"S1 implies that bananas were the only things Sam gave to Mary, but it provides no information about what Sam gave to Ellen.",0.0,0.0,2,NEG,1,f4,audio,gemini,gemini-3.1-pro-preview,20260223_171601,,
8,0,Sam only gave BILL bananas.,Sam didn't give Tom bananas.,A,1,A,1,Sam only gave BILL bananas.,Sam didn't give Tom bananas.,"S1 implies that Bill was the only person who received bananas, which entails that Tom did not receive bananas.",0.0,0.0,1,NEG,1,f4,audio,gemini,gemini-3.1-pro-preview,20260223_171601,,
9,0,Sam only gave Sue ORANGES.,Sam didn't give Sue grapes.,A,1,A,1,Sam only gave Sue ORANGES.,Sam didn't give Sue grapes.,"S1 implies that oranges were the only things Sam gave to Sue, which entails that he did not give her grapes.",0.0,0.0,2,NEG,2,f4,audio,gemini,gemini-3.1-pro-preview,20260223_171601,,
0,0,Sam only gave Ellen GRAPES.,Sam also gave Ellen oranges.,C,1,C,1,Sam only gave Ellen GRAPES.,Sam also gave Ellen oranges.,"S1 restricts the set of things Sam gave to Ellen to just grapes, which contradicts S2's claim that he also gave her oranges.",0.0,0.0,2,POS,2,f5,audio,gemini,gemini-3.1-pro-preview,20260223_171601,,
1,0,Sam only gave ELLEN apples.,Sam also gave Rob apples.,C,1,C,1,Sam only gave ELLEN apples.,Sam also gave Rob apples.,"S1 restricts the set of people Sam gave apples to to just Ellen, which contradicts S2's claim that he also gave apples to Rob.",0.0,0.0,1,POS,1,f5,audio,gemini,gemini-3.1-pro-preview,20260223_171601,,
2,0,Sam only gave MARY oranges.,Sam didn't give Mary bananas.,B,1,B,1,Sam only gave MARY oranges.,Sam didn't give Mary bananas.,"S1 restricts the set of people Sam gave oranges to to just Mary, but provides no information about whether or not Sam gave Mary bananas.",0.0,0.0,1,NEG,2,f5,audio,gemini,gemini-3.1-pro-preview,20260223_171601,,
