example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id
0,0,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,1,C,1,Sam only gave BILL grapes.,Sam also gave Sue grapes.,"the focus in S1 is on ""BILL"", meaning Sam didn't give grapes to anyone else. If S2 claims Sam also gave Sue grapes, that contradicts the exclusive claim that only Bill got grapes.",0.0,0.0,1,POS,1,f1,audio,openai,gpt-audio,20251217_133320,chatcmpl-Cnlwiu8JdaR2YjWMm9vQ7HRWu3VZk
1,0,Sam only gave SUE oranges.,Sam also gave Rob oranges.,C,1,C,0,Sam only gave Sue ORANGES.,Sam also gave Rob oranges.,"the focus in S1 is on ""ORANGES"", meaning Sue got only oranges and not other fruits. But this doesn’t exclude others from getting oranges. S2 says Rob also got oranges, which contradicts the typical inference from the exclusive claim that usually no one else got oranges. So, the contradiction arises from the implication that ""only Sue"" should exclude others receiving the same item.",0.0,0.0,1,POS,1,f1,audio,openai,gpt-audio,20251217_133320,chatcmpl-Cnlwiu8JdaR2YjWMm9vQ7HRWu3VZk
2,0,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,A,1,A,1,Sam only gave SUE grapes.,Sam didn’t give Ellen grapes.,"the focus in S1 is on ""SUE"", meaning Sam gave grapes to Sue and no one else. S2 says Sam didn’t give Ellen grapes, which aligns perfectly with the exclusivity claim.",0.0,0.03571428571428571,1,NEG,1,f1,audio,openai,gpt-audio,20251217_133320,chatcmpl-Cnlwiu8JdaR2YjWMm9vQ7HRWu3VZk
3,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,0,A,0,Sam only gave Tom APPLES.,Sam didn’t give Tom grapes.,"the focus in S1 is on ""APPLES"", meaning Tom got only apples and not any other fruit. S2 states that Sam didn’t give Tom grapes, which is consistent with that exclusive claim.",0.0,0.038461538461538464,1,NEG,2,f1,audio,openai,gpt-audio,20251217_133320,chatcmpl-Cnlwiu8JdaR2YjWMm9vQ7HRWu3VZk
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,1,C,0,Sam only gave ROB oranges.,Sam also gave Rob apples.,"the focus in S1 is on ""ROB"", meaning Sam didn’t give oranges to anyone else. But S2 talks about giving Rob apples. This contradicts the inference that Rob exclusively got oranges and no other items.",0.0,0.0,2,POS,2,f1,audio,openai,gpt-audio,20251217_133320,chatcmpl-Cnlwiu8JdaR2YjWMm9vQ7HRWu3VZk
5,0,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,A,1,A,1,Sam only gave SUE grapes.,Sam didn’t give Tom grapes.,"the focus in S1 is on ""SUE"", meaning only Sue got grapes. S2 says Tom didn’t get grapes, which perfectly supports that exclusive claim.",0.0,0.038461538461538464,1,NEG,1,f1,audio,openai,gpt-audio,20251217_133320,chatcmpl-Cnlwiu8JdaR2YjWMm9vQ7HRWu3VZk
6,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,0,C,0,Sam only gave ELLEN bananas.,Sam also gave Mary bananas.,"the focus in S1 is on ""ELLEN"", meaning no one else got bananas. S2 says Mary also got bananas, which contradicts S1’s exclusivity.",0.0,0.0,2,POS,1,f1,audio,openai,gpt-audio,20251217_133320,chatcmpl-Cnlwiu8JdaR2YjWMm9vQ7HRWu3VZk
7,0,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,B,0,A,1,Sam only gave ROB bananas.,Sam didn’t give Rob oranges.,"the focus in S1 is on ""ROB"", meaning Sam gave bananas only to Rob and not to others. S2 says Sam didn’t give Rob oranges, which aligns with S1’s implication that Rob got bananas and no other fruits.",0.0,0.037037037037037035,1,NEG,2,f1,audio,openai,gpt-audio,20251217_133320,chatcmpl-Cnlwiu8JdaR2YjWMm9vQ7HRWu3VZk
8,0,Sam only gave Mary BANANAS.,Sam also gave Mary apples.,C,1,C,0,Sam only gave MARY bananas.,Sam also gave Mary apples.,"the focus in S1 is on ""MARY"", meaning no one else got bananas. The fact that S2 says Mary got apples doesn’t directly contradict this. However, the intended logic of exclusivity focuses on a single beneficiary. The statement implies that Mary got only bananas (and no other fruit), so S2 contradicts that by saying Mary got apples too.",0.0,0.0,2,POS,2,f1,audio,openai,gpt-audio,20251217_133320,chatcmpl-Cnlwiu8JdaR2YjWMm9vQ7HRWu3VZk
9,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,0,A,0,Sam only gave SUE oranges.,Sam didn’t give Rob oranges.,"the focus in S1 is on ""SUE"", meaning only Sue got oranges. S2 says Rob didn’t get oranges, which supports that exclusive claim.",0.0,0.037037037037037035,2,NEG,1,f1,audio,openai,gpt-audio,20251217_133320,chatcmpl-Cnlwiu8JdaR2YjWMm9vQ7HRWu3VZk
