example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
0,0,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,,,1,Sam only gave BILL grapes.,Sam also gave Sue grapes.,,0.0,0.0,1,POS,1,ns1,audio,openai,gpt-audio,20260428_152500,chatcmpl-DZebL8iWYeprxbROACNcmlaBbTa1q,,speaker2
1,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,,,1,Sam only gave Sue ORANGES.,Sam didn’t give Rob oranges.,,0.0,0.037037037037037035,2,NEG,1,ns1,audio,openai,gpt-audio,20260428_152500,chatcmpl-DZebL8iWYeprxbROACNcmlaBbTa1q,,speaker2
2,0,Sam only gave ROB grapes.,Sam also gave Rob oranges.,B,,,0,Sam only gave Rob GRAPES.,Sam also gave Rob oranges.,,0.0,0.0,1,POS,2,ns1,audio,openai,gpt-audio,20260428_152500,chatcmpl-DZebL8iWYeprxbROACNcmlaBbTa1q,,speaker2
3,0,Sam only gave Tom ORANGES.,Sam didn't give Tom bananas.,A,,,1,Sam only gave Tom ORANGES.,Sam didn’t give Tom bananas.,,0.0,0.037037037037037035,2,NEG,2,ns1,audio,openai,gpt-audio,20260428_152500,chatcmpl-DZebL8iWYeprxbROACNcmlaBbTa1q,,speaker2
4,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,,,1,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,,0.0,0.0,2,POS,1,ns1,audio,openai,gpt-audio,20260428_152500,chatcmpl-DZebL8iWYeprxbROACNcmlaBbTa1q,,speaker2
5,0,Sam only gave ELLEN grapes.,Sam didn't give Tom grapes.,A,,,0,Sam only gave Ellen GRAPES.,Sam didn’t give Tom grapes.,,0.0,0.038461538461538464,1,NEG,1,ns1,audio,openai,gpt-audio,20260428_152500,chatcmpl-DZebL8iWYeprxbROACNcmlaBbTa1q,,speaker2
6,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,,,1,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,,0.0,0.0,2,POS,2,ns1,audio,openai,gpt-audio,20260428_152500,chatcmpl-DZebL8iWYeprxbROACNcmlaBbTa1q,,speaker2
7,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,,,0,Sam only gave Tom APPLES.,Sam didn’t give Tom grapes.,,0.0,0.038461538461538464,1,NEG,2,ns1,audio,openai,gpt-audio,20260428_152500,chatcmpl-DZebL8iWYeprxbROACNcmlaBbTa1q,,speaker2
0,0,Sam only gave BILL grapes.,Sam didn't give Bill oranges.,B,,,1,Sam only gave BILL grapes.,Sam didn’t give Bill oranges.,,0.0,0.03571428571428571,1,NEG,2,ns2,audio,openai,gpt-audio,20260428_152500,chatcmpl-DZebZTC3tKx32vKGUTOKdm9xrhSnS,,speaker2
1,0,Sam only gave Ellen GRAPES.,Sam also gave Ellen oranges.,C,,,0,Sam only gave ELLEN grapes.,Sam also gave Ellen oranges.,,0.0,0.0,2,POS,2,ns2,audio,openai,gpt-audio,20260428_152500,chatcmpl-DZebZTC3tKx32vKGUTOKdm9xrhSnS,,speaker2
2,0,Sam only gave BILL bananas.,Sam didn't give Tom bananas.,A,,,1,Sam only gave BILL bananas.,Sam didn’t give Tom bananas.,,0.0,0.037037037037037035,1,NEG,1,ns2,audio,openai,gpt-audio,20260428_152500,chatcmpl-DZebZTC3tKx32vKGUTOKdm9xrhSnS,,speaker2
3,0,Sam only gave Ellen ORANGES.,Sam also gave Sue oranges.,B,,,0,Sam only gave ELLEN oranges.,Sam also gave Sue oranges.,,0.0,0.0,2,POS,1,ns2,audio,openai,gpt-audio,20260428_152500,chatcmpl-DZebZTC3tKx32vKGUTOKdm9xrhSnS,,speaker2
4,0,Sam only gave TOM apples.,Sam also gave Bill apples.,C,,,1,Sam only gave TOM apples.,Sam also gave Bill apples.,,0.0,0.0,1,POS,1,ns2,audio,openai,gpt-audio,20260428_152500,chatcmpl-DZebZTC3tKx32vKGUTOKdm9xrhSnS,,speaker2
5,0,Sam only gave Bill BANANAS.,Sam didn't give Bill grapes.,A,,,0,Sam only gave BILL bananas.,Sam didn’t give Bill grapes.,,0.0,0.037037037037037035,2,NEG,2,ns2,audio,openai,gpt-audio,20260428_152500,chatcmpl-DZebZTC3tKx32vKGUTOKdm9xrhSnS,,speaker2
6,0,Sam only gave ELLEN bananas.,Sam also gave Ellen grapes.,B,,,1,Sam only gave ELLEN bananas.,Sam also gave Ellen grapes.,,0.0,0.0,1,POS,2,ns2,audio,openai,gpt-audio,20260428_152500,chatcmpl-DZebZTC3tKx32vKGUTOKdm9xrhSnS,,speaker2
7,0,Sam only gave Ellen GRAPES.,Sam didn't give Rob grapes.,B,,,0,Sam only gave ELLEN grapes.,Sam didn’t give Rob grapes.,,0.0,0.038461538461538464,2,NEG,1,ns2,audio,openai,gpt-audio,20260428_152500,chatcmpl-DZebZTC3tKx32vKGUTOKdm9xrhSnS,,speaker2
0,0,Sam only gave ROB bananas.,Sam also gave Rob oranges.,B,,,1,Sam only gave ROB bananas.,Sam also gave Rob oranges.,,0.0,0.0,1,POS,2,ns3,audio,openai,gpt-audio,20260428_152500,chatcmpl-DZebjPUDagYjtRtnEUl7ozUGHhsh2,,speaker2
1,0,Sam only gave Mary APPLES.,Sam also gave Mary bananas.,C,,,0,Sam only gave MARY apples.,Sam also gave Mary bananas.,,0.0,0.0,2,POS,2,ns3,audio,openai,gpt-audio,20260428_152500,chatcmpl-DZebjPUDagYjtRtnEUl7ozUGHhsh2,,speaker2
2,0,Sam only gave SUE bananas.,Sam didn't give Rob bananas.,A,,,1,Sam only gave SUE bananas.,Sam didn't give Rob bananas.,,0.0,0.0,1,NEG,1,ns3,audio,openai,gpt-audio,20260428_152500,chatcmpl-DZebjPUDagYjtRtnEUl7ozUGHhsh2,,speaker2
3,0,Sam only gave Mary GRAPES.,Sam also gave Ellen grapes.,B,,,0,Sam only gave MARY grapes.,Sam also gave Ellen grapes.,,0.0,0.0,2,POS,1,ns3,audio,openai,gpt-audio,20260428_152500,chatcmpl-DZebjPUDagYjtRtnEUl7ozUGHhsh2,,speaker2
4,0,Sam only gave ELLEN apples.,Sam also gave Rob apples.,C,,,1,Sam only gave ELLEN apples.,Sam also gave Rob apples.,,0.0,0.0,1,POS,1,ns3,audio,openai,gpt-audio,20260428_152500,chatcmpl-DZebjPUDagYjtRtnEUl7ozUGHhsh2,,speaker2
5,0,Sam only gave Tom BANANAS.,Sam didn't give Tom oranges.,A,,,0,Sam only gave TOM bananas.,Sam didn't give Tom oranges.,,0.0,0.0,2,NEG,2,ns3,audio,openai,gpt-audio,20260428_152500,chatcmpl-DZebjPUDagYjtRtnEUl7ozUGHhsh2,,speaker2
6,0,Sam only gave SUE apples.,Sam didn't give Sue oranges.,B,,,1,Sam only gave SUE apples.,Sam didn't give Sue oranges.,,0.0,0.0,1,NEG,2,ns3,audio,openai,gpt-audio,20260428_152500,chatcmpl-DZebjPUDagYjtRtnEUl7ozUGHhsh2,,speaker2
7,0,Sam only gave Bill APPLES.,Sam didn't give Mary apples.,B,,,0,Sam only gave BILL apples.,Sam didn't give Mary apples.,,0.0,0.0,2,NEG,1,ns3,audio,openai,gpt-audio,20260428_152500,chatcmpl-DZebjPUDagYjtRtnEUl7ozUGHhsh2,,speaker2
