example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id
0,0,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,1,C,1,Sam only gave BILL grapes.,Sam also gave Sue grapes.,"the focus is on ""BILL."" This means Sam did not give grapes to anyone else besides Bill. If Sam also gave Sue grapes, that contradicts S1.",0.0,0.0,1,POS,1,f1,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmGOXMCeeEY3o1uojJBxEIBnYxCx
1,0,Sam only gave SUE oranges.,Sam also gave Rob oranges.,C,1,C,1,Sam only gave SUE oranges.,Sam also gave Rob oranges.,"the focus is on ""SUE."" This means Sam did not give oranges to anyone else. If he also gave Rob oranges, that contradicts S1.",0.0,0.0,1,POS,1,f1,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmGOXMCeeEY3o1uojJBxEIBnYxCx
2,0,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,A,1,A,1,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,"the focus is on ""SUE,"" meaning Sam gave grapes only to Sue and no one else. Since S2 says he didn't give Ellen grapes, this is consistent with S1.",0.0,0.0,1,NEG,1,f1,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmGOXMCeeEY3o1uojJBxEIBnYxCx
3,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,1,B,1,Sam only gave TOM apples.,Sam didn't give Tom grapes.,"the focus is on ""apples."" This means Sam gave Tom only apples, not any other fruit. S2 is independent because it talks about grapes, not apples.",0.0,0.0,1,NEG,2,f1,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmGOXMCeeEY3o1uojJBxEIBnYxCx
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,1,C,0,Sam only gave ROB oranges.,Sam also gave Rob apples.,"the focus is on ""oranges."" This means Sam only gave Rob oranges and nothing else. If Sam also gave Rob apples, that contradicts S1.",0.0,0.0,2,POS,2,f1,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmGOXMCeeEY3o1uojJBxEIBnYxCx
5,0,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,A,1,A,1,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,"the focus is on ""SUE."" This means Sam gave grapes only to Sue. The fact that he didn’t give grapes to Tom supports that interpretation.",0.0,0.0,1,NEG,1,f1,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmGOXMCeeEY3o1uojJBxEIBnYxCx
6,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,0,C,0,Sam only gave ELLEN bananas.,Sam also gave Mary bananas.,"the focus is on ""ELLEN."" This means Sam only gave bananas to Ellen and to no one else. If he also gave them to Mary, that contradicts S1.",0.0,0.0,2,POS,1,f1,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmGOXMCeeEY3o1uojJBxEIBnYxCx
7,0,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,B,0,A,1,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,"the focus is on ""bananas."" This means Sam only gave Rob bananas. The fact that he didn’t give Rob oranges is consistent with that (it supports the idea that he only got bananas).",0.0,0.0,1,NEG,2,f1,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmGOXMCeeEY3o1uojJBxEIBnYxCx
8,0,Sam only gave Mary BANANAS.,Sam also gave Mary apples.,C,1,C,0,Sam only gave MARY bananas.,Sam also gave Mary apples.,"the focus is on ""bananas."" This means Sam gave Mary only bananas and nothing else. If he also gave Mary apples, that contradicts S1.",0.0,0.0,2,POS,2,f1,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmGOXMCeeEY3o1uojJBxEIBnYxCx
9,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,0,A,0,Sam only gave SUE oranges.,Sam didn't give Rob oranges.,"the focus is on ""SUE."" This means Sam only gave oranges to Sue, so it’s consistent that he didn’t give Rob any oranges either.",0.0,0.0,2,NEG,1,f1,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmGOXMCeeEY3o1uojJBxEIBnYxCx
0,0,Sam only gave ROB bananas.,Sam didn't give Tom bananas.,A,1,A,1,Sam only gave ROB bananas.,Sam didn’t give Tom bananas.,"focusing on ""ROB"" entails that Sam gave bananas to Rob and not to anyone else, including Tom.",0.0,0.037037037037037035,1,NEG,1,f2,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmGeHEs3ibmghFAK2Mwolw4UaqQO
1,0,Sam only gave TOM grapes.,Sam didn't give Tom oranges.,B,1,B,1,Sam only gave TOM grapes.,Sam didn’t give Tom oranges.,"focusing on ""TOM"" entails that Sam gave grapes to Tom and not to anyone else, but it doesn’t say anything about what specific fruits were not given to Tom.",0.0,0.037037037037037035,1,NEG,2,f2,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmGeHEs3ibmghFAK2Mwolw4UaqQO
2,0,Sam only gave SUE oranges.,Sam also gave Sue apples.,B,0,C,1,Sam only gave SUE oranges.,Sam also gave Sue apples.,"focusing on ""SUE"" and ""oranges"" means Sam gave oranges to Sue and not anything else to her. Saying that Sam also gave Sue apples directly contradicts that.",0.0,0.0,1,POS,2,f2,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmGeHEs3ibmghFAK2Mwolw4UaqQO
3,0,Sam only gave SUE bananas.,Sam didn't give Rob bananas.,A,0,B,1,Sam only gave SUE bananas.,Sam didn’t give Rob bananas.,"focusing on ""SUE"" and ""bananas"" means Sam gave bananas only to Sue, and it doesn’t say anything directly about who else received or didn’t receive bananas, so the statement about Rob is independent.",0.0,0.037037037037037035,1,NEG,1,f2,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmGeHEs3ibmghFAK2Mwolw4UaqQO
4,0,Sam only gave Tom ORANGES.,Sam didn't give Tom bananas.,A,1,A,0,Sam only gave TOM oranges.,Sam didn’t give Tom bananas.,"focusing on ""oranges"" means that Sam only gave oranges to Tom, so he didn’t give Tom any other fruit, including bananas.",0.0,0.037037037037037035,2,NEG,2,f2,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmGeHEs3ibmghFAK2Mwolw4UaqQO
5,0,Sam only gave SUE apples.,Sam didn't give Sue oranges.,B,0,A,1,Sam only gave SUE apples.,Sam didn’t give Sue oranges.,"focusing on ""apples"" means that Sam gave only apples to Sue, so he didn’t give her any other fruit, including oranges.",0.0,0.037037037037037035,1,NEG,2,f2,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmGeHEs3ibmghFAK2Mwolw4UaqQO
6,0,Sam only gave Sue GRAPES.,Sam didn't give Sue apples.,A,1,A,0,Sam only gave SUE grapes.,Sam didn’t give Sue apples.,"focusing on ""grapes"" means that Sam only gave grapes to Sue, so he didn’t give her any other fruit, including apples.",0.0,0.038461538461538464,2,NEG,2,f2,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmGeHEs3ibmghFAK2Mwolw4UaqQO
7,0,Sam only gave ELLEN oranges.,Sam also gave Ellen bananas.,B,0,C,1,Sam only gave ELLEN oranges.,Sam also gave Ellen bananas.,"focusing on ""oranges"" means that Sam gave only oranges to Ellen, so saying he also gave bananas contradicts that.",0.0,0.0,1,POS,2,f2,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmGeHEs3ibmghFAK2Mwolw4UaqQO
8,0,Sam only gave MARY grapes.,Sam didn't give Mary apples.,B,0,A,1,Sam only gave MARY grapes.,Sam didn’t give Mary apples.,"focusing on ""grapes"" means Sam gave only grapes to Mary, so he didn’t give her any other fruit, including apples.",0.0,0.037037037037037035,1,NEG,2,f2,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmGeHEs3ibmghFAK2Mwolw4UaqQO
9,0,Sam only gave BILL oranges.,Sam also gave Mary oranges.,C,0,B,1,Sam only gave BILL oranges.,Sam also gave Mary oranges.,"focusing on ""BILL"" means Sam gave only oranges to Bill, but it doesn’t say anything about what Sam gave to Mary, so that statement is independent.",0.0,0.0,1,POS,1,f2,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmGeHEs3ibmghFAK2Mwolw4UaqQO
0,0,Sam only gave ELLEN grapes.,Sam didn't give Tom grapes.,A,1,A,1,Sam only gave ELLEN grapes,Sam didn’t give Tom grapes,"the focus is on ""Ellen,"" it entails that Sam didn't give anyone else grapes, including Tom.",0.0,0.038461538461538464,1,NEG,1,f3,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmGu2Q5mnjCdReCpBa1HdM53hyjE
1,0,Sam only gave Ellen APPLES.,Sam didn't give Ellen oranges.,A,0,C,1,Sam only gave Ellen APPLES,Sam didn’t give Ellen apples,"the focus is on ""apples,"" it means Sam didn’t give Ellen anything other than apples. But S2 contradicts this by saying Sam didn’t give Ellen apples at all.",0.0,0.20689655172413793,2,NEG,2,f3,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmGu2Q5mnjCdReCpBa1HdM53hyjE
2,0,Sam only gave Rob GRAPES.,Sam also gave Ellen grapes.,B,0,C,0,Sam only gave ROB grapes,Sam also gave Ellen grapes,"the focus is on ""Rob,"" it means that Sam didn’t give grapes to anyone else besides Rob. S2 contradicts this by stating that Sam also gave Ellen grapes.",0.0,0.0,2,POS,1,f3,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmGu2Q5mnjCdReCpBa1HdM53hyjE
3,0,Sam only gave Rob APPLES.,Sam also gave Ellen apples.,B,0,C,0,Sam only gave ROB apples,Sam also gave Ellen apples,"the focus is on ""Rob,"" it entails Sam didn’t give apples to anyone else besides Rob. S2 contradicts this by stating that Sam also gave Ellen apples.",0.0,0.0,2,POS,1,f3,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmGu2Q5mnjCdReCpBa1HdM53hyjE
4,0,Sam only gave Ellen APPLES.,Sam didn't give Bill apples.,B,0,A,0,Sam only gave ELLEN apples,Sam didn’t give Bill apples,"the focus is on ""Ellen,"" it means that Sam didn’t give anyone else apples. Therefore, Sam didn’t give Bill apples, which is entailed by S1.",0.0,0.037037037037037035,2,NEG,1,f3,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmGu2Q5mnjCdReCpBa1HdM53hyjE
5,0,Sam only gave Rob APPLES.,Sam didn't give Sue apples.,B,0,A,0,Sam only gave ROB apples,Sam didn’t give Sue apples,"the focus is on ""Rob,"" it means Sam didn’t give anyone else apples. Therefore, Sam didn’t give Sue apples, which is entailed by S1.",0.0,0.038461538461538464,2,NEG,1,f3,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmGu2Q5mnjCdReCpBa1HdM53hyjE
6,0,Sam only gave ROB oranges.,Sam also gave Rob apples.,B,1,B,0,Sam only gave ROB ORANGES,Sam also gave Rob apples,"the focus is on ""oranges,"" the sentence means that Sam didn’t give Rob anything other than oranges. S2 introduces a new fact (apples) not related or entailed by S1, making them independent.",0.0,0.0,1,POS,2,f3,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmGu2Q5mnjCdReCpBa1HdM53hyjE
7,0,Sam only gave ROB apples.,Sam also gave Rob grapes.,B,1,B,1,Sam only gave ROB apples,Sam also gave Rob grapes,"the focus is on ""apples,"" it means that Sam didn’t give Rob anything besides apples. S2 introduces a new fact (grapes) unrelated to apples, which makes the two statements independent.",0.0,0.0,1,POS,2,f3,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmGu2Q5mnjCdReCpBa1HdM53hyjE
8,0,Sam only gave ROB bananas.,Sam didn't give Ellen bananas.,A,1,A,1,Sam only gave ROB bananas,Sam didn’t give Ellen bananas,"the focus is on ""Rob,"" it means Sam didn’t give bananas to anyone other than Rob, so Sam didn’t give Ellen bananas, which is entailed by S1.",0.0,0.034482758620689655,1,NEG,1,f3,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmGu2Q5mnjCdReCpBa1HdM53hyjE
9,0,Sam only gave Mary APPLES.,Sam also gave Ellen apples.,B,0,C,0,Sam only gave MARY apples,Sam also gave Ellen apples,"the focus is on ""Mary,"" it means Sam didn’t give apples to anyone other than Mary. S2 contradicts this by saying that Sam also gave Ellen apples.",0.0,0.0,2,POS,1,f3,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmGu2Q5mnjCdReCpBa1HdM53hyjE
0,0,Sam only gave SUE apples.,Sam also gave Rob apples.,C,1,C,1,Sam only gave SUE apples.,Sam also gave Rob apples.,"the focus is on ""SUE"", it means Sam did not give anyone else apples. The statement that Sam also gave Rob apples contradicts this.",0.0,0.0,1,POS,1,f4,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmHBom3fwMcZHQbQwrxVpfkSbGRs
1,0,Sam only gave Bill APPLES.,Sam didn't give Mary apples.,B,0,A,0,Sam only gave BILL apples.,Sam didn’t give Mary apples.,"the focus is on ""BILL"", it means Sam did not give apples to anyone else besides Bill. Therefore, it’s entailed that Mary didn’t get any apples.",0.0,0.037037037037037035,2,NEG,1,f4,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmHBom3fwMcZHQbQwrxVpfkSbGRs
2,0,Sam only gave MARY oranges.,Sam also gave Ellen oranges.,C,1,C,1,Sam only gave MARY oranges.,Sam also gave Ellen oranges.,"the focus is on ""MARY"", it means Sam did not give oranges to anyone else. Therefore, the second sentence contradicts the first.",0.0,0.0,1,POS,1,f4,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmHBom3fwMcZHQbQwrxVpfkSbGRs
3,0,Sam only gave Ellen APPLES.,Sam didn't give Tom apples.,B,0,A,0,Sam only gave ELLEN apples.,Sam didn’t give Tom apples.,"the focus is on ""ELLEN"", it means Sam did not give apples to anyone else. Therefore, it’s entailed that Tom didn’t get any apples.",0.0,0.038461538461538464,2,NEG,1,f4,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmHBom3fwMcZHQbQwrxVpfkSbGRs
4,0,Sam only gave ROB bananas.,Sam also gave Rob oranges.,B,1,B,1,Sam only gave ROB bananas.,Sam also gave Rob oranges.,"the focus is on ""ROB"" and ""bananas"", it only restricts the claim to the type of fruit he gave Rob. It says nothing about other fruits, so giving Rob oranges is independent.",0.0,0.0,1,POS,2,f4,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmHBom3fwMcZHQbQwrxVpfkSbGRs
5,0,Sam only gave Bill BANANAS.,Sam didn't give Bill grapes.,A,1,A,0,Sam only gave BILL bananas.,Sam didn’t give Bill grapes.,"the focus is on ""BILL"" and ""bananas"", it means Sam didn’t give anything else to Bill. Therefore, this entails that Bill didn’t get grapes.",0.0,0.037037037037037035,2,NEG,2,f4,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmHBom3fwMcZHQbQwrxVpfkSbGRs
