example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold
0,0,Sam only gave Ellen GRAPES.,Sam also gave Ellen oranges.,C,1,C,1,Sam only gave Ellen GRAPES.,Sam also gave Ellen oranges.,"the word ""only"" in S1 focuses on ""grapes,"" implying Sam gave Ellen nothing else. S2 contradicts that by adding oranges.",0.0,0.0,2,POS,2,f5,audio,openai,gpt-4o-audio-preview,20260105_092133,chatcmpl-Cub6mkwoF0LuY0TBQR43UBNJaODjC,1
1,0,Sam only gave ELLEN apples.,Sam also gave Rob apples.,C,1,C,1,Sam only gave ELLEN apples.,Sam also gave Rob apples.,"S1 emphasizes that Ellen is the only recipient of apples, whereas S2 says another person (Rob) also received apples, which contradicts S1.",0.0,0.0,1,POS,1,f5,audio,openai,gpt-4o-audio-preview,20260105_092133,chatcmpl-Cub6mkwoF0LuY0TBQR43UBNJaODjC,1
2,0,Sam only gave MARY oranges.,Sam didn't give Mary bananas.,B,0,A,1,Sam only gave MARY oranges.,Sam didn't give Mary bananas.,"if Sam only gave Mary oranges, then he did not give her anything else, including bananas. S2 is consistent with that.",0.0,0.0,1,NEG,2,f5,audio,openai,gpt-4o-audio-preview,20260105_092133,chatcmpl-Cub6mkwoF0LuY0TBQR43UBNJaODjC,1
3,0,Sam only gave MARY oranges.,Sam also gave Tom oranges.,C,1,C,1,Sam only gave MARY oranges.,Sam also gave Tom oranges.,"S1 emphasizes that Mary is the only person who got oranges, while S2 introduces another recipient (Tom), contradicting the exclusivity implied by S1.",0.0,0.0,1,POS,1,f5,audio,openai,gpt-4o-audio-preview,20260105_092133,chatcmpl-Cub6mkwoF0LuY0TBQR43UBNJaODjC,1
4,0,Sam only gave Mary ORANGES.,Sam didn't give Tom oranges.,B,1,B,0,Sam only gave MARY oranges.,Sam didn't give Tom oranges.,S1 emphasizes Mary as the sole recipient of oranges; it does not say anything about Tom. S2 speaks of Tom’s situation independently of Mary.,0.0,0.0,2,NEG,1,f5,audio,openai,gpt-4o-audio-preview,20260105_092133,chatcmpl-Cub6mkwoF0LuY0TBQR43UBNJaODjC,1
5,1,Sam only gave Mary GRAPES.,Sam also gave Mary apples.,C,1,C,0,Sam only gave MARY grapes.,Sam also gave Mary apples.,"S1 emphasizes that Mary only received grapes, which excludes her receiving any other fruit. S2 contradicts that by saying Mary also received apples.",0.0,0.0,2,POS,2,f5,audio,openai,gpt-4o-audio-preview,20260105_092133,chatcmpl-Cub6mkwoF0LuY0TBQR43UBNJaODjC,1
6,1,Sam only gave SUE apples.,Sam also gave Mary apples.,C,1,C,1,Sam only gave SUE apples.,Sam also gave Mary apples.,"S1 emphasizes that Sue is the only person who received apples, but S2 says Mary also received apples, which contradicts S1.",0.0,0.0,1,POS,1,f5,audio,openai,gpt-4o-audio-preview,20260105_092133,chatcmpl-Cub6mkwoF0LuY0TBQR43UBNJaODjC,1
7,1,Sam only gave Bill ORANGES.,Sam also gave Bill bananas.,C,1,C,0,Sam only gave BILL oranges.,Sam also gave Bill bananas.,S1 emphasizes that Bill only received oranges. S2 contradicts that by saying Bill also received bananas.,0.0,0.0,2,POS,2,f5,audio,openai,gpt-4o-audio-preview,20260105_092133,chatcmpl-Cub6mkwoF0LuY0TBQR43UBNJaODjC,1
8,1,Sam only gave Ellen BANANAS.,Sam also gave Ellen grapes.,C,1,C,0,Sam only gave ELLEN bananas.,Sam also gave Ellen grapes.,"S1 emphasizes that Ellen only received bananas, which excludes other fruits. S2 contradicts that by saying she also received grapes.",0.0,0.0,2,POS,2,f5,audio,openai,gpt-4o-audio-preview,20260105_092133,chatcmpl-Cub6mkwoF0LuY0TBQR43UBNJaODjC,1
9,1,Sam only gave Tom BANANAS.,Sam didn't give Tom oranges.,A,1,A,0,Sam only gave TOM bananas.,Sam didn't give Tom oranges.,"if he only gave Tom bananas, he couldn’t have given him oranges, so S2 is entailed by S1.",0.0,0.0,2,NEG,2,f5,audio,openai,gpt-4o-audio-preview,20260105_092133,chatcmpl-Cub6mkwoF0LuY0TBQR43UBNJaODjC,1
