example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold
0,1,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,1,C,1,Sam only gave BILL grapes.,Sam also gave Sue grapes.,"the focus in S1 is on ""BILL,"" meaning Sam did not give grapes to anyone else besides Bill. S2 says Sam gave grapes to Sue as well, which directly contradicts the entailment of S1.",0.0,0.0,1,POS,1,f1,audio,openai,gpt-audio,20260105_101608,chatcmpl-CubvHfom5a5bo9Y7ZjWNGB31mGhzU,0
1,1,Sam only gave SUE oranges.,Sam also gave Rob oranges.,C,1,C,1,Sam only gave SUE oranges.,Sam also gave Rob oranges.,"the focus in S1 is on ""SUE,"" meaning Sam did not give oranges to anyone else besides Sue. S2 says Sam also gave oranges to Rob, which contradicts the assertion in S1.",0.0,0.0,1,POS,1,f1,audio,openai,gpt-audio,20260105_101608,chatcmpl-CubvHfom5a5bo9Y7ZjWNGB31mGhzU,0
2,1,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,A,1,A,1,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,"the focus in S1 is on ""SUE,"" meaning Sam gave grapes only to Sue and no one else. S2 states that Sam did not give grapes to Ellen, which is fully consistent with S1’s entailment.",0.0,0.0,1,NEG,1,f1,audio,openai,gpt-audio,20260105_101608,chatcmpl-CubvHfom5a5bo9Y7ZjWNGB31mGhzU,0
3,1,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,1,B,1,Sam only gave TOM apples.,Sam didn't give Tom grapes.,"the focus in S1 is on ""TOM,"" meaning Sam gave apples only to Tom and no apples to anyone else. S2 talks about grapes, which is a different item, so the two sentences are independent.",0.0,0.0,1,NEG,2,f1,audio,openai,gpt-audio,20260105_101608,chatcmpl-CubvHfom5a5bo9Y7ZjWNGB31mGhzU,0
4,1,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,1,C,1,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,"the focus in S1 is on ""ORANGES,"" meaning Sam gave Rob only oranges and nothing else. S2 says Sam also gave Rob apples, which contradicts the entailment of S1.",0.0,0.0,2,POS,2,f1,audio,openai,gpt-audio,20260105_101608,chatcmpl-CubvHfom5a5bo9Y7ZjWNGB31mGhzU,0
5,0,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,A,1,A,1,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,"the focus in S1 is on ""SUE,"" meaning Sam gave grapes only to Sue and no one else. S2 says that Sam didn’t give Tom grapes, which is consistent with that entailment.",0.0,0.0,1,NEG,1,f1,audio,openai,gpt-audio,20260105_101608,chatcmpl-CubvHfom5a5bo9Y7ZjWNGB31mGhzU,0
6,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,0,C,0,Sam only gave ELLEN bananas.,Sam also gave Mary bananas.,"the focus in S1 is on ""ELLEN,"" meaning Sam gave bananas only to Ellen and not to anyone else. S2 says that Sam also gave bananas to Mary, which directly contradicts that.",0.0,0.0,2,POS,1,f1,audio,openai,gpt-audio,20260105_101608,chatcmpl-CubvHfom5a5bo9Y7ZjWNGB31mGhzU,0
7,0,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,B,1,B,1,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,"the focus in S1 is on ""ROB,"" meaning Sam gave bananas only to Rob and no bananas to anyone else. S2 talks about oranges, not bananas, so it is independent of that entailment.",0.0,0.0,1,NEG,2,f1,audio,openai,gpt-audio,20260105_101608,chatcmpl-CubvHfom5a5bo9Y7ZjWNGB31mGhzU,0
8,0,Sam only gave Mary BANANAS.,Sam also gave Mary apples.,C,1,C,0,Sam only gave MARY bananas.,Sam also gave Mary apples.,"the focus in S1 is on ""MARY,"" meaning Sam gave bananas only to Mary and nothing else. S2 says that Sam gave Mary apples as well, which contradicts the entailment.",0.0,0.0,2,POS,2,f1,audio,openai,gpt-audio,20260105_101608,chatcmpl-CubvHfom5a5bo9Y7ZjWNGB31mGhzU,0
9,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,0,A,0,Sam only gave SUE oranges.,Sam didn't give Rob oranges.,"the focus in S1 is on ""SUE,"" meaning Sam gave oranges only to Sue and no one else. S2 says Sam didn’t give Rob oranges, which matches that entailment exactly.",0.0,0.0,2,NEG,1,f1,audio,openai,gpt-audio,20260105_101608,chatcmpl-CubvHfom5a5bo9Y7ZjWNGB31mGhzU,0
0,0,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,1,C,1,Sam only gave BILL grapes.,Sam also gave Sue grapes.,"the focus is on ""BILL"" in S1 (Sam only gave BILL grapes), which means Sam did not give grapes to anyone else. S2 says Sam also gave grapes to Sue, which contradicts S1.",0.0,0.0,1,POS,1,f1,audio,openai,gpt-audio,20260105_101608,chatcmpl-CubvZNMfhdNlKYkJK5OJ7XyMQcV7n,1
