example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
0,0,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,1,C,1,Sam only gave BILL grapes.,Sam also gave Sue grapes.,"""only gave BILL grapes"" implies that Sam did not give grapes to anyone else, including Sue.",0.0,0.0,1,POS,1,f1,oracle,openai,gpt-4o,20260519_142232,,,
1,0,Sam only gave SUE oranges.,Sam also gave Rob oranges.,C,1,C,1,Sam only gave SUE oranges.,Sam also gave Rob oranges.,"""only gave SUE oranges"" implies that Sam did not give oranges to anyone else, including Rob.",0.0,0.0,1,POS,1,f1,oracle,openai,gpt-4o,20260519_142232,,,
2,0,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,A,1,A,1,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,"""only gave SUE grapes"" means that Sam did not give grapes to anyone else, including Ellen.",0.0,0.0,1,NEG,1,f1,oracle,openai,gpt-4o,20260519_142232,,,
3,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,1,B,1,Sam only gave TOM apples.,Sam didn't give Tom grapes.,"S1 doesn't provide information about what else, if anything, Sam gave Tom other than apples.",0.0,0.0,1,NEG,2,f1,oracle,openai,gpt-4o,20260519_142232,,,
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,1,C,1,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,"""only gave Rob ORANGES"" implies that Sam did not give Rob anything other than oranges.",0.0,0.0,2,POS,2,f1,oracle,openai,gpt-4o,20260519_142232,,,
5,0,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,A,1,A,1,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,"""only gave SUE grapes"" means that Sam did not give grapes to anyone else, including Tom.",0.0,0.0,1,NEG,1,f1,oracle,openai,gpt-4o,20260519_142232,,,
6,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,0,C,1,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,"""only gave Ellen BANANAS"" implies that Sam did not give bananas to anyone else, including Mary.",0.0,0.0,2,POS,1,f1,oracle,openai,gpt-4o,20260519_142232,,,
7,0,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,B,1,B,1,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,S1 doesn't provide information about what else Sam gave or did not give to Rob other than bananas.,0.0,0.0,1,NEG,2,f1,oracle,openai,gpt-4o,20260519_142232,,,
8,0,Sam only gave Mary BANANAS.,Sam also gave Mary apples.,C,1,C,1,Sam only gave Mary BANANAS.,Sam also gave Mary apples.,"""only gave Mary BANANAS"" implies that Sam did not give Mary anything other than bananas.",0.0,0.0,2,POS,2,f1,oracle,openai,gpt-4o,20260519_142232,,,
9,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,1,B,1,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,S1 doesn't provide information about what Sam gave (or did not give) to Rob.,0.0,0.0,2,NEG,1,f1,oracle,openai,gpt-4o,20260519_142232,,,
0,0,Sam only gave ROB bananas.,Sam didn't give Tom bananas.,A,1,A,1,Sam only gave ROB bananas.,Sam didn't give Tom bananas.,"Sam only gave bananas to Rob, implying he didn't give them to Tom or anyone else.",0.0,0.0,1,NEG,1,f2,oracle,openai,gpt-4o,20260519_142232,,,
1,0,Sam only gave TOM grapes.,Sam didn't give Tom oranges.,B,0,A,1,Sam only gave TOM grapes.,Sam didn't give Tom oranges.,"Sam only gave Tom grapes, meaning he didn't give Tom any other fruits like oranges.",0.0,0.0,1,NEG,2,f2,oracle,openai,gpt-4o,20260519_142232,,,
2,0,Sam only gave SUE oranges.,Sam also gave Sue apples.,B,0,C,1,Sam only gave SUE oranges.,Sam also gave Sue apples.,"if Sam only gave Sue oranges, he couldn't have given her apples as well.",0.0,0.0,1,POS,2,f2,oracle,openai,gpt-4o,20260519_142232,,,
3,0,Sam only gave SUE bananas.,Sam didn't give Rob bananas.,A,1,A,1,Sam only gave SUE bananas.,Sam didn't give Rob bananas.,"Sam only gave bananas to Sue, indicating he didn't give them to anyone else including Rob.",0.0,0.0,1,NEG,1,f2,oracle,openai,gpt-4o,20260519_142232,,,
4,0,Sam only gave Tom ORANGES.,Sam didn't give Tom bananas.,A,1,A,1,Sam only gave Tom ORANGES.,Sam didn't give Tom bananas.,"Sam's giving Tom only oranges excludes any other fruits, including bananas, from being given to Tom.",0.0,0.0,2,NEG,2,f2,oracle,openai,gpt-4o,20260519_142232,,,
5,0,Sam only gave SUE apples.,Sam didn't give Sue oranges.,B,0,A,1,Sam only gave SUE apples.,Sam didn't give Sue oranges.,Sam's limit to giving only apples to Sue means he didn't give her any other fruit such as oranges.,0.0,0.0,1,NEG,2,f2,oracle,openai,gpt-4o,20260519_142232,,,
6,0,Sam only gave Sue GRAPES.,Sam didn't give Sue apples.,A,1,A,1,Sam only gave Sue GRAPES.,Sam didn't give Sue apples.,Sam only giving Sue grapes implies he didn't give her apples or any other fruit.,0.0,0.0,2,NEG,2,f2,oracle,openai,gpt-4o,20260519_142232,,,
7,0,Sam only gave ELLEN oranges.,Sam also gave Ellen bananas.,B,0,C,1,Sam only gave ELLEN oranges.,Sam also gave Ellen bananas.,Sam giving only oranges to Ellen contradicts the statement that he also gave her bananas.,0.0,0.0,1,POS,2,f2,oracle,openai,gpt-4o,20260519_142232,,,
8,0,Sam only gave MARY grapes.,Sam didn't give Mary apples.,B,0,A,1,Sam only gave MARY grapes.,Sam didn't give Mary apples.,"only giving Mary grapes means he didn't give her other fruits, such as apples.",0.0,0.0,1,NEG,2,f2,oracle,openai,gpt-4o,20260519_142232,,,
9,0,Sam only gave BILL oranges.,Sam also gave Mary oranges.,C,0,B,1,Sam only gave BILL oranges.,Sam also gave Mary oranges.,"the statement about who else received oranges besides Bill (Mary) doesn't relate to the exclusivity of giving oranges to Bill, making the two statements independent.",0.0,0.0,1,POS,1,f2,oracle,openai,gpt-4o,20260519_142232,,,
0,0,Sam only gave ELLEN grapes.,Sam didn't give Tom grapes.,A,1,A,1,Sam only gave ELLEN grapes.,Sam didn't give Tom grapes.,"if Sam only gave Ellen grapes, it implies that he did not give grapes to anyone else, including Tom.",0.0,0.0,1,NEG,1,f3,oracle,openai,gpt-4o,20260519_142232,,,
1,0,Sam only gave Ellen APPLES.,Sam didn't give Ellen oranges.,A,0,B,1,Sam only gave Ellen APPLES.,Sam didn't give Ellen oranges.,"giving apples to Ellen doesn't imply anything about giving or not giving her oranges, as they are different fruits.",0.0,0.0,2,NEG,2,f3,oracle,openai,gpt-4o,20260519_142232,,,
2,0,Sam only gave Rob GRAPES.,Sam also gave Ellen grapes.,B,0,C,1,Sam only gave Rob GRAPES.,Sam also gave Ellen grapes.,"if Sam only gave grapes to Rob, it contradicts the statement that he also gave grapes to Ellen.",0.0,0.0,2,POS,1,f3,oracle,openai,gpt-4o,20260519_142232,,,
3,0,Sam only gave Rob APPLES.,Sam also gave Ellen apples.,B,0,C,1,Sam only gave Rob APPLES.,Sam also gave Ellen apples.,the statement that Sam only gave apples to Rob contradicts the idea that he also gave apples to Ellen.,0.0,0.0,2,POS,1,f3,oracle,openai,gpt-4o,20260519_142232,,,
4,0,Sam only gave Ellen APPLES.,Sam didn't give Bill apples.,B,0,A,1,Sam only gave Ellen APPLES.,Sam didn't give Bill apples.,"if Sam only gave apples to Ellen, he could not have given them to anyone else, including Bill.",0.0,0.0,2,NEG,1,f3,oracle,openai,gpt-4o,20260519_142232,,,
5,0,Sam only gave Rob APPLES.,Sam didn't give Sue apples.,B,0,A,1,Sam only gave Rob APPLES.,Sam didn't give Sue apples.,"if Sam only gave apples to Rob, it follows that he did not give any to Sue.",0.0,0.0,2,NEG,1,f3,oracle,openai,gpt-4o,20260519_142232,,,
6,0,Sam only gave ROB oranges.,Sam also gave Rob apples.,B,0,C,1,Sam only gave ROB oranges.,Sam also gave Rob apples.,"the statement that Sam only gave Rob oranges contradicts giving anything else, including apples, to Rob.",0.0,0.0,1,POS,2,f3,oracle,openai,gpt-4o,20260519_142232,,,
7,0,Sam only gave ROB apples.,Sam also gave Rob grapes.,B,0,C,1,Sam only gave ROB apples.,Sam also gave Rob grapes.,"if Sam only gave Rob apples, it contradicts the idea that he also gave Rob grapes.",0.0,0.0,1,POS,2,f3,oracle,openai,gpt-4o,20260519_142232,,,
8,0,Sam only gave ROB bananas.,Sam didn't give Ellen bananas.,A,1,A,1,Sam only gave ROB bananas.,Sam didn't give Ellen bananas.,"if Sam only gave bananas to Rob, he didn't give them to anybody else, including Ellen.",0.0,0.0,1,NEG,1,f3,oracle,openai,gpt-4o,20260519_142232,,,
9,0,Sam only gave Mary APPLES.,Sam also gave Ellen apples.,B,0,C,1,Sam only gave Mary APPLES.,Sam also gave Ellen apples.,"if Sam only gave apples to Mary, it contradicts the statement that he also gave them to Ellen.",0.0,0.0,2,POS,1,f3,oracle,openai,gpt-4o,20260519_142232,,,
0,0,Sam only gave SUE apples.,Sam also gave Rob apples.,C,1,C,1,Sam only gave SUE apples.,Sam also gave Rob apples.,"""only gave SUE apples"" implies no one else received apples from Sam, contradicting S2.",0.0,0.0,1,POS,1,f4,oracle,openai,gpt-4o,20260519_142232,,,
1,0,Sam only gave Bill APPLES.,Sam didn't give Mary apples.,B,0,A,1,Sam only gave Bill APPLES.,Sam didn't give Mary apples.,"if Bill is the only recipient, then Mary cannot be a recipient.",0.0,0.0,2,NEG,1,f4,oracle,openai,gpt-4o,20260519_142232,,,
2,0,Sam only gave MARY oranges.,Sam also gave Ellen oranges.,C,1,C,1,Sam only gave MARY oranges.,Sam also gave Ellen oranges.,"""only gave MARY oranges"" implies that no one else received oranges, contradicting S2.",0.0,0.0,1,POS,1,f4,oracle,openai,gpt-4o,20260519_142232,,,
3,0,Sam only gave Ellen APPLES.,Sam didn't give Tom apples.,B,0,A,1,Sam only gave Ellen APPLES.,Sam didn't give Tom apples.,"if Ellen is the only recipient, then Tom cannot be a recipient.",0.0,0.0,2,NEG,1,f4,oracle,openai,gpt-4o,20260519_142232,,,
4,0,Sam only gave ROB bananas.,Sam also gave Rob oranges.,B,1,B,1,Sam only gave ROB bananas.,Sam also gave Rob oranges.,S1 specifies the exclusivity of bananas related to Rob and S2 introduces a different item.,0.0,0.0,1,POS,2,f4,oracle,openai,gpt-4o,20260519_142232,,,
5,0,Sam only gave Bill BANANAS.,Sam didn't give Bill grapes.,A,1,A,1,Sam only gave Bill BANANAS.,Sam didn't give Bill grapes.,"if Bill only received bananas, he could not have received grapes.",0.0,0.0,2,NEG,2,f4,oracle,openai,gpt-4o,20260519_142232,,,
6,0,Sam only gave Ellen ORANGES.,Sam didn't give Ellen grapes.,A,1,A,1,Sam only gave Ellen ORANGES.,Sam didn't give Ellen grapes.,"if Ellen only received oranges, she could not have received grapes.",0.0,0.0,2,NEG,2,f4,oracle,openai,gpt-4o,20260519_142232,,,
7,0,Sam only gave Mary BANANAS.,Sam didn't give Ellen bananas.,B,0,A,1,Sam only gave Mary BANANAS.,Sam didn't give Ellen bananas.,"if Mary is the only recipient, Ellen cannot be a recipient.",0.0,0.0,2,NEG,1,f4,oracle,openai,gpt-4o,20260519_142232,,,
8,0,Sam only gave BILL bananas.,Sam didn't give Tom bananas.,A,1,A,1,Sam only gave BILL bananas.,Sam didn't give Tom bananas.,"if Bill is the only recipient, Tom cannot be a recipient.",0.0,0.0,1,NEG,1,f4,oracle,openai,gpt-4o,20260519_142232,,,
9,0,Sam only gave Sue ORANGES.,Sam didn't give Sue grapes.,A,1,A,1,Sam only gave Sue ORANGES.,Sam didn't give Sue grapes.,"if Sue only received oranges, she could not have received grapes.",0.0,0.0,2,NEG,2,f4,oracle,openai,gpt-4o,20260519_142232,,,
0,0,Sam only gave Ellen GRAPES.,Sam also gave Ellen oranges.,C,1,C,1,Sam only gave Ellen GRAPES.,Sam also gave Ellen oranges.,"""only gave Ellen GRAPES"" implies that grapes were the sole item given, contradicting S2's claim of also giving oranges.",0.0,0.0,2,POS,2,f5,oracle,openai,gpt-4o,20260519_142232,,,
1,0,Sam only gave ELLEN apples.,Sam also gave Rob apples.,C,0,B,1,Sam only gave ELLEN apples.,Sam also gave Rob apples.,"S1 specifies only Ellen receiving apples, while S2 discusses Rob receiving them, which is unrelated to the exclusive claim in S1.",0.0,0.0,1,POS,1,f5,oracle,openai,gpt-4o,20260519_142232,,,
2,0,Sam only gave MARY oranges.,Sam didn't give Mary bananas.,B,0,A,1,Sam only gave MARY oranges.,Sam didn't give Mary bananas.,"if Sam only gave Mary oranges, it follows that he did not give her bananas.",0.0,0.0,1,NEG,2,f5,oracle,openai,gpt-4o,20260519_142232,,,
3,0,Sam only gave MARY oranges.,Sam also gave Tom oranges.,C,0,B,1,Sam only gave MARY oranges.,Sam also gave Tom oranges.,"S1 focuses on Mary regarding oranges, whereas S2 involves Tom, which does not contradict or confirm the action towards Mary.",0.0,0.0,1,POS,1,f5,oracle,openai,gpt-4o,20260519_142232,,,
4,0,Sam only gave Mary ORANGES.,Sam didn't give Tom oranges.,B,1,B,1,Sam only gave Mary ORANGES.,Sam didn't give Tom oranges.,"S1 speaks only about Mary receiving oranges; S2 concerns Tom, which does not relate directly to S1.",0.0,0.0,2,NEG,1,f5,oracle,openai,gpt-4o,20260519_142232,,,
5,0,Sam only gave Mary GRAPES.,Sam also gave Mary apples.,C,1,C,1,Sam only gave Mary GRAPES.,Sam also gave Mary apples.,giving Mary only grapes contradicts the claim of also giving her apples.,0.0,0.0,2,POS,2,f5,oracle,openai,gpt-4o,20260519_142232,,,
6,0,Sam only gave SUE apples.,Sam also gave Mary apples.,C,0,B,1,Sam only gave SUE apples.,Sam also gave Mary apples.,"S1 pertains solely to Sue, meaning her exclusive receipt of apples has no touch upon the situation with Mary in S2.",0.0,0.0,1,POS,1,f5,oracle,openai,gpt-4o,20260519_142232,,,
7,0,Sam only gave Bill ORANGES.,Sam also gave Bill bananas.,C,1,C,1,Sam only gave Bill ORANGES.,Sam also gave Bill bananas.,it contradicts the exclusive activity of giving Bill only oranges by additionally suggesting bananas were given.,0.0,0.0,2,POS,2,f5,oracle,openai,gpt-4o,20260519_142232,,,
8,0,Sam only gave Ellen BANANAS.,Sam also gave Ellen grapes.,C,1,C,1,Sam only gave Ellen BANANAS.,Sam also gave Ellen grapes.,"""only gave Ellen BANANAS"" denotes exclusivity to bananas, making an additional gift of grapes contradictory.",0.0,0.0,2,POS,2,f5,oracle,openai,gpt-4o,20260519_142232,,,
9,0,Sam only gave Tom BANANAS.,Sam didn't give Tom oranges.,A,1,A,1,Sam only gave Tom BANANAS.,Sam didn't give Tom oranges.,only giving him bananas supports the statement that he wasn't given oranges.,0.0,0.0,2,NEG,2,f5,oracle,openai,gpt-4o,20260519_142232,,,
0,0,Sam only gave ROB apples.,Sam didn't give Sue apples.,A,0,B,1,Sam only gave ROB apples.,Sam didn't give Sue apples.,the statement about Sue is independent of the statement about Rob.,0.0,0.0,1,NEG,1,f6,oracle,openai,gpt-4o,20260519_142232,,,
1,0,Sam only gave SUE grapes.,Sam also gave Sue oranges.,B,0,C,1,Sam only gave SUE grapes.,Sam also gave Sue oranges.,the statement contradicts the original claim that Sue only received grapes.,0.0,0.0,1,POS,2,f6,oracle,openai,gpt-4o,20260519_142232,,,
2,0,Sam only gave SUE grapes.,Sam didn't give Sue bananas.,B,0,A,1,Sam only gave SUE grapes.,Sam didn't give Sue bananas.,"if Sue only received grapes, it directly implies she didn't receive bananas.",0.0,0.0,1,NEG,2,f6,oracle,openai,gpt-4o,20260519_142232,,,
3,0,Sam only gave Mary GRAPES.,Sam also gave Ellen grapes.,B,1,B,1,Sam only gave Mary GRAPES.,Sam also gave Ellen grapes.,the statement about Ellen is independent of the statement about Mary.,0.0,0.0,2,POS,1,f6,oracle,openai,gpt-4o,20260519_142232,,,
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob bananas.,C,1,C,1,Sam only gave Rob ORANGES.,Sam also gave Rob bananas.,the statement contradicts the original claim that Rob only received oranges.,0.0,0.0,2,POS,2,f6,oracle,openai,gpt-4o,20260519_142232,,,
5,0,Sam only gave Sue BANANAS.,Sam didn't give Sue grapes.,A,1,A,1,Sam only gave Sue BANANAS.,Sam didn't give Sue grapes.,"if Sue only received bananas, it directly implies she didn't receive grapes.",0.0,0.0,2,NEG,2,f6,oracle,openai,gpt-4o,20260519_142232,,,
6,0,Sam only gave Tom GRAPES.,Sam didn't give Tom apples.,A,1,A,1,Sam only gave Tom GRAPES.,Sam didn't give Tom apples.,"if Tom only received grapes, it directly implies he didn't receive apples.",0.0,0.0,2,NEG,2,f6,oracle,openai,gpt-4o,20260519_142232,,,
7,0,Sam only gave TOM bananas.,Sam didn't give Tom grapes.,B,0,A,1,Sam only gave TOM bananas.,Sam didn't give Tom grapes.,"if Tom only received bananas, it directly implies he didn't receive grapes.",0.0,0.0,1,NEG,2,f6,oracle,openai,gpt-4o,20260519_142232,,,
8,0,Sam only gave Rob APPLES.,Sam also gave Rob grapes.,C,1,C,1,Sam only gave Rob APPLES.,Sam also gave Rob grapes.,the statement contradicts the original claim that Rob only received apples.,0.0,0.0,2,POS,2,f6,oracle,openai,gpt-4o,20260519_142232,,,
9,0,Sam only gave ELLEN grapes.,Sam also gave Ellen oranges.,B,0,C,1,Sam only gave ELLEN grapes.,Sam also gave Ellen oranges.,the statement contradicts the original claim that Ellen only received grapes.,0.0,0.0,1,POS,2,f6,oracle,openai,gpt-4o,20260519_142232,,,
0,0,Sam only gave Bill BANANAS.,Sam also gave Bill grapes.,C,1,C,1,Sam only gave Bill BANANAS.,Sam also gave Bill grapes.,"if Sam only gave Bill bananas, he could not have also given him grapes.",0.0,0.0,2,POS,2,f7,oracle,openai,gpt-4o,20260519_142232,,,
1,0,Sam only gave MARY apples.,Sam also gave Ellen apples.,C,1,C,1,Sam only gave MARY apples.,Sam also gave Ellen apples.,"if Sam only gave Mary apples, then he did not give apples to Ellen or anyone else.",0.0,0.0,1,POS,1,f7,oracle,openai,gpt-4o,20260519_142232,,,
2,0,Sam only gave Sue APPLES.,Sam also gave Tom apples.,B,0,C,1,Sam only gave Sue APPLES.,Sam also gave Tom apples.,"if Sam only gave Sue apples, then he could not have also given Tom apples.",0.0,0.0,2,POS,1,f7,oracle,openai,gpt-4o,20260519_142232,,,
3,0,Sam only gave BILL grapes.,Sam didn't give Bill oranges.,B,0,A,1,Sam only gave BILL grapes.,Sam didn't give Bill oranges.,"if Sam only gave Bill grapes, it implies he did not give Bill any other fruits, including oranges.",0.0,0.0,1,NEG,2,f7,oracle,openai,gpt-4o,20260519_142232,,,
4,0,Sam only gave BILL apples.,Sam didn't give Bill bananas.,B,0,A,1,Sam only gave BILL apples.,Sam didn't give Bill bananas.,"if Sam only gave Bill apples, he did not give him any other fruit, including bananas.",0.0,0.0,1,NEG,2,f7,oracle,openai,gpt-4o,20260519_142232,,,
5,0,Sam only gave SUE apples.,Sam didn't give Sue bananas.,B,0,A,1,Sam only gave SUE apples.,Sam didn't give Sue bananas.,"if Sam only gave Sue apples, then he did not give her bananas or any other fruit.",0.0,0.0,1,NEG,2,f7,oracle,openai,gpt-4o,20260519_142232,,,
6,0,Sam only gave ELLEN oranges.,Sam didn't give Tom oranges.,A,0,B,1,Sam only gave ELLEN oranges.,Sam didn't give Tom oranges.,the statement that Sam only gave Ellen oranges does not specify whether Sam gave or did not give oranges to Tom.,0.0,0.0,1,NEG,1,f7,oracle,openai,gpt-4o,20260519_142232,,,
7,0,Sam only gave TOM apples.,Sam didn't give Mary apples.,A,1,A,1,Sam only gave TOM apples.,Sam didn't give Mary apples.,"if Sam only gave Tom apples, he did not give apples to anyone else, including Mary.",0.0,0.0,1,NEG,1,f7,oracle,openai,gpt-4o,20260519_142232,,,
8,0,Sam only gave Tom APPLES.,Sam also gave Bill apples.,B,0,C,1,Sam only gave Tom APPLES.,Sam also gave Bill apples.,"if Sam only gave Tom apples, then he could not have given apples to Bill as well.",0.0,0.0,2,POS,1,f7,oracle,openai,gpt-4o,20260519_142232,,,
9,0,Sam only gave Sue BANANAS.,Sam didn't give Tom bananas.,B,0,A,1,Sam only gave Sue BANANAS.,Sam didn't give Tom bananas.,"if Sam only gave Sue bananas, it implies he did not give bananas to anyone else, including Tom.",0.0,0.0,2,NEG,1,f7,oracle,openai,gpt-4o,20260519_142232,,,
