example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold
0,1,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,0,B,1,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,"""Sam only gave SUE grapes"" means Sue is the only person to whom Sam gave grapes, and it says nothing about giving grapes to Tom. Therefore, S2 is independent of S1.",0.16,0.38461538461538464,1,POS,1,f1,audio,openai,gpt-4o-audio-preview,20260105_092634,chatcmpl-Cub9JVTX3QJsoJn6ByvaOEpzs3EbY,0
1,1,Sam only gave SUE oranges.,Sam also gave Rob oranges.,C,1,C,1,Sam only gave ELLEN bananas.,Sam also gave Mary bananas.,"""Sam only gave ELLEN bananas"" means Ellen is the only person Sam gave bananas to. If Sam also gave Mary bananas, that contradicts the statement.",0.3333333333333333,0.34615384615384615,1,POS,1,f1,audio,openai,gpt-4o-audio-preview,20260105_092634,chatcmpl-Cub9JVTX3QJsoJn6ByvaOEpzs3EbY,0
2,1,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,A,0,B,1,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,"""Sam only gave ROB bananas"" means Rob is the only person Sam gave bananas to, but it says nothing about whether or not Sam gave Rob oranges. Therefore, S2 is independent of S1.",0.32,0.2857142857142857,1,NEG,1,f1,audio,openai,gpt-4o-audio-preview,20260105_092634,chatcmpl-Cub9JVTX3QJsoJn6ByvaOEpzs3EbY,0
3,1,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,0,C,1,Sam only gave MARY bananas.,Sam also gave Mary apples.,"""Sam only gave MARY bananas"" means that bananas were the only thing Sam gave to Mary. If Sam also gave her apples, that contradicts the statement.",0.34615384615384615,0.5769230769230769,1,NEG,2,f1,audio,openai,gpt-4o-audio-preview,20260105_092634,chatcmpl-Cub9JVTX3QJsoJn6ByvaOEpzs3EbY,0
4,1,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,0,A,0,Sam only gave SUE ORANGES.,Sam didn't give Rob oranges.,"""Sam only gave SUE ORANGES"" means that Sue is the only person who received oranges, so it follows that Rob did not receive oranges. Thus, S2 is entailed by S1.",0.12,0.4444444444444444,2,POS,2,f1,audio,openai,gpt-4o-audio-preview,20260105_092634,chatcmpl-Cub9JVTX3QJsoJn6ByvaOEpzs3EbY,0
5,0,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,A,0,C,1,Sam only gave BILL grapes.,Sam also gave Sue grapes.,"""Sam only gave BILL grapes"" means that Bill is the only person who received grapes. If Sam also gave Sue grapes, that contradicts the statement.",0.16,0.38461538461538464,1,NEG,1,f1,audio,openai,gpt-4o-audio-preview,20260105_092634,chatcmpl-Cub9JVTX3QJsoJn6ByvaOEpzs3EbY,0
6,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,0,C,0,Sam only gave SUE oranges.,Sam also gave Rob oranges.,"""Sam only gave SUE oranges"" means Sue is the only person who received oranges. If Sam also gave Rob oranges, that contradicts the statement.",0.3333333333333333,0.34615384615384615,2,POS,1,f1,audio,openai,gpt-4o-audio-preview,20260105_092634,chatcmpl-Cub9JVTX3QJsoJn6ByvaOEpzs3EbY,0
7,0,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,B,0,A,1,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,"""Sam only gave SUE grapes"" means Sue was the only person to whom Sam gave grapes. Therefore, it follows that Sam did not give Ellen grapes.",0.32,0.2857142857142857,1,NEG,2,f1,audio,openai,gpt-4o-audio-preview,20260105_092634,chatcmpl-Cub9JVTX3QJsoJn6ByvaOEpzs3EbY,0
8,0,Sam only gave Mary BANANAS.,Sam also gave Mary apples.,C,0,B,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,"""Sam only gave TOM apples"" means Tom only received apples, but it doesn't mention grapes. S2 talks about grapes, which is not covered by S1, so S2 is independent of S1.",0.34615384615384615,0.5769230769230769,2,POS,2,f1,audio,openai,gpt-4o-audio-preview,20260105_092634,chatcmpl-Cub9JVTX3QJsoJn6ByvaOEpzs3EbY,0
9,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,0,C,0,Sam only gave ROB oranges.,Sam also gave Rob apples.,"""Sam only gave ROB oranges"" means that oranges were the only thing Sam gave to Rob. If Sam also gave Rob apples, that contradicts the statement.",0.12,0.4444444444444444,2,NEG,1,f1,audio,openai,gpt-4o-audio-preview,20260105_092634,chatcmpl-Cub9JVTX3QJsoJn6ByvaOEpzs3EbY,0
