example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
0,0,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,0,B,,,,"""Sam only gave Bill grapes"" does not imply anything about giving grapes to Sue. The second sentence states that he gave grapes to Sue as well, which is new information not entailed or contradicted by the first.",,,1,POS,1,f1,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZeb895mRTn3LaDxFeMWk31ZQSKkv,,
1,0,Sam only gave SUE oranges.,Sam also gave Rob oranges.,C,1,C,,,,"""Sam only gave Sue oranges"" implies he didn’t give oranges to anyone else. The second sentence says he also gave oranges to Rob, which contradicts the first sentence.",,,1,POS,1,f1,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZeb895mRTn3LaDxFeMWk31ZQSKkv,,
2,0,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,A,1,A,,,,"""Sam only gave Sue grapes"" focuses on Sue as the only recipient of grapes. The second sentence, stating Sam didn’t give Ellen grapes, is consistent with that.",,,1,NEG,1,f1,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZeb895mRTn3LaDxFeMWk31ZQSKkv,,
3,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,0,A,,,,"""Sam only gave Tom apples"" means Tom is the only one who received apples. The fact that Sam didn’t give Tom grapes does not contradict or add to that specific focus, so it is entailed.",,,1,NEG,2,f1,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZeb895mRTn3LaDxFeMWk31ZQSKkv,,
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,1,C,,,,"""Sam only gave Rob oranges"" means he exclusively gave Rob oranges. The second sentence says Sam also gave Rob apples, which contradicts the exclusivity implied by the first sentence.",,,2,POS,2,f1,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZeb895mRTn3LaDxFeMWk31ZQSKkv,,
5,0,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,A,1,A,,,,"""Sam only gave Sue grapes"" means Sue is the sole recipient of grapes. The second sentence, which states Sam didn’t give Tom grapes, is consistent with that focus.",,,1,NEG,1,f1,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZeb895mRTn3LaDxFeMWk31ZQSKkv,,
6,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,1,B,,,,"""Sam only gave Ellen bananas"" means Ellen is the only recipient of bananas. However, the second sentence states Sam also gave Mary bananas. This is new information unrelated to Ellen’s exclusive banana allocation and thus is independent.",,,2,POS,1,f1,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZeb895mRTn3LaDxFeMWk31ZQSKkv,,
7,0,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,B,0,A,,,,"""Sam only gave Rob bananas"" focuses on Rob as the sole recipient of bananas. The second sentence says Sam didn’t give Rob oranges, which aligns with the idea that Rob only received bananas, not other fruits.",,,1,NEG,2,f1,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZeb895mRTn3LaDxFeMWk31ZQSKkv,,
8,0,Sam only gave Mary BANANAS.,Sam also gave Mary apples.,C,0,A,,,,"""Sam only gave Mary bananas"" means Mary is the only recipient of bananas. The second sentence, saying Sam also gave Mary apples, does not contradict or alter that specific focus on bananas.",,,2,POS,2,f1,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZeb895mRTn3LaDxFeMWk31ZQSKkv,,
9,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,0,A,,,,"""Sam only gave Sue oranges"" means Sue is the only recipient of oranges. The second sentence, stating Sam didn’t give Rob oranges, does not contradict that focus and is consistent with it.",,,2,NEG,1,f1,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZeb895mRTn3LaDxFeMWk31ZQSKkv,,
