example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id
0,0,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,1,C,1,Sam only gave BILL grapes.,Sam also gave Sue grapes.,"the prosodic focus on ""BILL"" in S1 means Sam didn’t give grapes to others (like Sue), but S2 says he gave grapes to Sue.",0.0,0.0,1,POS,1,f1,audio,openai,gpt-audio,20251217_132922,chatcmpl-CnlsrlwKJXKHE4esvFyn8yI1NtyMd
1,0,Sam only gave SUE oranges.,Sam also gave Rob oranges.,C,1,C,0,Sam only gave SUE ORANGES.,Sam also gave Rob oranges.,"the focus in S1 is on ""SUE ORANGES,"" meaning Sam didn’t give oranges to anyone else. S2 contradicts this by saying Rob also got oranges.",0.0,0.0,1,POS,1,f1,audio,openai,gpt-audio,20251217_132922,chatcmpl-CnlsrlwKJXKHE4esvFyn8yI1NtyMd
2,0,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,A,1,A,1,Sam only gave SUE grapes.,Sam didn’t give Ellen grapes.,"the focus on ""SUE"" in S1 means Sam gave grapes only to Sue, which entails that Sam didn’t give grapes to Ellen or anyone else.",0.0,0.03571428571428571,1,NEG,1,f1,audio,openai,gpt-audio,20251217_132922,chatcmpl-CnlsrlwKJXKHE4esvFyn8yI1NtyMd
3,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,0,A,0,Sam only gave TOM APPLES.,Sam didn’t give Tom grapes.,"the focus on ""TOM APPLES"" in S1 entails that Sam gave only apples to Tom and not anything else like grapes.",0.0,0.038461538461538464,1,NEG,2,f1,audio,openai,gpt-audio,20251217_132922,chatcmpl-CnlsrlwKJXKHE4esvFyn8yI1NtyMd
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,1,C,0,Sam only gave ROB ORANGES.,Sam also gave Rob apples.,"the focus on ""ROB ORANGES"" in S1 means oranges were the only thing Sam gave Rob. S2 contradicts by saying Rob also got apples.",0.0,0.0,2,POS,2,f1,audio,openai,gpt-audio,20251217_132922,chatcmpl-CnlsrlwKJXKHE4esvFyn8yI1NtyMd
5,0,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,A,1,A,1,Sam only gave SUE grapes.,Sam didn’t give Tom grapes.,"focusing on ""SUE"" in S1 means Sue was the only recipient of grapes, so Tom didn’t get any grapes.",0.0,0.038461538461538464,1,NEG,1,f1,audio,openai,gpt-audio,20251217_132922,chatcmpl-CnlsrlwKJXKHE4esvFyn8yI1NtyMd
6,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,0,C,0,Sam only gave ELLEN bananas.,Sam also gave Mary bananas.,"the focus on ""ELLEN"" in S1 means Ellen was the only one who got bananas, but S2 says Mary also got bananas.",0.0,0.0,2,POS,1,f1,audio,openai,gpt-audio,20251217_132922,chatcmpl-CnlsrlwKJXKHE4esvFyn8yI1NtyMd
7,0,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,B,0,A,1,Sam only gave ROB bananas.,Sam didn’t give Rob oranges.,"the focus on ""ROB BANANAS"" means bananas were the only thing Sam gave Rob, so Rob didn’t get oranges.",0.0,0.037037037037037035,1,NEG,2,f1,audio,openai,gpt-audio,20251217_132922,chatcmpl-CnlsrlwKJXKHE4esvFyn8yI1NtyMd
8,0,Sam only gave Mary BANANAS.,Sam also gave Mary apples.,C,1,C,0,Sam only gave MARY bananas.,Sam also gave Mary apples.,"focusing on ""MARY BANANAS"" in S1 means bananas were the only thing Sam gave Mary. S2 contradicts this by saying Mary also got apples.",0.0,0.0,2,POS,2,f1,audio,openai,gpt-audio,20251217_132922,chatcmpl-CnlsrlwKJXKHE4esvFyn8yI1NtyMd
9,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,0,A,0,Sam only gave SUE ORANGES.,Sam didn’t give Rob oranges.,"the focus on ""SUE ORANGES"" means Sue was the only one who got oranges, so Rob didn’t get oranges.",0.0,0.037037037037037035,2,NEG,1,f1,audio,openai,gpt-audio,20251217_132922,chatcmpl-CnlsrlwKJXKHE4esvFyn8yI1NtyMd
0,0,Sam only gave ROB bananas.,Sam didn't give Tom bananas.,A,0,C,0,Sam only gave ROB bananas. Sam didn’t give Tom bananas.,Sam only gave TOM grapes. Sam didn’t give Tom oranges.,"S1 states that Sam gave bananas to Rob and not Tom, while S2 involves Tom receiving grapes and not oranges. The focus shift and the entities involved (Rob versus Tom) contradict the exclusive nature implied by “only.” If Sam only gave something to Rob, then any focus involving Tom on a similar exclusive statement contradicts that idea.",0.5283018867924528,0.5961538461538461,1,NEG,1,f2,audio,openai,gpt-audio,20251217_132922,chatcmpl-Cnlt9d51W7nGToCdaOQaXIGokcflA
1,0,Sam only gave TOM grapes.,Sam didn't give Tom oranges.,B,1,B,0,Sam only gave TOM grapes. Sam didn’t give Tom oranges.,Sam only gave SUE oranges. Sam also gave Sue apples.,"the focus of S1 is on Tom receiving grapes (and not oranges), whereas S2 focuses on Sue receiving oranges and apples. These two statements are about different individuals (Tom vs. Sue), and the sets of objects differ (grapes vs. oranges and apples), so they’re independent.",0.5384615384615384,0.68,1,NEG,2,f2,audio,openai,gpt-audio,20251217_132922,chatcmpl-Cnlt9d51W7nGToCdaOQaXIGokcflA
