example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id
0,0,Sam only gave Tom APPLES.,Sam also gave Tom grapes.,C,1,C,0,Sam ONLY gave Tom apples.,Sam also gave Tom grapes.,S2 contradicts S1 by stating that Tom received more than just apples.,0.0,0.0,2,POS,2,f10,audio,openai,gpt-4o-audio-preview,20251217_135107,chatcmpl-CnmG5F3B35tN7HMKvV9j7H43CxlhM
1,0,Sam only gave Mary BANANAS.,Sam didn't give Bill bananas.,B,1,B,1,Sam only gave Mary BANANAS.,Sam didn’t give Bill bananas.,S2 is independent of S1. Mary's gifts do not imply anything about what Bill received.,0.0,0.03571428571428571,2,NEG,1,f10,audio,openai,gpt-4o-audio-preview,20251217_135107,chatcmpl-CnmG5F3B35tN7HMKvV9j7H43CxlhM
2,0,Sam only gave MARY apples.,Sam also gave Mary bananas.,B,0,C,0,Sam only GAVE Mary apples.,Sam also gave Mary bananas.,S2 contradicts S1 by claiming that Mary received more than just apples.,0.0,0.0,1,POS,2,f10,audio,openai,gpt-4o-audio-preview,20251217_135107,chatcmpl-CnmG5F3B35tN7HMKvV9j7H43CxlhM
3,0,Sam only gave SUE apples.,Sam didn't give Rob apples.,A,0,B,0,Sam only gave Sue APPLES.,Sam didn’t give Rob apples.,S2 is independent of S1. Sue receiving apples does not affect whether Rob did or did not get apples.,0.0,0.038461538461538464,1,NEG,1,f10,audio,openai,gpt-4o-audio-preview,20251217_135107,chatcmpl-CnmG5F3B35tN7HMKvV9j7H43CxlhM
4,0,Sam only gave BILL bananas.,Sam also gave Bill grapes.,B,0,C,1,Sam only gave BILL bananas.,Sam also gave Bill grapes.,S2 contradicts S1 by showing that Bill received more than just bananas.,0.0,0.0,1,POS,2,f10,audio,openai,gpt-4o-audio-preview,20251217_135107,chatcmpl-CnmG5F3B35tN7HMKvV9j7H43CxlhM
5,0,Sam only gave Rob GRAPES.,Sam didn't give Rob apples.,A,1,A,0,Sam only gave ROB grapes.,Sam didn’t give Rob apples.,"S2 is entailed by S1. If Rob only got grapes, then he did not get apples.",0.0,0.038461538461538464,2,NEG,2,f10,audio,openai,gpt-4o-audio-preview,20251217_135107,chatcmpl-CnmG5F3B35tN7HMKvV9j7H43CxlhM
6,0,Sam only gave SUE grapes.,Sam also gave Tom grapes.,C,1,C,0,Sam only gave Sue GRAPES.,Sam also gave Tom grapes.,"S2 contradicts S1, which implies Sue was the only person given grapes.",0.0,0.0,1,POS,1,f10,audio,openai,gpt-4o-audio-preview,20251217_135107,chatcmpl-CnmG5F3B35tN7HMKvV9j7H43CxlhM
7,0,Sam only gave ELLEN grapes.,Sam didn't give Rob grapes.,A,1,A,0,Sam only gave Ellen GRAPES.,Sam didn’t give Rob grapes.,"S2 is entailed by S1. If Ellen was the only person who got grapes, then Rob must not have gotten any grapes.",0.0,0.038461538461538464,1,NEG,1,f10,audio,openai,gpt-4o-audio-preview,20251217_135107,chatcmpl-CnmG5F3B35tN7HMKvV9j7H43CxlhM
8,0,Sam only gave MARY grapes.,Sam also gave Mary bananas.,B,0,C,1,Sam only gave MARY grapes.,Sam also gave Mary bananas.,"S2 contradicts S1, which claims Mary only received grapes.",0.0,0.0,1,POS,2,f10,audio,openai,gpt-4o-audio-preview,20251217_135107,chatcmpl-CnmG5F3B35tN7HMKvV9j7H43CxlhM
9,0,Sam only gave SUE apples.,Sam didn't give Bill apples.,A,1,A,0,Sam only gave Sue APPLES.,Sam didn’t give Bill apples.,"S2 is entailed by S1. If only Sue got apples, then Bill could not have gotten apples.",0.0,0.037037037037037035,1,NEG,1,f10,audio,openai,gpt-4o-audio-preview,20251217_135107,chatcmpl-CnmG5F3B35tN7HMKvV9j7H43CxlhM
