example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold
0,0,Sam only gave ELLEN bananas.,Sam also gave Ellen grapes.,B,0,C,1,Sam only gave ELLEN bananas.,Sam also gave Ellen grapes.,"the focus in S1 is on ""ELLEN,"" which means Sam didn’t give bananas to anyone else, but it does not restrict what else Sam gave Ellen. S2 says Sam gave Ellen something else (grapes), which contradicts the presupposition that bananas were the only thing given to her.",0.0,0.0,1,POS,2,f9,audio,openai,gpt-audio,20260105_095313,chatcmpl-Cubkchh5b6VFa3zEvzZr69A3AXEoc,1
1,0,Sam only gave MARY apples.,Sam didn't give Mary oranges.,B,0,A,1,Sam only gave MARY apples.,Sam didn’t give Mary oranges.,"the focus in S1 is on ""MARY,"" meaning Sam didn’t give apples to anyone else. S2 says Sam didn’t give Mary oranges, which does not conflict with S1 and fits into the idea that the only thing Mary received from Sam was apples.",0.0,0.03571428571428571,1,NEG,2,f9,audio,openai,gpt-audio,20260105_095313,chatcmpl-Cubkchh5b6VFa3zEvzZr69A3AXEoc,1
2,1,Sam only gave TOM bananas.,Sam also gave Tom apples.,B,1,B,1,Sam only gave TOM bananas.,Sam also gave Tom apples.,"the focus in S1 is on ""TOM,"" which means Sam didn’t give bananas to anyone else. S2 talks about Tom receiving apples, which is unrelated to the restriction about who got bananas, so they are independent.",0.0,0.0,1,POS,2,f9,audio,openai,gpt-audio,20260105_095313,chatcmpl-Cubkchh5b6VFa3zEvzZr69A3AXEoc,1
3,1,Sam only gave MARY apples.,Sam didn't give Mary grapes.,B,1,B,1,Sam only gave MARY apples.,Sam didn’t give Mary grapes.,"the focus in S1 is on ""MARY,"" meaning Sam didn’t give apples to anyone else. S2 says Sam didn’t give Mary grapes, which does not conflict or confirm the focus on apples. So they are independent.",0.0,0.037037037037037035,1,NEG,2,f9,audio,openai,gpt-audio,20260105_095313,chatcmpl-Cubkchh5b6VFa3zEvzZr69A3AXEoc,1
4,0,Sam only gave Mary ORANGES.,Sam didn't give Mary apples.,A,1,A,0,Sam only gave MARY ORANGES.,Sam didn’t give Mary apples.,"the focus in S1 is on ""ORANGES,"" meaning Sam gave Mary nothing else besides oranges. S2 says Sam didn’t give Mary apples, which fully aligns with the idea that oranges were all she received, so S2 is entailed by S1.",0.0,0.037037037037037035,2,NEG,2,f9,audio,openai,gpt-audio,20260105_095313,chatcmpl-Cubkchh5b6VFa3zEvzZr69A3AXEoc,1
5,0,Sam only gave Rob APPLES.,Sam also gave Mary apples.,B,0,C,0,Sam only gave ROB apples.,Sam also gave MARY apples.,"the focus in S1 is on ""ROB,"" meaning Sam didn’t give apples to anyone else. S2 introduces that Mary also got apples, which directly contradicts the exclusivity expressed in S1.",0.0,0.0,2,POS,1,f9,audio,openai,gpt-audio,20260105_095313,chatcmpl-Cubkchh5b6VFa3zEvzZr69A3AXEoc,1
6,0,Sam only gave ROB apples.,Sam also gave Tom apples.,C,1,C,1,Sam only gave ROB apples.,Sam also gave TOM apples.,"the focus in S1 is on ""ROB,"" meaning Sam didn’t give apples to anyone else. S2 says that Tom also received apples, which directly contradicts S1.",0.0,0.0,1,POS,1,f9,audio,openai,gpt-audio,20260105_095313,chatcmpl-Cubkchh5b6VFa3zEvzZr69A3AXEoc,1
7,0,Sam only gave Rob ORANGES.,Sam didn't give Rob bananas.,A,1,A,0,Sam only gave ROB ORANGES.,Sam didn’t give Rob bananas.,"the focus in S1 is on ""ORANGES,"" meaning oranges were the only thing given to Rob. S2 says Sam didn’t give Rob bananas, which aligns perfectly with S1 as it reinforces that Rob didn’t get anything else.",0.0,0.037037037037037035,2,NEG,2,f9,audio,openai,gpt-audio,20260105_095313,chatcmpl-Cubkchh5b6VFa3zEvzZr69A3AXEoc,1
8,0,Sam only gave Bill GRAPES.,Sam also gave Rob grapes.,B,0,C,0,Sam only gave BILL grapes.,Sam also gave ROB grapes.,"the focus in S1 is on ""BILL,"" meaning no one else received grapes. S2 says Rob also got grapes, which directly contradicts the exclusivity in S1.",0.0,0.0,2,POS,1,f9,audio,openai,gpt-audio,20260105_095313,chatcmpl-Cubkchh5b6VFa3zEvzZr69A3AXEoc,1
9,0,Sam only gave Rob GRAPES.,Sam also gave Rob bananas.,C,0,B,0,Sam only gave ROB grapes.,Sam also gave ROB bananas.,"the focus in S1 is on ""grapes,"" meaning grapes were the only thing Sam gave to Rob. S2 says Sam also gave Rob bananas, which contradicts this exclusivity, so they are contradicted.",0.0,0.0,2,POS,2,f9,audio,openai,gpt-audio,20260105_095313,chatcmpl-Cubkchh5b6VFa3zEvzZr69A3AXEoc,1
