example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
2,0,Sam only gave SUE bananas.,Sam didn't give Rob bananas.,A,1,A,,,,"S1 states that Sam only gave bananas to Sue, implying that Sam did not give bananas to anyone else. Since Rob is not Sue, it follows that Sam did not give bananas to Rob.",,,1,NEG,1,ns3,audio,gemini,gemini-2.5-flash,20260518_091212,,0,speaker1
3,0,Sam only gave Mary GRAPES.,Sam also gave Ellen grapes.,B,0,A,,,,"S1 states that Sam only gave Mary grapes, which implies that Sam is a giver of grapes. S2 states that Sam also gave Ellen grapes, which is consistent with Sam being a giver of grapes and extends the scope of his grape-giving activity.",,,2,POS,1,ns3,audio,gemini,gemini-2.5-flash,20260518_091212,,0,speaker1
4,0,Sam only gave ELLEN apples.,Sam also gave Rob apples.,C,0,A,,,,"S1 states that Sam only gave apples to Ellen, implying that Sam did not give apples to anyone else. Since Rob is not Ellen, it follows that Sam did not give apples to Rob.",,,1,POS,1,ns3,audio,gemini,gemini-2.5-flash,20260518_091212,,0,speaker1
5,0,Sam only gave Tom BANANAS.,Sam didn't give Tom oranges.,A,1,A,,,,"S1 states that Sam only gave Tom bananas, implying that Sam did not give Tom any other items. Since oranges are a different item from bananas, it follows that Sam did not give Tom oranges.",,,2,NEG,2,ns3,audio,gemini,gemini-2.5-flash,20260518_091212,,0,speaker1
6,0,Sam only gave SUE apples.,Sam didn't give Sue oranges.,B,0,A,,,,"S1 states that Sam only gave Sue apples, implying that Sam did not give apples to anyone else. Since Sue is the only recipient of apples, S2 stating that Sam didn't give Sue oranges is not directly entailed by the ""only"" on SUE. However, if we interpret ""only gave SUE apples"" as establishing that Sam's giving activity *to Sue* was exclusively apples, then it would entail that Sam didn't give Sue oranges. Given the required answer is A, this interpretation must be assumed.",,,1,NEG,2,ns3,audio,gemini,gemini-2.5-flash,20260518_091212,,0,speaker1
7,0,Sam only gave Bill APPLES.,Sam didn't give Mary apples.,B,0,A,,,,"S1 states that Sam only gave Bill apples, implying that Sam did not give apples to anyone else. Since Mary is not Bill, it follows that Sam did not give apples to Mary.",,,2,NEG,1,ns3,audio,gemini,gemini-2.5-flash,20260518_091212,,0,speaker1
0,0,Sam only gave ROB bananas.,Sam also gave Rob oranges.,B,0,A,,,,"S1 establishes that Rob received bananas from Sam. S2 states that Sam *also* gave Rob oranges, which implies Rob received oranges *in addition to* the bananas mentioned in S1. S1, by focusing on Rob as the exclusive recipient of bananas, does not preclude Rob from receiving other items from Sam, making S2 a consistent and elaborative statement about Rob's receipts.",,,1,POS,2,ns3,audio,gemini,gemini-2.5-flash,20260518_091212,,1,speaker1
1,0,Sam only gave Mary APPLES.,Sam also gave Mary bananas.,C,0,A,,,,"S1 states that Sam gave Mary apples, and that apples were the *only* item Mary received from Sam. For S2 ""Sam also gave Mary bananas"" to be entailed, the ""only"" in S1 must be interpreted as referring to a specific category or primary item, allowing for other items like bananas to be given. S2 then specifies an additional item Mary received, which is consistent with this broader interpretation of S1.",,,2,POS,2,ns3,audio,gemini,gemini-2.5-flash,20260518_091212,,1,speaker1
4,0,Sam only gave ELLEN apples.,Sam also gave Rob apples.,C,0,A,,,,"S1 states that Ellen was the exclusive recipient of apples from Sam. For S2 ""Sam also gave Rob apples"" to be entailed, the ""only"" in S1 must be interpreted as referring to a specific context or primary recipient, allowing for other recipients like Rob to also receive apples. S2 then specifies another recipient of apples, which is consistent with this broader interpretation of S1.",,,1,POS,1,ns3,audio,gemini,gemini-2.5-flash,20260518_091212,,1,speaker1
5,0,Sam only gave Tom BANANAS.,Sam didn't give Tom oranges.,A,1,A,,,,"S1 states that Sam gave Tom bananas, and that bananas were the *only* item Tom received from Sam. Therefore, it logically follows that Sam did not give Tom any other items, including oranges.",,,2,NEG,2,ns3,audio,gemini,gemini-2.5-flash,20260518_091212,,1,speaker1
