source_row_index,Status,Progress,Duration (in seconds),Finished,DistributionChannel,UserLanguage,UV1,UV2,UV3,BC1,BC2,speaker,question_column,question_id,survey_order,sentence_1,choice_1_word,choice_2_word,response_numeric,response_word,solution_numeric,solution_word,is_correct
5,0,100,499,1,anonymous,EN,1,1,1,1,1,speaker0,speaker0_ns2_item7,ns2_item7,1,Sam only gave Ellen grapes.,Ellen,grapes,2,grapes,2,grapes,1
5,0,100,499,1,anonymous,EN,1,1,1,1,1,speaker0,speaker0_ns1_item5,ns1_item5,2,Sam only gave Ellen grapes.,Ellen,grapes,1,Ellen,1,Ellen,1
5,0,100,499,1,anonymous,EN,1,1,1,1,1,speaker0,speaker0_ns3_item2,ns3_item2,3,Sam only gave Sue bananas.,Sue,bananas,1,Sue,1,Sue,1
5,0,100,499,1,anonymous,EN,1,1,1,1,1,speaker0,speaker0_ns3_item7,ns3_item7,4,Sam only gave Bill apples.,Bill,apples,2,apples,2,apples,1
5,0,100,499,1,anonymous,EN,1,1,1,1,1,speaker0,speaker0_ns2_item5,ns2_item5,5,Sam only gave Bill bananas.,Bill,bananas,2,bananas,2,bananas,1
5,0,100,499,1,anonymous,EN,1,1,1,1,1,speaker0,speaker0_ns2_item2,ns2_item2,6,Sam only gave Bill bananas.,Bill,bananas,1,Bill,1,Bill,1
5,0,100,499,1,anonymous,EN,1,1,1,1,1,speaker0,speaker0_ns3_item1,ns3_item1,7,Sam only gave Mary apples.,Mary,apples,2,apples,2,apples,1
5,0,100,499,1,anonymous,EN,1,1,1,1,1,speaker0,speaker0_ns2_item3,ns2_item3,8,Sam only gave Ellen oranges.,Ellen,oranges,2,oranges,2,oranges,1
5,0,100,499,1,anonymous,EN,1,1,1,1,1,speaker0,speaker0_ns2_item6,ns2_item6,9,Sam only gave Ellen bananas.,Ellen,bananas,1,Ellen,1,Ellen,1
5,0,100,499,1,anonymous,EN,1,1,1,1,1,speaker0,speaker0_ns3_item0,ns3_item0,10,Sam only gave Rob bananas.,Rob,bananas,1,Rob,1,Rob,1
5,0,100,499,1,anonymous,EN,1,1,1,1,1,speaker0,speaker0_ns1_item1,ns1_item1,11,Sam only gave Sue oranges.,Sue,oranges,2,oranges,2,oranges,1
