example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold
0,1,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,1,C,1,Sam only gave BILL grapes.,Sam also gave Sue grapes.,"if Sam only gave BILL grapes, that means no one else received grapes from Sam. The statement that Sam also gave Sue grapes contradicts this.",0.0,0.0,1,POS,1,f1,audio,openai,gpt-4o-audio-preview,20260105_090813,chatcmpl-CuarYr0Rm1vm3qNptPRgbHAw2TBOw,0
1,1,Sam only gave SUE oranges.,Sam also gave Rob oranges.,C,1,C,1,Sam only gave SUE oranges.,Sam also gave Rob oranges.,"if Sam only gave SUE oranges, that means no one else received oranges from Sam. The statement that Sam also gave Rob oranges contradicts this.",0.0,0.0,1,POS,1,f1,audio,openai,gpt-4o-audio-preview,20260105_090813,chatcmpl-CuarYr0Rm1vm3qNptPRgbHAw2TBOw,0
2,0,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,A,1,A,1,Sam only gave SUE grapes.,Sam didn’t give Ellen grapes.,"if Sam only gave SUE grapes, that means no one else received grapes from Sam. The statement that Sam didn’t give Ellen grapes is consistent with this and therefore entailed.",0.0,0.03571428571428571,1,NEG,1,f1,audio,openai,gpt-4o-audio-preview,20260105_090813,chatcmpl-CuarYr0Rm1vm3qNptPRgbHAw2TBOw,0
3,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,0,A,1,Sam only gave TOM apples.,Sam didn’t give Tom grapes.,"if Sam only gave TOM apples, that means Tom didn’t receive anything else. The statement that Sam didn’t give Tom grapes is consistent with this and therefore entailed.",0.0,0.038461538461538464,1,NEG,2,f1,audio,openai,gpt-4o-audio-preview,20260105_090813,chatcmpl-CuarYr0Rm1vm3qNptPRgbHAw2TBOw,0
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,1,C,0,Sam only gave ROB oranges.,Sam also gave Rob apples.,"if Sam only gave ROB oranges, that means Rob didn’t receive anything else. The statement that Sam also gave Rob apples contradicts this.",0.0,0.0,2,POS,2,f1,audio,openai,gpt-4o-audio-preview,20260105_090813,chatcmpl-CuarYr0Rm1vm3qNptPRgbHAw2TBOw,0
5,0,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,A,0,B,1,Sam only gave SUE grapes.,Sam didn’t give Tom grapes.,"if Sam only gave SUE grapes, that tells us about Sue and grapes, but it doesn’t tell us anything directly about Tom. The statement about not giving Tom grapes is independent.",0.0,0.038461538461538464,1,NEG,1,f1,audio,openai,gpt-4o-audio-preview,20260105_090813,chatcmpl-CuarYr0Rm1vm3qNptPRgbHAw2TBOw,0
6,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,0,C,0,Sam only gave ELLEN bananas.,Sam also gave Mary bananas.,"if Sam only gave ELLEN bananas, that means no one else received bananas from Sam. The statement that Sam also gave Mary bananas contradicts this.",0.0,0.0,2,POS,1,f1,audio,openai,gpt-4o-audio-preview,20260105_090813,chatcmpl-CuarYr0Rm1vm3qNptPRgbHAw2TBOw,0
7,0,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,B,0,A,1,Sam only gave ROB bananas.,Sam didn’t give Rob oranges.,"if Sam only gave ROB bananas, that means Rob received nothing but bananas, and thus he didn’t receive oranges. The statement that Sam didn’t give Rob oranges is entailed.",0.0,0.037037037037037035,1,NEG,2,f1,audio,openai,gpt-4o-audio-preview,20260105_090813,chatcmpl-CuarYr0Rm1vm3qNptPRgbHAw2TBOw,0
8,0,Sam only gave Mary BANANAS.,Sam also gave Mary apples.,C,1,C,0,Sam only gave MARY bananas.,Sam also gave Mary apples.,"if Sam only gave MARY bananas, that means Mary received nothing else from Sam. The statement that Sam also gave Mary apples contradicts this.",0.0,0.0,2,POS,2,f1,audio,openai,gpt-4o-audio-preview,20260105_090813,chatcmpl-CuarYr0Rm1vm3qNptPRgbHAw2TBOw,0
9,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,1,B,0,Sam only gave SUE oranges.,Sam didn’t give Rob oranges.,"if Sam only gave SUE oranges, that tells us something about Sue receiving oranges but doesn’t tell us anything directly about Rob. The statement about not giving Rob oranges is independent.",0.0,0.037037037037037035,2,NEG,1,f1,audio,openai,gpt-4o-audio-preview,20260105_090813,chatcmpl-CuarYr0Rm1vm3qNptPRgbHAw2TBOw,0
