example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id
0,0,Sam only gave Bill BANANAS.,Sam also gave Bill grapes.,C,1,C,0,Sam ONLY gave Bill bananas.,Sam also gave Bill grapes.,S1 entails that Sam didn't give Bill anything other than bananas.,0.0,0.0,2,POS,2,f7,audio,gemini,gemini-2.0-flash,20251217_164212,
1,0,Sam only gave MARY apples.,Sam also gave Ellen apples.,C,1,C,0,Sam ONLY gave Mary apples.,Sam also gave Ellen apples.,S1 entails that Sam didn't give anyone other than Mary apples.,0.0,0.0,1,POS,1,f7,audio,gemini,gemini-2.0-flash,20251217_164212,
2,0,Sam only gave Sue APPLES.,Sam also gave Tom apples.,B,0,C,0,Sam ONLY gave Sue apples.,Sam also gave Tom apples.,S1 entails that Sam didn't give anyone other than Sue apples.,0.0,0.0,2,POS,1,f7,audio,gemini,gemini-2.0-flash,20251217_164212,
3,0,Sam only gave BILL grapes.,Sam didn't give Bill oranges.,B,0,A,1,Sam ONLY gave BILL grapes.,Sam didn't give Bill oranges.,S1 entails that Sam didn't give Bill anything other than grapes.,0.0,0.0,1,NEG,2,f7,audio,gemini,gemini-2.0-flash,20251217_164212,
4,0,Sam only gave BILL apples.,Sam didn't give Bill bananas.,B,0,A,1,Sam ONLY gave BILL apples.,Sam didn't give Bill bananas.,S1 entails that Sam didn't give Bill anything other than apples.,0.0,0.0,1,NEG,2,f7,audio,gemini,gemini-2.0-flash,20251217_164212,
5,0,Sam only gave SUE apples.,Sam didn't give Sue bananas.,B,0,A,0,Sam ONLY gave Sue apples.,Sam didn't give Sue bananas.,S1 entails that Sam didn't give Sue anything other than apples.,0.0,0.0,1,NEG,2,f7,audio,gemini,gemini-2.0-flash,20251217_164212,
6,0,Sam only gave ELLEN oranges.,Sam didn't give Tom oranges.,A,0,B,0,Sam ONLY gave Ellen oranges.,Sam didn't give Tom oranges.,S1 only entails that Sam didn't give Ellen anything other than oranges.,0.0,0.0,1,NEG,1,f7,audio,gemini,gemini-2.0-flash,20251217_164212,
7,0,Sam only gave TOM apples.,Sam didn't give Mary apples.,A,0,B,0,Sam ONLY gave Tom apples.,Sam didn't give Mary apples.,S1 only entails that Sam didn't give Tom anything other than apples.,0.0,0.0,1,NEG,1,f7,audio,gemini,gemini-2.0-flash,20251217_164212,
8,0,Sam only gave Tom APPLES.,Sam also gave Bill apples.,B,0,C,0,Sam ONLY gave Tom apples.,Sam also gave Bill apples.,S1 entails that Sam didn't give anyone other than Tom apples.,0.0,0.0,2,POS,1,f7,audio,gemini,gemini-2.0-flash,20251217_164212,
9,0,Sam only gave Sue BANANAS.,Sam didn't give Tom bananas.,B,1,B,0,Sam ONLY gave Sue bananas.,Sam didn't give Tom bananas.,S1 only entails that Sam didn't give Sue anything other than bananas.,0.0,0.0,2,NEG,1,f7,audio,gemini,gemini-2.0-flash,20251217_164212,
