example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold
0,1,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,1,C,1,Sam only gave BILL grapes.,Sam also gave Sue grapes.,"in S1, the prosodic focus is on ""BILL,"" meaning Sam gave grapes to Bill and no one else. S2 says Sam also gave Sue grapes, which contradicts the claim in S1.",0.0,0.0,1,POS,1,f1,audio,openai,gpt-audio,20260105_095313,chatcmpl-CubZ7DG2OZFrnthR1H2WOn8ZLIr3Q,0
1,1,Sam only gave SUE oranges.,Sam also gave Rob oranges.,C,1,C,1,Sam only gave SUE oranges.,Sam also gave Rob oranges.,"in S1, the prosodic focus is on ""SUE,"" meaning Sam gave oranges to Sue and no one else. S2 states that Sam also gave Rob oranges, contradicting S1.",0.0,0.0,1,POS,1,f1,audio,openai,gpt-audio,20260105_095313,chatcmpl-CubZ7DG2OZFrnthR1H2WOn8ZLIr3Q,0
2,0,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,A,1,A,1,Sam only gave SUE grapes.,Sam didn’t give Ellen grapes.,"in S1, the prosodic focus is on ""SUE,"" meaning Sam gave grapes to Sue and no one else. S2 states Sam didn’t give Ellen grapes, which is entailed by S1, since S1 excludes anyone other than Sue from receiving grapes.",0.0,0.03571428571428571,1,NEG,1,f1,audio,openai,gpt-audio,20260105_095313,chatcmpl-CubZ7DG2OZFrnthR1H2WOn8ZLIr3Q,0
3,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,0,A,1,Sam only gave TOM apples.,Sam didn’t give Tom grapes.,"in S1, the prosodic focus is on ""apples,"" meaning Sam gave Tom apples and nothing else to Tom. S2 says Sam didn’t give Tom grapes, which is entailed by S1, as S1 implies that apples were the only thing given to Tom.",0.0,0.038461538461538464,1,NEG,2,f1,audio,openai,gpt-audio,20260105_095313,chatcmpl-CubZ7DG2OZFrnthR1H2WOn8ZLIr3Q,0
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,1,C,0,Sam only gave ROB oranges.,Sam also gave Rob apples.,"in S1, the prosodic focus is on ""oranges,"" meaning Sam gave Rob oranges and nothing else to Rob. S2 says Sam also gave Rob apples, which contradicts S1.",0.0,0.0,2,POS,2,f1,audio,openai,gpt-audio,20260105_095313,chatcmpl-CubZ7DG2OZFrnthR1H2WOn8ZLIr3Q,0
5,0,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,A,0,B,1,Sam only gave SUE grapes.,Sam didn’t give Tom grapes.,"in S1, the prosodic focus is on ""SUE,"" meaning Sam gave grapes to Sue and no one else. S2 says that Sam didn’t give Tom grapes. This is independent of S1 because S1 makes no claim about whether anyone else (like Tom) received grapes; it only asserts Sue is the sole grape recipient.",0.0,0.038461538461538464,1,NEG,1,f1,audio,openai,gpt-audio,20260105_095313,chatcmpl-CubZ7DG2OZFrnthR1H2WOn8ZLIr3Q,0
6,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,0,C,0,Sam only gave ELLEN bananas.,Sam also gave Mary bananas.,"in S1, the prosodic focus is on ""ELLEN,"" meaning Sam gave bananas to Ellen and no one else. S2 says Sam also gave Mary bananas, which contradicts S1.",0.0,0.0,2,POS,1,f1,audio,openai,gpt-audio,20260105_095313,chatcmpl-CubZ7DG2OZFrnthR1H2WOn8ZLIr3Q,0
7,0,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,B,0,A,1,Sam only gave ROB bananas.,Sam didn’t give Rob oranges.,"in S1, the prosodic focus is on ""bananas,"" meaning Sam gave Rob bananas and nothing else to Rob. S2 says Sam didn’t give Rob oranges, which is entailed by S1, as S1 implies Rob received only bananas.",0.0,0.037037037037037035,1,NEG,2,f1,audio,openai,gpt-audio,20260105_095313,chatcmpl-CubZ7DG2OZFrnthR1H2WOn8ZLIr3Q,0
8,0,Sam only gave Mary BANANAS.,Sam also gave Mary apples.,C,1,C,0,Sam only gave MARY bananas.,Sam also gave Mary apples.,"in S1, the prosodic focus is on ""bananas,"" meaning Sam gave Mary bananas and nothing else. S2 says Sam also gave Mary apples, which contradicts S1.",0.0,0.0,2,POS,2,f1,audio,openai,gpt-audio,20260105_095313,chatcmpl-CubZ7DG2OZFrnthR1H2WOn8ZLIr3Q,0
9,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,1,B,0,Sam only gave SUE oranges.,Sam didn’t give Rob oranges.,"in S1, the prosodic focus is on ""SUE,"" meaning Sam gave oranges to Sue and no one else. S2 says Sam didn’t give Rob oranges. This is independent of S1 because S1 says nothing about Rob; it only talks about Sue being the sole orange recipient.",0.0,0.037037037037037035,2,NEG,1,f1,audio,openai,gpt-audio,20260105_095313,chatcmpl-CubZ7DG2OZFrnthR1H2WOn8ZLIr3Q,0
0,0,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,1,C,1,Sam only gave BILL grapes.,Sam also gave Sue grapes.,"the focus in S1 is on BILL, meaning Sam only gave grapes to Bill and no one else. S2 states that Sam also gave Sue grapes, which contradicts the focus-based entailment that Bill is the only recipient of grapes.",0.0,0.0,1,POS,1,f1,audio,openai,gpt-audio,20260105_095313,chatcmpl-CubZP6s6lfQ6Mz9o8068X6kSVtZUc,1
1,0,Sam only gave SUE oranges.,Sam also gave Rob oranges.,C,1,C,1,Sam only gave SUE oranges.,Sam also gave Rob oranges.,"the focus in S1 is on SUE, which means Sam gave oranges only to Sue and no one else. S2 says Sam also gave Rob oranges, directly contradicting the focus-based entailment.",0.0,0.0,1,POS,1,f1,audio,openai,gpt-audio,20260105_095313,chatcmpl-CubZP6s6lfQ6Mz9o8068X6kSVtZUc,1
2,1,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,A,1,A,1,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,"the focus in S1 is on SUE, implying Sue is the only one who got grapes. That entails Sam did not give grapes to Ellen or anyone else. So S2 is entailed by S1.",0.0,0.0,1,NEG,1,f1,audio,openai,gpt-audio,20260105_095313,chatcmpl-CubZP6s6lfQ6Mz9o8068X6kSVtZUc,1
3,1,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,1,B,1,Sam only gave TOM apples.,Sam didn’t give Tom grapes.,"the focus in S1 is on TOM, meaning Tom is the only one who got apples. S2 talks about grapes, a different item, not apples. So the statements are independent.",0.0,0.038461538461538464,1,NEG,2,f1,audio,openai,gpt-audio,20260105_095313,chatcmpl-CubZP6s6lfQ6Mz9o8068X6kSVtZUc,1
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,1,C,0,Sam only gave ROB oranges.,Sam also gave Rob apples.,"the focus in S1 is on ROB, meaning Rob is the only one who got oranges and nothing else. S2 says Sam also gave Rob apples, which contradicts the focus-based entailment that he didn’t receive other items.",0.0,0.0,2,POS,2,f1,audio,openai,gpt-audio,20260105_095313,chatcmpl-CubZP6s6lfQ6Mz9o8068X6kSVtZUc,1
5,0,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,A,1,A,1,Sam only gave SUE grapes.,Sam didn’t give Tom grapes.,"the focus in S1 is on SUE, meaning she is the only one who got grapes. This entails that Tom did not get grapes. So S2 is entailed by S1.",0.0,0.038461538461538464,1,NEG,1,f1,audio,openai,gpt-audio,20260105_095313,chatcmpl-CubZP6s6lfQ6Mz9o8068X6kSVtZUc,1
6,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,0,C,0,Sam only gave ELLEN bananas.,Sam also gave Mary bananas.,"the focus in S1 is on ELLEN, meaning Ellen is the only one who got bananas. S2 says Sam also gave Mary bananas, which contradicts this entailment.",0.0,0.0,2,POS,1,f1,audio,openai,gpt-audio,20260105_095313,chatcmpl-CubZP6s6lfQ6Mz9o8068X6kSVtZUc,1
7,0,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,B,0,A,1,Sam only gave ROB bananas.,Sam didn’t give Rob oranges.,"the focus in S1 is on ROB, meaning Rob only received bananas and no other items. This entails that Rob did not receive oranges. So S2 is entailed by S1.",0.0,0.037037037037037035,1,NEG,2,f1,audio,openai,gpt-audio,20260105_095313,chatcmpl-CubZP6s6lfQ6Mz9o8068X6kSVtZUc,1
8,0,Sam only gave Mary BANANAS.,Sam also gave Mary apples.,C,1,C,0,Sam only gave MARY bananas.,Sam also gave Mary apples.,"the focus in S1 is on MARY, meaning Mary only received bananas and no other items. S2 states that Mary also got apples, contradicting that entailment.",0.0,0.0,2,POS,2,f1,audio,openai,gpt-audio,20260105_095313,chatcmpl-CubZP6s6lfQ6Mz9o8068X6kSVtZUc,1
9,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,1,B,0,Sam only gave SUE oranges.,Sam didn’t give Rob oranges.,"the focus in S1 is on SUE, meaning she is the only person who received oranges. S2 states something about Rob not getting oranges. While S1 entails Sue is the only recipient of oranges, it doesn’t directly entail whether Rob did or didn’t get oranges, so S2 is independent.",0.0,0.037037037037037035,2,NEG,1,f1,audio,openai,gpt-audio,20260105_095313,chatcmpl-CubZP6s6lfQ6Mz9o8068X6kSVtZUc,1
0,0,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,1,C,1,Sam only gave BILL grapes.,Sam also gave Sue grapes.,"focusing on BILL in S1 means Sam gave grapes to Bill and not to anyone else. S2 says Sam also gave Sue grapes, contradicting that exclusivity.",0.0,0.0,1,POS,1,f1,audio,openai,gpt-audio,20260105_095313,chatcmpl-CubZhhYh2OJILfF9tb7wcT05uKe0L,2
1,0,Sam only gave SUE oranges.,Sam also gave Rob oranges.,C,1,C,1,Sam only gave SUE oranges.,Sam also gave Rob oranges.,"focusing on SUE in S1 means Sam gave oranges to Sue and not anyone else. S2 says Sam also gave Rob oranges, which contradicts the exclusivity.",0.0,0.0,1,POS,1,f1,audio,openai,gpt-audio,20260105_095313,chatcmpl-CubZhhYh2OJILfF9tb7wcT05uKe0L,2
2,0,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,A,1,A,1,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,"focusing on SUE in S1 means that no one else besides Sue got grapes. S2 says Ellen didn’t get grapes, which is consistent with that exclusivity.",0.0,0.0,1,NEG,1,f1,audio,openai,gpt-audio,20260105_095313,chatcmpl-CubZhhYh2OJILfF9tb7wcT05uKe0L,2
3,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,0,A,1,Sam only gave TOM apples.,Sam didn't give Tom grapes.,"focusing on apples in S1 means that apples were the only thing Sam gave to Tom, and no other item like grapes. S2 says Sam didn’t give Tom grapes, consistent with that.",0.0,0.0,1,NEG,2,f1,audio,openai,gpt-audio,20260105_095313,chatcmpl-CubZhhYh2OJILfF9tb7wcT05uKe0L,2
4,1,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,1,C,1,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,"focusing on ORANGES in S1 means oranges were the only thing Sam gave to Rob. S2 says Sam also gave apples to Rob, which contradicts that exclusivity.",0.0,0.0,2,POS,2,f1,audio,openai,gpt-audio,20260105_095313,chatcmpl-CubZhhYh2OJILfF9tb7wcT05uKe0L,2
5,1,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,A,1,A,1,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,"focusing on SUE in S1 means that Sue was the only recipient of grapes. S2 says Sam didn’t give Tom grapes, which is consistent with that exclusivity.",0.0,0.0,1,NEG,1,f1,audio,openai,gpt-audio,20260105_095313,chatcmpl-CubZhhYh2OJILfF9tb7wcT05uKe0L,2
6,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,0,C,0,Sam only gave ELLEN bananas.,Sam also gave Mary bananas.,"focusing on ELLEN in S1 means that Ellen was the only recipient of bananas. S2 says Sam also gave Mary bananas, which contradicts that exclusivity.",0.0,0.0,2,POS,1,f1,audio,openai,gpt-audio,20260105_095313,chatcmpl-CubZhhYh2OJILfF9tb7wcT05uKe0L,2
7,0,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,B,0,A,1,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,"focusing on bananas in S1 means bananas were the only thing Sam gave Rob. S2 says Sam didn’t give Rob oranges, which is consistent with that exclusivity.",0.0,0.0,1,NEG,2,f1,audio,openai,gpt-audio,20260105_095313,chatcmpl-CubZhhYh2OJILfF9tb7wcT05uKe0L,2
8,0,Sam only gave Mary BANANAS.,Sam also gave Mary apples.,C,1,C,0,Sam only gave MARY bananas.,Sam also gave Mary apples.,"focusing on bananas in S1 means that bananas were the only thing Sam gave to Mary. S2 says Sam also gave Mary apples, contradicting that exclusivity.",0.0,0.0,2,POS,2,f1,audio,openai,gpt-audio,20260105_095313,chatcmpl-CubZhhYh2OJILfF9tb7wcT05uKe0L,2
9,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,0,A,0,Sam only gave SUE oranges.,Sam didn't give Rob oranges.,"focusing on SUE in S1 means Sue was the only recipient of oranges. S2 says Sam didn’t give Rob oranges, which is consistent with that exclusivity.",0.0,0.0,2,NEG,1,f1,audio,openai,gpt-audio,20260105_095313,chatcmpl-CubZhhYh2OJILfF9tb7wcT05uKe0L,2
0,0,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,1,C,1,Sam only gave BILL grapes.,Sam also gave Sue grapes.,"the focus in S1 is on ""BILL,"" meaning Sam didn't give grapes to anyone else, but S2 says Sam also gave Sue grapes, which contradicts S1.",0.0,0.0,1,POS,1,f1,audio,openai,gpt-audio,20260105_095313,chatcmpl-CubZzsCpSiIhnomkzxD0Nzzz01OnZ,3
1,0,Sam only gave SUE oranges.,Sam also gave Rob oranges.,C,1,C,1,Sam only gave SUE oranges.,Sam also gave Rob oranges.,"the focus in S1 is on ""SUE,"" meaning Sam didn't give oranges to anyone else, but S2 says Sam also gave Rob oranges, which contradicts S1.",0.0,0.0,1,POS,1,f1,audio,openai,gpt-audio,20260105_095313,chatcmpl-CubZzsCpSiIhnomkzxD0Nzzz01OnZ,3
2,0,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,A,1,A,1,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,"the focus in S1 is on ""SUE,"" meaning Sam only gave grapes to Sue and not to anyone else, so S2 is entailed since it says Sam didn't give Ellen grapes.",0.0,0.0,1,NEG,1,f1,audio,openai,gpt-audio,20260105_095313,chatcmpl-CubZzsCpSiIhnomkzxD0Nzzz01OnZ,3
3,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,0,A,1,Sam only gave TOM apples.,Sam didn't give Tom grapes.,"the focus in S1 is on ""apples,"" meaning Sam only gave apples to Tom, so he didn't give Tom anything else, and S2 is entailed since it says Sam didn't give Tom grapes.",0.0,0.0,1,NEG,2,f1,audio,openai,gpt-audio,20260105_095313,chatcmpl-CubZzsCpSiIhnomkzxD0Nzzz01OnZ,3
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,1,C,0,Sam only gave ROB oranges.,Sam also gave Rob apples.,"the focus in S1 is on ""oranges,"" meaning Sam didn't give anything else to Rob except oranges, but S2 says Sam also gave Rob apples, which contradicts S1.",0.0,0.0,2,POS,2,f1,audio,openai,gpt-audio,20260105_095313,chatcmpl-CubZzsCpSiIhnomkzxD0Nzzz01OnZ,3
5,0,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,A,0,B,1,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,"the focus in S1 is on ""SUE,"" meaning Sam only gave grapes to Sue and not anyone else, but S2 talks about Tom and not Sue, making it independent because it focuses on a different individual.",0.0,0.0,1,NEG,1,f1,audio,openai,gpt-audio,20260105_095313,chatcmpl-CubZzsCpSiIhnomkzxD0Nzzz01OnZ,3
6,1,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,0,C,0,Sam only gave ELLEN bananas.,Sam also gave Mary bananas.,"the focus in S1 is on ""ELLEN,"" meaning Sam didn't give bananas to anyone else, but S2 says Sam also gave Mary bananas, which contradicts S1.",0.0,0.0,2,POS,1,f1,audio,openai,gpt-audio,20260105_095313,chatcmpl-CubZzsCpSiIhnomkzxD0Nzzz01OnZ,3
7,1,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,B,0,A,1,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,"the focus in S1 is on ""ROB,"" meaning Sam only gave bananas to Rob and not anything else, so S2 is entailed since it says Sam didn't give Rob oranges.",0.0,0.0,1,NEG,2,f1,audio,openai,gpt-audio,20260105_095313,chatcmpl-CubZzsCpSiIhnomkzxD0Nzzz01OnZ,3
8,0,Sam only gave Mary BANANAS.,Sam also gave Mary apples.,C,1,C,0,Sam only gave MARY bananas.,Sam also gave Mary apples.,"the focus in S1 is on ""bananas,"" meaning Sam didn't give anything else to Mary except bananas, but S2 says Sam also gave Mary apples, which contradicts S1.",0.0,0.0,2,POS,2,f1,audio,openai,gpt-audio,20260105_095313,chatcmpl-CubZzsCpSiIhnomkzxD0Nzzz01OnZ,3
9,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,1,B,0,Sam only gave SUE oranges.,Sam didn't give Rob oranges.,"the focus in S1 is on ""SUE,"" meaning Sam only gave oranges to Sue and not anyone else, but S2 talks about Rob and not Sue, making it independent because it focuses on a different individual.",0.0,0.0,2,NEG,1,f1,audio,openai,gpt-audio,20260105_095313,chatcmpl-CubZzsCpSiIhnomkzxD0Nzzz01OnZ,3
