example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
2,0,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,A,1,A,,,,"S1 states that Sam only gave Bill grapes, and S2 states that Sam also gave Sue grapes. The second sentence is consistent with the first; it doesn’t contradict it, as it is possible that Sam gave grapes to others in addition to Bill. ""Only"" is prosodically focused on Bill, indicating that Bill was exclusive in receiving grapes, but does not exclude that others may have received them separately.",,,1,NEG,1,f1,audio,openai,gpt-4o-audio-preview,20260503_102245,chatcmpl-DbOGaYOqy12ZmvC41QtHQuNvv4uve,0,speaker0
3,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,0,C,,,,"S1 states that Sam only gave Sue oranges, and S2 states that Sam also gave Rob oranges. This contradicts the exclusivity implied by the word ""only"" in S1. The focus on Sue means the exclusivity applies to Sue alone, and S2 breaks that exclusivity by including Rob.",,,1,NEG,2,f1,audio,openai,gpt-4o-audio-preview,20260503_102245,chatcmpl-DbOGaYOqy12ZmvC41QtHQuNvv4uve,0,speaker0
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,0,A,,,,"S1 states that Sam only gave Sue grapes, and S2 states that Sam didn’t give Ellen grapes. This is consistent. The ""only"" focuses on Sue as the exclusive recipient, and S2 supports that no one else, including Ellen, received grapes.",,,2,POS,2,f1,audio,openai,gpt-4o-audio-preview,20260503_102245,chatcmpl-DbOGaYOqy12ZmvC41QtHQuNvv4uve,0,speaker0
5,0,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,A,0,C,,,,"S1 states that Sam only gave Tom apples, and S2 states that Sam didn’t give Tom grapes. While the second sentence is consistent with the idea that Tom only received apples (not other fruit), it’s actually a contradiction because S1’s focus on exclusivity refers to apples only. It does not exclude that Tom could have not received other fruit, so S2 being explicit about Tom not receiving grapes leads to a contradiction regarding the interpretation of exclusivity.",,,1,NEG,1,f1,audio,openai,gpt-4o-audio-preview,20260503_102245,chatcmpl-DbOGaYOqy12ZmvC41QtHQuNvv4uve,0,speaker0
6,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,1,B,,,,"S1 states that Sam only gave Rob oranges, and S2 states that Sam also gave Rob apples. The focus on Rob in S1 and the mention of oranges means he's the exclusive recipient of oranges, but it doesn’t exclude him from receiving other fruits like apples. Thus, the two statements can coexist without contradiction, making them independent.",,,2,POS,1,f1,audio,openai,gpt-4o-audio-preview,20260503_102245,chatcmpl-DbOGaYOqy12ZmvC41QtHQuNvv4uve,0,speaker0
7,0,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,B,0,A,,,,"S1 states that Sam only gave Sue grapes, and S2 states that Sam didn’t give Tom grapes. The focus in the first sentence is on Sue being the only recipient of grapes, so it's consistent to say that someone else, like Tom, did not receive grapes.",,,1,NEG,2,f1,audio,openai,gpt-4o-audio-preview,20260503_102245,chatcmpl-DbOGaYOqy12ZmvC41QtHQuNvv4uve,0,speaker0
8,0,Sam only gave Mary BANANAS.,Sam also gave Mary apples.,C,0,B,,,,"S1 states that Sam only gave Ellen bananas, and S2 states that Sam also gave Mary bananas. The focus on Ellen means she is the only one who received bananas from Sam, so the second sentence is independent because it adds a new fact that doesn’t explicitly contradict the first but still stands on its own as a new piece of information.",,,2,POS,2,f1,audio,openai,gpt-4o-audio-preview,20260503_102245,chatcmpl-DbOGaYOqy12ZmvC41QtHQuNvv4uve,0,speaker0
9,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,0,A,,,,"S1 states that Sam only gave Rob bananas, and S2 states that Sam didn’t give Rob oranges. The focus on Rob as the exclusive recipient of bananas is consistent with the fact that Rob didn’t receive oranges. There is no contradiction here—these statements support each other.",,,2,NEG,1,f1,audio,openai,gpt-4o-audio-preview,20260503_102245,chatcmpl-DbOGaYOqy12ZmvC41QtHQuNvv4uve,0,speaker0
0,0,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,0,B,,,,"the first sentence says Sam only gave Bill grapes, and the second sentence says Sam also gave Sue grapes. These two statements are independent since there is no logical connection between giving Bill and Sue grapes.",,,1,POS,1,f1,audio,openai,gpt-4o-audio-preview,20260503_102245,chatcmpl-DbOHJmQE9PNVSA8PQsMuYhSEUzs3D,1,speaker0
1,0,Sam only gave SUE oranges.,Sam also gave Rob oranges.,C,0,B,,,,"the first sentence says Sam only gave Sue oranges, and the second sentence says Sam also gave Rob oranges. The two sentences describe separate actions, so they are independent of each other.",,,1,POS,1,f1,audio,openai,gpt-4o-audio-preview,20260503_102245,chatcmpl-DbOHJmQE9PNVSA8PQsMuYhSEUzs3D,1,speaker0
