example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
2,0,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,A,0,C,,,,"S1: ""Sam only gave BILL grapes"" with focus on BILL means Sam gave grapes only to Bill and not to anyone else. S2: ""Sam also gave Sue grapes"" contradicts S1 because it asserts that Sue also received grapes, which goes against the exclusivity implied by the focus on Bill.",,,1,NEG,1,f1,audio,openai,gpt-audio,20260503_100327,chatcmpl-DbNxcEZiX9FF2Nz39ehv6UnHHcLEt,0,speaker0
3,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,0,C,,,,"S1: ""Sam only gave SUE oranges"" with focus on SUE means Sam gave oranges only to Sue and nobody else. S2: ""Sam also gave Rob oranges"" contradicts the exclusivity, as it claims Rob received oranges as well.",,,1,NEG,2,f1,audio,openai,gpt-audio,20260503_100327,chatcmpl-DbNxcEZiX9FF2Nz39ehv6UnHHcLEt,0,speaker0
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,0,A,,,,"S1: ""Sam only gave SUE grapes"" with focus on SUE means Sam gave grapes only to Sue, and S2: ""Sam didn't give Ellen grapes"" is entailed by S1. If Sue was the only one who got grapes, then indeed Ellen did not get grapes.",,,2,POS,2,f1,audio,openai,gpt-audio,20260503_100327,chatcmpl-DbNxcEZiX9FF2Nz39ehv6UnHHcLEt,0,speaker0
5,0,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,A,1,A,,,,"S1: ""Sam only gave TOM apples"" means Tom was the only recipient of apples. S2: ""Sam didn't give Tom grapes"" is entailed because S1 says nothing about grapes, only about apples. It can logically follow that Tom didn’t receive any grapes.",,,1,NEG,1,f1,audio,openai,gpt-audio,20260503_100327,chatcmpl-DbNxcEZiX9FF2Nz39ehv6UnHHcLEt,0,speaker0
6,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,0,C,,,,"S1: ""Sam only gave ROB oranges"" means Rob was the sole recipient of oranges. S2: ""Sam also gave Rob apples"" contradicts S1’s restriction to only oranges. If Rob got only oranges (no other fruits), then it can’t be true that he also received apples.",,,2,POS,1,f1,audio,openai,gpt-audio,20260503_100327,chatcmpl-DbNxcEZiX9FF2Nz39ehv6UnHHcLEt,0,speaker0
7,0,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,B,0,A,,,,"S1: ""Sam only gave SUE grapes"" with focus on SUE means Sue was the only one who got grapes. S2: ""Sam didn't give Tom grapes"" follows logically from that because if Sue was the only one, then Tom could not have gotten grapes.",,,1,NEG,2,f1,audio,openai,gpt-audio,20260503_100327,chatcmpl-DbNxcEZiX9FF2Nz39ehv6UnHHcLEt,0,speaker0
8,0,Sam only gave Mary BANANAS.,Sam also gave Mary apples.,C,0,A,,,,"S1: ""Sam only gave ELLEN bananas"" means Ellen was the only banana recipient. S2: ""Sam also gave Mary bananas"" is still entailed because the focus on Ellen in S1 suggests restriction against giving other fruits, but does not negate the possibility of multiple recipients for bananas. Therefore, giving Mary bananas does not break the exclusivity on the type of fruit tied to Ellen.",,,2,POS,2,f1,audio,openai,gpt-audio,20260503_100327,chatcmpl-DbNxcEZiX9FF2Nz39ehv6UnHHcLEt,0,speaker0
9,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,0,C,,,,"S1: ""Sam only gave ROB bananas"" means Rob was the sole recipient of bananas. S2: ""Sam didn't give Rob oranges"" contradicts nothing here and supports the exclusivity, so it should have nothing wrong—but the focus in S1 is only about bananas. Giving Rob oranges would have been unrelated. However, the best fit is a contradiction due to the way S2 denies another kind of fruit which would be independent under focus on bananas. Thus, it’s not supported or entailed, so it stands contradicted.",,,2,NEG,1,f1,audio,openai,gpt-audio,20260503_100327,chatcmpl-DbNxcEZiX9FF2Nz39ehv6UnHHcLEt,0,speaker0
0,0,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,0,B,,,,"the prosodic focus in S1 is on ""Bill,"" and S2 introduces ""Sue,"" so the statements are independent and do not relate through entailment or contradiction.",,,1,POS,1,f1,audio,openai,gpt-audio,20260503_100327,chatcmpl-DbNxmMiepWH9jNK9SS3BZR18O0Kxw,1,speaker0
1,0,Sam only gave SUE oranges.,Sam also gave Rob oranges.,C,0,B,,,,"the prosodic focus in S1 is on ""Sue"" with ""oranges,"" while S2 introduces ""Rob"" and ""oranges,"" making the two statements independent.",,,1,POS,1,f1,audio,openai,gpt-audio,20260503_100327,chatcmpl-DbNxmMiepWH9jNK9SS3BZR18O0Kxw,1,speaker0
