example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
2,0,Sam only gave MARY apples.,Sam also gave Mary bananas.,B,1,B,,,,"the prosodic focus in S1 is on ""BANANAS"", meaning bananas were the only thing Sam gave to Mary. This provides no information about what Sam gave to Bill, making S2 independent.",,,1,POS,2,f10,audio,gemini,gemini-3.1-pro-preview,20260502_162639,,0,speaker0
3,0,Sam only gave SUE apples.,Sam didn't give Rob apples.,A,0,B,,,,"the prosodic focus in S1 is on ""MARY"", meaning Mary was the only person Sam gave apples to. This does not restrict Sam from giving other items, such as bananas, to Mary, making S2 independent.",,,1,NEG,1,f10,audio,gemini,gemini-3.1-pro-preview,20260502_162639,,0,speaker0
4,0,Sam only gave BILL bananas.,Sam also gave Bill grapes.,B,0,A,,,,"the prosodic focus in S1 is on ""SUE"", meaning Sue was the only person Sam gave apples to. This entails that Sam did not give apples to anyone else, including Rob.",,,1,POS,2,f10,audio,gemini,gemini-3.1-pro-preview,20260502_162639,,0,speaker0
5,0,Sam only gave Rob GRAPES.,Sam didn't give Rob apples.,A,0,B,,,,"the prosodic focus in S1 is on ""BILL"", meaning Bill was the only person Sam gave bananas to. This does not restrict Sam from giving other items, such as grapes, to Bill, making S2 independent.",,,2,NEG,2,f10,audio,gemini,gemini-3.1-pro-preview,20260502_162639,,0,speaker0
6,0,Sam only gave SUE grapes.,Sam also gave Tom grapes.,C,0,A,,,,"the prosodic focus in S1 is on ""GRAPES"", meaning grapes were the only thing Sam gave to Rob. This entails that Sam did not give apples to Rob.",,,1,POS,1,f10,audio,gemini,gemini-3.1-pro-preview,20260502_162639,,0,speaker0
7,0,Sam only gave ELLEN grapes.,Sam didn't give Rob grapes.,A,0,C,,,,"the prosodic focus in S1 is on ""SUE"", meaning Sue was the only person Sam gave grapes to. This contradicts S2, which claims that Sam also gave grapes to Tom.",,,1,NEG,1,f10,audio,gemini,gemini-3.1-pro-preview,20260502_162639,,0,speaker0
8,0,Sam only gave MARY grapes.,Sam also gave Mary bananas.,B,0,A,,,,"the prosodic focus in S1 is on ""ELLEN"", meaning Ellen was the only person Sam gave grapes to. This entails that Sam did not give grapes to anyone else, including Rob.",,,1,POS,2,f10,audio,gemini,gemini-3.1-pro-preview,20260502_162639,,0,speaker0
9,0,Sam only gave SUE apples.,Sam didn't give Bill apples.,A,0,B,,,,"the prosodic focus in S1 is on ""MARY"", meaning Mary was the only person Sam gave grapes to. This does not restrict Sam from giving other items, such as bananas, to Mary, making S2 independent.",,,1,NEG,1,f10,audio,gemini,gemini-3.1-pro-preview,20260502_162639,,0,speaker0
0,0,Sam only gave Tom APPLES.,Sam also gave Tom grapes.,C,1,C,,,,"S1 places prosodic focus on ""apples"", meaning apples are the only thing Sam gave Tom. S2 states that Sam gave Tom grapes, which contradicts S1.",,,2,POS,2,f10,audio,gemini,gemini-3.1-pro-preview,20260502_162639,,1,speaker0
1,0,Sam only gave Mary BANANAS.,Sam didn't give Bill bananas.,B,1,B,,,,"S1 places prosodic focus on ""bananas"", meaning bananas are the only thing Sam gave Mary. This provides no information about what Sam gave Bill, making S2 independent.",,,2,NEG,1,f10,audio,gemini,gemini-3.1-pro-preview,20260502_162639,,1,speaker0
