example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold
0,0,Sam only gave Ellen GRAPES.,Sam also gave Ellen oranges.,C,1,C,1,Sam only gave Ellen GRAPES.,Sam also gave Ellen oranges.,"S1 restricts the set of things Sam gave to Ellen to just grapes, which contradicts S2's claim that he also gave her oranges.",0.0,0.0,2,POS,2,f5,audio,gemini,gemini-3.1-pro-preview,20260223_171601,,
1,0,Sam only gave ELLEN apples.,Sam also gave Rob apples.,C,1,C,1,Sam only gave ELLEN apples.,Sam also gave Rob apples.,"S1 restricts the set of people Sam gave apples to to just Ellen, which contradicts S2's claim that he also gave apples to Rob.",0.0,0.0,1,POS,1,f5,audio,gemini,gemini-3.1-pro-preview,20260223_171601,,
2,0,Sam only gave MARY oranges.,Sam didn't give Mary bananas.,B,1,B,1,Sam only gave MARY oranges.,Sam didn't give Mary bananas.,"S1 restricts the set of people Sam gave oranges to to just Mary, but provides no information about whether or not Sam gave Mary bananas.",0.0,0.0,1,NEG,2,f5,audio,gemini,gemini-3.1-pro-preview,20260223_171601,,
3,0,Sam only gave MARY oranges.,Sam also gave Tom oranges.,C,1,C,1,Sam only gave MARY oranges.,Sam also gave Tom oranges.,"S1 restricts the set of people Sam gave oranges to to just Mary, which contradicts S2's claim that he also gave oranges to Tom.",0.0,0.0,1,POS,1,f5,audio,gemini,gemini-3.1-pro-preview,20260223_171601,,
4,0,Sam only gave Mary ORANGES.,Sam didn't give Tom oranges.,B,1,B,1,Sam only gave Mary ORANGES.,Sam didn't give Tom oranges.,"S1 restricts the set of things Sam gave to Mary to just oranges, but provides no information about what Sam gave to Tom.",0.0,0.0,2,NEG,1,f5,audio,gemini,gemini-3.1-pro-preview,20260223_171601,,
5,0,Sam only gave Mary GRAPES.,Sam also gave Mary apples.,C,1,C,1,Sam only gave Mary GRAPES.,Sam also gave Mary apples.,"S1 restricts the set of things Sam gave to Mary to just grapes, which contradicts S2's claim that he also gave her apples.",0.0,0.0,2,POS,2,f5,audio,gemini,gemini-3.1-pro-preview,20260223_171601,,
6,0,Sam only gave SUE apples.,Sam also gave Mary apples.,C,1,C,1,Sam only gave SUE apples.,Sam also gave Mary apples.,"S1 restricts the set of people Sam gave apples to to just Sue, which contradicts S2's claim that he also gave apples to Mary.",0.0,0.0,1,POS,1,f5,audio,gemini,gemini-3.1-pro-preview,20260223_171601,,
7,0,Sam only gave Bill ORANGES.,Sam also gave Bill bananas.,C,1,C,1,Sam only gave Bill ORANGES.,Sam also gave Bill bananas.,"S1 restricts the set of things Sam gave to Bill to just oranges, which contradicts S2's claim that he also gave him bananas.",0.0,0.0,2,POS,2,f5,audio,gemini,gemini-3.1-pro-preview,20260223_171601,,
8,0,Sam only gave Ellen BANANAS.,Sam also gave Ellen grapes.,C,1,C,1,Sam only gave Ellen BANANAS.,Sam also gave Ellen grapes.,"S1 restricts the set of things Sam gave to Ellen to just bananas, which contradicts S2's claim that he also gave her grapes.",0.0,0.0,2,POS,2,f5,audio,gemini,gemini-3.1-pro-preview,20260223_171601,,
9,0,Sam only gave Tom BANANAS.,Sam didn't give Tom oranges.,A,1,A,1,Sam only gave Tom BANANAS.,Sam didn't give Tom oranges.,"S1 restricts the set of things Sam gave to Tom to just bananas, which entails that he did not give Tom oranges.",0.0,0.0,2,NEG,2,f5,audio,gemini,gemini-3.1-pro-preview,20260223_171601,,
