example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold
0,0,Sam only gave ROB bananas.,Sam didn't give Tom bananas.,A,1,A,1,Sam only gave ROB bananas.,Sam didn't give Tom bananas.,"if Sam only gave bananas to Rob, then he didn't give bananas to anyone else, including Tom.",0.0,0.0,1,NEG,1,f2,audio,gemini,gemini-2.5-flash,20260223_174122,,
1,0,Sam only gave TOM grapes.,Sam didn't give Tom oranges.,B,0,A,0,Sam only gave Tom GRAPES.,Sam didn't give Tom oranges.,"if Sam only gave Tom grapes, then he didn't give Tom any other fruit, including oranges.",0.0,0.0,1,NEG,2,f2,audio,gemini,gemini-2.5-flash,20260223_174122,,
2,0,Sam only gave SUE oranges.,Sam also gave Sue apples.,B,0,C,1,Sam only gave SUE oranges.,Sam also gave Sue apples.,"if Sam only gave Sue oranges, it means he gave her no other fruit. This contradicts the statement that he also gave her apples.",0.0,0.0,1,POS,2,f2,audio,gemini,gemini-2.5-flash,20260223_174122,,
3,0,Sam only gave SUE bananas.,Sam didn't give Rob bananas.,A,1,A,1,Sam only gave SUE bananas.,Sam didn't give Rob bananas.,"if Sam only gave bananas to Sue, then he didn't give bananas to anyone else, including Rob.",0.0,0.0,1,NEG,1,f2,audio,gemini,gemini-2.5-flash,20260223_174122,,
4,0,Sam only gave Tom ORANGES.,Sam didn't give Tom bananas.,A,1,A,1,Sam only gave Tom ORANGES.,Sam didn't give Tom bananas.,"if Sam only gave Tom oranges, then he didn't give Tom any other fruit, including bananas.",0.0,0.0,2,NEG,2,f2,audio,gemini,gemini-2.5-flash,20260223_174122,,
5,0,Sam only gave SUE apples.,Sam didn't give Sue oranges.,B,0,A,0,Sam only gave Sue APPLES.,Sam didn't give Sue oranges.,"if Sam only gave Sue apples, then he didn't give Sue any other fruit, including oranges.",0.0,0.0,1,NEG,2,f2,audio,gemini,gemini-2.5-flash,20260223_174122,,
6,0,Sam only gave Sue GRAPES.,Sam didn't give Sue apples.,A,1,A,1,Sam only gave Sue GRAPES.,Sam didn't give Sue apples.,"if Sam only gave Sue grapes, then he didn't give Sue any other fruit, including apples.",0.0,0.0,2,NEG,2,f2,audio,gemini,gemini-2.5-flash,20260223_174122,,
7,0,Sam only gave ELLEN oranges.,Sam also gave Ellen bananas.,B,0,C,1,Sam only gave ELLEN oranges.,Sam also gave Ellen bananas.,"if Sam only gave Ellen oranges, it means he gave her no other fruit. This contradicts the statement that he also gave her bananas.",0.0,0.0,1,POS,2,f2,audio,gemini,gemini-2.5-flash,20260223_174122,,
8,0,Sam only gave MARY grapes.,Sam didn't give Mary apples.,B,0,A,0,Sam only gave Mary GRAPES.,Sam didn't give Mary apples.,"if Sam only gave Mary grapes, then he didn't give Mary any other fruit, including apples.",0.0,0.0,1,NEG,2,f2,audio,gemini,gemini-2.5-flash,20260223_174122,,
9,0,Sam only gave BILL oranges.,Sam also gave Mary oranges.,C,1,C,1,Sam only gave BILL oranges.,Sam also gave Mary oranges.,"if Sam only gave oranges to Bill, it means he didn't give oranges to anyone else. This contradicts the statement that he also gave Mary oranges.",0.0,0.0,1,POS,1,f2,audio,gemini,gemini-2.5-flash,20260223_174122,,
0,0,Sam only gave ELLEN grapes.,Sam didn't give Tom grapes.,A,1,A,1,Sam only gave ELLEN grapes.,Sam didn't give Tom grapes.,"if Sam only gave Ellen grapes, it implies he did not give grapes to anyone else, including Tom.",0.0,0.0,1,NEG,1,f3,audio,gemini,gemini-2.5-flash,20260223_174122,,
1,0,Sam only gave Ellen APPLES.,Sam didn't give Ellen oranges.,A,0,C,1,Sam only gave Ellen APPLES.,Sam didn't give Ellen apples.,"if Sam only gave Ellen apples, it implies he did give Ellen apples. S2 contradicts this by stating he didn't.",0.0,0.1724137931034483,2,NEG,2,f3,audio,gemini,gemini-2.5-flash,20260223_174122,,
2,0,Sam only gave Rob GRAPES.,Sam also gave Ellen grapes.,B,1,B,1,Sam only gave Rob GRAPES.,Sam also gave Ellen grapes.,S1 states that the *only thing* Sam gave Rob was grapes. It does not restrict who else Sam might have given grapes to.,0.0,0.0,2,POS,1,f3,audio,gemini,gemini-2.5-flash,20260223_174122,,
3,0,Sam only gave Rob APPLES.,Sam also gave Ellen apples.,B,1,B,1,Sam only gave Rob APPLES.,Sam also gave Ellen apples.,S1 states that the *only thing* Sam gave Rob was apples. It does not restrict who else Sam might have given apples to.,0.0,0.0,2,POS,1,f3,audio,gemini,gemini-2.5-flash,20260223_174122,,
4,0,Sam only gave Ellen APPLES.,Sam didn't give Bill apples.,B,0,A,0,Sam only gave ELLEN apples.,Sam didn't give Bill apples.,"if Sam only gave Ellen apples, it implies he did not give apples to anyone else, including Bill.",0.0,0.0,2,NEG,1,f3,audio,gemini,gemini-2.5-flash,20260223_174122,,
5,0,Sam only gave Rob APPLES.,Sam didn't give Sue apples.,B,0,A,0,Sam only gave ROB apples.,Sam didn't give Sue apples.,"if Sam only gave Rob apples, it implies he did not give apples to anyone else, including Sue.",0.0,0.0,2,NEG,1,f3,audio,gemini,gemini-2.5-flash,20260223_174122,,
6,0,Sam only gave ROB oranges.,Sam also gave Rob apples.,B,0,C,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,"if Sam only gave Rob oranges, it implies he did not give Rob anything else. S2 contradicts this by stating he also gave Rob apples.",0.0,0.0,1,POS,2,f3,audio,gemini,gemini-2.5-flash,20260223_174122,,
7,0,Sam only gave ROB apples.,Sam also gave Rob grapes.,B,0,C,0,Sam only gave Rob APPLES.,Sam also gave Rob grapes.,"if Sam only gave Rob apples, it implies he did not give Rob anything else. S2 contradicts this by stating he also gave Rob grapes.",0.0,0.0,1,POS,2,f3,audio,gemini,gemini-2.5-flash,20260223_174122,,
8,0,Sam only gave ROB bananas.,Sam didn't give Ellen bananas.,A,1,A,1,Sam only gave ROB bananas.,Sam didn't give Ellen bananas.,"if Sam only gave Rob bananas, it implies he did not give bananas to anyone else, including Ellen.",0.0,0.0,1,NEG,1,f3,audio,gemini,gemini-2.5-flash,20260223_174122,,
