example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id
0,0,Sam only gave ROB bananas.,Sam didn't give Tom bananas.,A,1,A,0,Sam only gave Rob bananas.,Sam didn't give Tom bananas.,"“only gave Rob bananas” means Rob was the sole recipient of bananas, so Tom didn’t get any.",0.0,0.0,1,NEG,1,f2,baseline,openai,gpt-5,20251218_171537,
1,0,Sam only gave TOM grapes.,Sam didn't give Tom oranges.,B,0,A,0,Sam only gave Tom grapes.,Sam didn't give Tom oranges.,"Tom received only grapes, so he did not receive oranges.",0.0,0.0,1,NEG,2,f2,baseline,openai,gpt-5,20251218_171537,
2,0,Sam only gave SUE oranges.,Sam also gave Sue apples.,B,0,C,0,Sam only gave Sue oranges.,Sam also gave Sue apples.,"if Sue got only oranges, she could not also have received apples.",0.0,0.0,1,POS,2,f2,baseline,openai,gpt-5,20251218_171537,
3,0,Sam only gave SUE bananas.,Sam didn't give Rob bananas.,A,1,A,0,Sam only gave Sue bananas.,Sam didn't give Rob bananas.,"Sue was the sole recipient of bananas, so Rob didn’t get any.",0.0,0.0,1,NEG,1,f2,baseline,openai,gpt-5,20251218_171537,
4,0,Sam only gave Tom ORANGES.,Sam didn't give Tom bananas.,A,1,A,0,Sam only gave Tom oranges.,Sam didn't give Tom bananas.,"Tom received only oranges, so he did not receive bananas.",0.0,0.0,2,NEG,2,f2,baseline,openai,gpt-5,20251218_171537,
5,0,Sam only gave SUE apples.,Sam didn't give Sue oranges.,B,0,A,0,Sam only gave Sue apples.,Sam didn't give Sue oranges.,"Sue received only apples, so she did not receive oranges.",0.0,0.0,1,NEG,2,f2,baseline,openai,gpt-5,20251218_171537,
6,0,Sam only gave Sue GRAPES.,Sam didn't give Sue apples.,A,1,A,0,Sam only gave Sue grapes.,Sam didn't give Sue apples.,"Sue received only grapes, so she did not receive apples.",0.0,0.0,2,NEG,2,f2,baseline,openai,gpt-5,20251218_171537,
7,0,Sam only gave ELLEN oranges.,Sam also gave Ellen bananas.,B,0,C,0,Sam only gave Ellen oranges.,Sam also gave Ellen bananas.,"if Ellen got only oranges, she could not also have received bananas.",0.0,0.0,1,POS,2,f2,baseline,openai,gpt-5,20251218_171537,
8,0,Sam only gave MARY grapes.,Sam didn't give Mary apples.,B,0,A,0,Sam only gave Mary grapes.,Sam didn't give Mary apples.,"Mary received only grapes, so she did not receive apples.",0.0,0.0,1,NEG,2,f2,baseline,openai,gpt-5,20251218_171537,
9,0,Sam only gave BILL oranges.,Sam also gave Mary oranges.,C,1,C,0,Sam only gave Bill oranges.,Sam also gave Mary oranges.,"if only Bill received oranges, Mary could not also have received oranges.",0.0,0.0,1,POS,1,f2,baseline,openai,gpt-5,20251218_171537,
