example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold
0,0,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,,,1,Sam only gave BILL grapes.,Sam also gave Sue grapes.,,0.0,0.0,1,POS,1,f1,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdnMWeSawjb9BiUZUq8JTW47iqpX,
1,0,Sam only gave SUE oranges.,Sam also gave Rob oranges.,C,,,0,Sam only gave Sue ORANGES.,Sam also gave Rob oranges.,,0.0,0.0,1,POS,1,f1,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdnMWeSawjb9BiUZUq8JTW47iqpX,
2,0,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,A,,,0,Sam only gave Sue GRAPES.,Sam didn’t give Ellen grapes.,,0.0,0.03571428571428571,1,NEG,1,f1,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdnMWeSawjb9BiUZUq8JTW47iqpX,
3,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,,,0,Sam only gave Tom APPLES.,Sam didn’t give Tom grapes.,,0.0,0.038461538461538464,1,NEG,2,f1,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdnMWeSawjb9BiUZUq8JTW47iqpX,
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,,,1,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,,0.0,0.0,2,POS,2,f1,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdnMWeSawjb9BiUZUq8JTW47iqpX,
5,0,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,A,,,0,Sam only gave Sue GRAPES.,Sam didn’t give Tom grapes.,,0.0,0.038461538461538464,1,NEG,1,f1,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdnMWeSawjb9BiUZUq8JTW47iqpX,
6,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,,,1,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,,0.0,0.0,2,POS,1,f1,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdnMWeSawjb9BiUZUq8JTW47iqpX,
7,0,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,B,,,0,Sam only gave Rob BANANAS.,Sam didn’t give Rob oranges.,,0.0,0.037037037037037035,1,NEG,2,f1,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdnMWeSawjb9BiUZUq8JTW47iqpX,
8,0,Sam only gave Mary BANANAS.,Sam also gave Mary apples.,C,,,1,Sam only gave Mary BANANAS.,Sam also gave Mary apples.,,0.0,0.0,2,POS,2,f1,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdnMWeSawjb9BiUZUq8JTW47iqpX,
9,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,,,1,Sam only gave Sue ORANGES.,Sam didn’t give Rob oranges.,,0.0,0.037037037037037035,2,NEG,1,f1,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdnMWeSawjb9BiUZUq8JTW47iqpX,
