example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id
0,0,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,1,C,0,Sam ONLY gave Bill grapes.,Sam also gave Sue grapes.,Sam only gave BILL grapes entails that Sam didn't give grapes to anyone else.,0.0,0.0,1,POS,1,f1,audio,gemini,gemini-2.0-flash,20251217_164212,
1,0,Sam only gave SUE oranges.,Sam also gave Rob oranges.,C,1,C,0,Sam ONLY gave Sue oranges.,Sam also gave Rob oranges.,Sam only gave SUE oranges entails that Sam didn't give oranges to anyone else.,0.0,0.0,1,POS,1,f1,audio,gemini,gemini-2.0-flash,20251217_164212,
2,0,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,A,1,A,0,Sam ONLY gave Sue grapes.,Sam didn't give Ellen grapes.,Sam only gave SUE grapes entails that Sam didn't give grapes to anyone else.,0.0,0.0,1,NEG,1,f1,audio,gemini,gemini-2.0-flash,20251217_164212,
3,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,1,B,0,Sam ONLY gave Tom apples.,Sam didn't give Tom grapes.,Sam only gave TOM apples entails that Sam didn't give anything else to Tom.,0.0,0.0,1,NEG,2,f1,audio,gemini,gemini-2.0-flash,20251217_164212,
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,0,B,0,Sam ONLY gave Rob oranges.,Sam also gave Rob apples.,Sam only gave ROB oranges entails that Sam didn't give anything else to Rob.,0.0,0.0,2,POS,2,f1,audio,gemini,gemini-2.0-flash,20251217_164212,
5,0,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,A,0,B,0,Sam ONLY gave Sue grapes.,Sam didn't give Tom grapes.,Sam only gave SUE grapes entails that Sam didn't give anything else to Sue.,0.0,0.0,1,NEG,1,f1,audio,gemini,gemini-2.0-flash,20251217_164212,
6,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,0,C,0,Sam ONLY gave Ellen bananas.,Sam also gave Mary bananas.,Sam only gave ELLEN bananas entails that Sam didn't give bananas to anyone else.,0.0,0.0,2,POS,1,f1,audio,gemini,gemini-2.0-flash,20251217_164212,
7,0,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,B,1,B,0,Sam ONLY gave Rob bananas.,Sam didn't give Rob oranges.,Sam only gave ROB bananas entails that Sam didn't give anything else to Rob.,0.0,0.0,1,NEG,2,f1,audio,gemini,gemini-2.0-flash,20251217_164212,
8,0,Sam only gave Mary BANANAS.,Sam also gave Mary apples.,C,0,B,0,Sam ONLY gave Mary bananas.,Sam also gave Mary apples.,Sam only gave MARY bananas entails that Sam didn't give anything else to Mary.,0.0,0.0,2,POS,2,f1,audio,gemini,gemini-2.0-flash,20251217_164212,
9,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,0,A,0,Sam ONLY gave Sue oranges.,Sam didn't give Rob oranges.,Sam only gave SUE oranges entails that Sam didn't give oranges to anyone else.,0.0,0.0,2,NEG,1,f1,audio,gemini,gemini-2.0-flash,20251217_164212,
