example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
2,0,Sam only gave ROB grapes.,Sam also gave Rob oranges.,B,0,C,,,,"S1 states that Sam only gave Rob grapes, which excludes giving oranges to Rob. S2 states that Sam also gave Rob oranges, which directly contradicts the exclusivity in S1.",,,1,POS,2,ns1,audio,openai,gpt-4o-audio-preview,20260503_142258,chatcmpl-DbS0kIWDfBYd3XovS2cT45I8Fv47R,0,speaker1
3,0,Sam only gave Tom ORANGES.,Sam didn't give Tom bananas.,A,0,B,,,,"S1 states that Sam only gave Tom oranges, and S2 states that Sam didn’t give Tom bananas. The statement about oranges doesn’t logically entail or contradict the absence of giving bananas. They are independent.",,,2,NEG,2,ns1,audio,openai,gpt-4o-audio-preview,20260503_142258,chatcmpl-DbS0kIWDfBYd3XovS2cT45I8Fv47R,0,speaker1
4,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,0,C,,,,"S1 states that Sam only gave Ellen bananas, which excludes giving anything else like grapes. S2 states that Sam also gave Mary bananas, and this is independent of Ellen’s exclusivity, so this shows a contradiction only if Mary’s involvement conflicts with the exclusivity to Ellen.",,,2,POS,1,ns1,audio,openai,gpt-4o-audio-preview,20260503_142258,chatcmpl-DbS0kIWDfBYd3XovS2cT45I8Fv47R,0,speaker1
5,0,Sam only gave ELLEN grapes.,Sam didn't give Tom grapes.,A,1,A,,,,"S1 states that Sam only gave Ellen grapes, and S2 states that Sam didn’t give Tom grapes. If Sam only gave grapes to Ellen, then it’s entailed that Tom didn’t get any grapes.",,,1,NEG,1,ns1,audio,openai,gpt-4o-audio-preview,20260503_142258,chatcmpl-DbS0kIWDfBYd3XovS2cT45I8Fv47R,0,speaker1
6,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,1,C,,,,"S1 states that Sam only gave Rob oranges, which means he did not give Rob apples. S2 states that Sam also gave Rob apples, directly contradicting the exclusivity from S1.",,,2,POS,2,ns1,audio,openai,gpt-4o-audio-preview,20260503_142258,chatcmpl-DbS0kIWDfBYd3XovS2cT45I8Fv47R,0,speaker1
7,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,0,A,,,,"S1 states that Sam only gave Tom apples, and S2 states Sam didn’t give Tom grapes. If Sam only gave Tom apples, it’s entailed that Tom didn’t receive grapes.",,,1,NEG,2,ns1,audio,openai,gpt-4o-audio-preview,20260503_142258,chatcmpl-DbS0kIWDfBYd3XovS2cT45I8Fv47R,0,speaker1
0,0,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,0,B,,,,"if Sam only gave Bill grapes, then the act of also giving Sue grapes is independent, since it doesn’t contradict or entail the first statement.",,,1,POS,1,ns1,audio,openai,gpt-4o-audio-preview,20260503_142258,chatcmpl-DbS0rRHeNrk1ikKsY7NBnY8ArGkya,1,speaker1
1,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,0,C,,,,"if Sam only gave Sue oranges, then that excludes the possibility of him giving Rob oranges, so the second statement contradicts the first.",,,2,NEG,1,ns1,audio,openai,gpt-4o-audio-preview,20260503_142258,chatcmpl-DbS0rRHeNrk1ikKsY7NBnY8ArGkya,1,speaker1
4,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,1,B,,,,"if Sam only gave Ellen bananas, that doesn’t entail or contradict the possibility of also giving Mary bananas, so the two statements are independent.",,,2,POS,1,ns1,audio,openai,gpt-4o-audio-preview,20260503_142258,chatcmpl-DbS0rRHeNrk1ikKsY7NBnY8ArGkya,1,speaker1
5,0,Sam only gave ELLEN grapes.,Sam didn't give Tom grapes.,A,1,A,,,,"if Sam only gave Ellen grapes, that excludes giving Tom grapes, so the second statement is entailed by the first.",,,1,NEG,1,ns1,audio,openai,gpt-4o-audio-preview,20260503_142258,chatcmpl-DbS0rRHeNrk1ikKsY7NBnY8ArGkya,1,speaker1
