example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold
0,1,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,1,C,1,Sam only gave BILL grapes.,Sam also gave Sue grapes.,"Sam only gave Bill grapes, so he couldn't have given Sue grapes.",0.0,0.0,1,POS,1,f1,audio,gemini,gemini-2.0-flash,20260105_094016,,0
1,1,Sam only gave SUE oranges.,Sam also gave Rob oranges.,C,1,C,1,Sam only gave SUE oranges.,Sam also gave Rob oranges.,"Sam only gave Sue oranges, so he couldn't have given Rob oranges.",0.0,0.0,1,POS,1,f1,audio,gemini,gemini-2.0-flash,20260105_094016,,0
2,1,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,A,1,A,1,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,"Sam only gave Sue grapes, so it is entailed that he didn't give Ellen grapes.",0.0,0.0,1,NEG,1,f1,audio,gemini,gemini-2.0-flash,20260105_094016,,0
3,1,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,1,B,1,Sam only gave TOM apples.,Sam didn't give Tom grapes.,"the first sentence is about apples and the second is about grapes, so they are independent.",0.0,0.0,1,NEG,2,f1,audio,gemini,gemini-2.0-flash,20260105_094016,,0
4,1,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,1,C,1,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,"Sam only gave Rob oranges, so he couldn't have given Rob apples.",0.0,0.0,2,POS,2,f1,audio,gemini,gemini-2.0-flash,20260105_094016,,0
5,0,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,A,1,A,1,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,"Sam only gave Sue grapes, so it is entailed that he didn't give Tom grapes.",0.0,0.0,1,NEG,1,f1,audio,gemini,gemini-2.0-flash,20260105_094016,,0
6,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,0,C,0,Sam only gave ELLEN bananas.,Sam also gave Mary bananas.,"Sam only gave Ellen bananas, so he couldn't have given Mary bananas.",0.0,0.0,2,POS,1,f1,audio,gemini,gemini-2.0-flash,20260105_094016,,0
7,0,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,B,1,B,1,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,"the first sentence is about bananas and the second is about oranges, so they are independent.",0.0,0.0,1,NEG,2,f1,audio,gemini,gemini-2.0-flash,20260105_094016,,0
8,0,Sam only gave Mary BANANAS.,Sam also gave Mary apples.,C,1,C,0,Sam only gave MARY bananas.,Sam also gave Mary apples.,"Sam only gave Mary bananas, so he couldn't have given Mary apples.",0.0,0.0,2,POS,2,f1,audio,gemini,gemini-2.0-flash,20260105_094016,,0
9,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,0,A,0,Sam only gave SUE oranges.,Sam didn't give Rob oranges.,"Sam only gave Sue oranges, so it is entailed that he didn't give Rob oranges.",0.0,0.0,2,NEG,1,f1,audio,gemini,gemini-2.0-flash,20260105_094016,,0
0,0,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,0,B,1,Sam only gave BILL grapes.,Sam also gave Sue grapes.,"S2 introduces a new person, Sue, who also received grapes, which is independent of the fact that Bill received grapes.",0.0,0.0,1,POS,1,f1,audio,gemini,gemini-2.0-flash,20260105_094016,,1
1,0,Sam only gave SUE oranges.,Sam also gave Rob oranges.,C,0,B,1,Sam only gave SUE oranges.,Sam also gave Rob oranges.,"S2 introduces a new person, Rob, who also received oranges, which is independent of the fact that Sue received oranges.",0.0,0.0,1,POS,1,f1,audio,gemini,gemini-2.0-flash,20260105_094016,,1
2,0,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,A,1,A,1,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,"if Sam only gave Sue grapes, then it is necessarily true that Sam didn't give Ellen grapes.",0.0,0.0,1,NEG,1,f1,audio,gemini,gemini-2.0-flash,20260105_094016,,1
3,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,1,B,1,Sam only gave TOM apples.,Sam didn't give Tom grapes.,"S2 discusses grapes, while S1 discusses apples.",0.0,0.0,1,NEG,2,f1,audio,gemini,gemini-2.0-flash,20260105_094016,,1
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,1,C,1,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,"S1 states that Rob only received oranges, while S2 states that Rob also received apples, which contradicts S1.",0.0,0.0,2,POS,2,f1,audio,gemini,gemini-2.0-flash,20260105_094016,,1
5,1,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,A,1,A,1,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,"if Sam only gave Sue grapes, then it is necessarily true that Sam didn't give Tom grapes.",0.0,0.0,1,NEG,1,f1,audio,gemini,gemini-2.0-flash,20260105_094016,,1
6,1,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,1,B,1,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,"S2 introduces a new person, Mary, who also received bananas, which is independent of the fact that Ellen received bananas.",0.0,0.0,2,POS,1,f1,audio,gemini,gemini-2.0-flash,20260105_094016,,1
