example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
2,0,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,A,0,C,,,,"S1 states that Sam *only* gave grapes to Bill, meaning no one else received grapes from Sam. S2 states that Sam also gave Sue grapes, which contradicts the ""only Bill"" condition in S1.",,,1,NEG,1,f1,audio,gemini,gemini-2.5-flash,20260503_100628,,0,speaker0
3,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,0,C,,,,"S1 states that Sam *only* gave oranges to Sue, meaning no one else received oranges from Sam. S2 states that Sam also gave Rob oranges, which contradicts the ""only Sue"" condition in S1.",,,1,NEG,2,f1,audio,gemini,gemini-2.5-flash,20260503_100628,,0,speaker0
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,0,A,,,,"S1 states that Sam *only* gave grapes to Sue. This implies that Sam did not give grapes to anyone else, including Ellen. Therefore, S2, ""Sam didn't give Ellen grapes,"" is entailed by S1.",,,2,POS,2,f1,audio,gemini,gemini-2.5-flash,20260503_100628,,0,speaker0
5,0,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,A,0,B,,,,"S1 states that Sam *only* gave apples to Tom. This means Tom was the only person who received apples from Sam. It does not provide any information about whether Sam gave Tom other items, such as grapes. Therefore, S2, ""Sam didn't give Tom grapes,"" is independent of S1.",,,1,NEG,1,f1,audio,gemini,gemini-2.5-flash,20260503_100628,,0,speaker0
6,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,1,B,,,,"S1 states that Sam *only* gave oranges to Rob. This means Rob was the only person who received oranges from Sam. It does not restrict what other items Rob might have received from Sam. Therefore, S2, ""Sam also gave Rob apples,"" is independent of S1.",,,2,POS,1,f1,audio,gemini,gemini-2.5-flash,20260503_100628,,0,speaker0
7,0,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,B,0,A,,,,"S1 states that Sam *only* gave grapes to Sue. This implies that Sam did not give grapes to anyone else, including Tom. Therefore, S2, ""Sam didn't give Tom grapes,"" is entailed by S1.",,,1,NEG,2,f1,audio,gemini,gemini-2.5-flash,20260503_100628,,0,speaker0
8,0,Sam only gave Mary BANANAS.,Sam also gave Mary apples.,C,1,C,,,,"S1 states that Sam *only* gave bananas to Ellen, meaning no one else received bananas from Sam. S2 states that Sam also gave Mary bananas, which contradicts the ""only Ellen"" condition in S1.",,,2,POS,2,f1,audio,gemini,gemini-2.5-flash,20260503_100628,,0,speaker0
9,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,1,B,,,,"S1 states that Sam *only* gave bananas to Rob. This means Rob was the only person who received bananas from Sam. It does not provide any information about whether Sam gave Rob other items, such as oranges. Therefore, S2, ""Sam didn't give Rob oranges,"" is independent of S1.",,,2,NEG,1,f1,audio,gemini,gemini-2.5-flash,20260503_100628,,0,speaker0
0,0,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,1,C,,,,"S1 states that Sam gave grapes only to Bill. S2 states that Sam also gave grapes to Sue, which contradicts the exclusivity implied by ""only"" in S1 (assuming Sue is not Bill).",,,1,POS,1,f1,audio,gemini,gemini-2.5-flash,20260503_100628,,1,speaker0
1,0,Sam only gave SUE oranges.,Sam also gave Rob oranges.,C,1,C,,,,"S1 states that Sam gave oranges only to Sue. S2 states that Sam also gave oranges to Rob, which contradicts the exclusivity implied by ""only"" in S1 (assuming Rob is not Sue).",,,1,POS,1,f1,audio,gemini,gemini-2.5-flash,20260503_100628,,1,speaker0
