example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold
0,0,Sam only gave ROB apples.,Sam didn't give Sue apples.,A,0,B,1,Sam only gave ROB apples.,Sam didn’t give Sue apples.,"S2 is stating something about Sue, while S1 focuses on Rob, so they are independent statements and do not directly relate to each other in an entailment or contradiction.",0.0,0.038461538461538464,1,NEG,1,f6,audio,openai,gpt-audio,20260105_083400,chatcmpl-CuaRW605CsONwgVZS2deH3uZ2uZWm,2
1,0,Sam only gave SUE grapes.,Sam also gave Sue oranges.,B,0,C,1,Sam only gave SUE grapes.,Sam also gave Sue oranges.,"the focus in S1 is on Sue and the fact that only grapes were given, so S2 directly contradicts that by introducing another item (oranges) given to Sue.",0.0,0.0,1,POS,2,f6,audio,openai,gpt-audio,20260105_083400,chatcmpl-CuaRW605CsONwgVZS2deH3uZ2uZWm,2
2,0,Sam only gave SUE grapes.,Sam didn't give Sue bananas.,B,0,A,1,Sam only gave SUE grapes.,Sam didn’t give Sue bananas.,"if Sam only gave Sue grapes, then it’s entailed by S1 that Sam did not give Sue bananas.",0.0,0.037037037037037035,1,NEG,2,f6,audio,openai,gpt-audio,20260105_083400,chatcmpl-CuaRW605CsONwgVZS2deH3uZ2uZWm,2
3,0,Sam only gave Mary GRAPES.,Sam also gave Ellen grapes.,B,1,B,0,Sam only gave MARY grapes.,Sam also gave Ellen grapes.,"S1 is about Mary only receiving grapes, while S2 discusses Ellen also receiving grapes. There’s no direct entailment or contradiction between what was said about Mary and what was said about Ellen.",0.0,0.0,2,POS,1,f6,audio,openai,gpt-audio,20260105_083400,chatcmpl-CuaRW605CsONwgVZS2deH3uZ2uZWm,2
4,1,Sam only gave Rob ORANGES.,Sam also gave Rob bananas.,C,1,C,0,Sam only gave ROB oranges.,Sam also gave Rob bananas.,"if Sam only gave Rob oranges, then giving Rob bananas contradicts the statement.",0.0,0.0,2,POS,2,f6,audio,openai,gpt-audio,20260105_083400,chatcmpl-CuaRW605CsONwgVZS2deH3uZ2uZWm,2
5,1,Sam only gave Sue BANANAS.,Sam didn't give Sue grapes.,A,1,A,0,Sam only gave SUE bananas.,Sam didn’t give Sue grapes.,"if the only thing Sam gave Sue was bananas, it entails that grapes were not given.",0.0,0.038461538461538464,2,NEG,2,f6,audio,openai,gpt-audio,20260105_083400,chatcmpl-CuaRW605CsONwgVZS2deH3uZ2uZWm,2
6,0,Sam only gave Tom GRAPES.,Sam didn't give Tom apples.,A,1,A,0,Sam only gave TOM grapes.,Sam didn’t give Tom apples.,"if Sam only gave Tom grapes, then it logically follows that apples were not given to Tom.",0.0,0.038461538461538464,2,NEG,2,f6,audio,openai,gpt-audio,20260105_083400,chatcmpl-CuaRW605CsONwgVZS2deH3uZ2uZWm,2
7,0,Sam only gave TOM bananas.,Sam didn't give Tom grapes.,B,0,A,1,Sam only gave TOM bananas.,Sam didn’t give Tom grapes.,"if Sam only gave Tom bananas, it entails that grapes were not given to Tom.",0.0,0.038461538461538464,1,NEG,2,f6,audio,openai,gpt-audio,20260105_083400,chatcmpl-CuaRW605CsONwgVZS2deH3uZ2uZWm,2
8,0,Sam only gave Rob APPLES.,Sam also gave Rob grapes.,C,1,C,0,Sam only gave ROB apples.,Sam also gave Rob grapes.,"if Sam only gave Rob apples, then giving him grapes contradicts that statement.",0.0,0.0,2,POS,2,f6,audio,openai,gpt-audio,20260105_083400,chatcmpl-CuaRW605CsONwgVZS2deH3uZ2uZWm,2
9,0,Sam only gave ELLEN grapes.,Sam also gave Ellen oranges.,B,0,C,1,Sam only gave ELLEN grapes.,Sam also gave Ellen oranges.,"if Sam only gave Ellen grapes, then giving her oranges contradicts the original statement.",0.0,0.0,1,POS,2,f6,audio,openai,gpt-audio,20260105_083400,chatcmpl-CuaRW605CsONwgVZS2deH3uZ2uZWm,2
