example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold
0,1,Sam only gave Bill BANANAS.,Sam also gave Bill grapes.,C,1,C,1,Sam only gave Bill BANANAS.,Sam also gave Bill grapes.,"S1 states that Sam only gave Bill bananas, so giving him grapes contradicts this.",0.0,0.0,2,POS,2,f7,audio,gemini,gemini-2.0-flash,20260105_094016,,0
1,1,Sam only gave MARY apples.,Sam also gave Ellen apples.,C,1,C,1,Sam only gave MARY apples.,Sam also gave Ellen apples.,"S1 states that Sam only gave Mary apples, so giving Ellen apples contradicts this.",0.0,0.0,1,POS,1,f7,audio,gemini,gemini-2.0-flash,20260105_094016,,0
2,1,Sam only gave Sue APPLES.,Sam also gave Tom apples.,B,1,B,1,Sam only gave Sue APPLES.,Sam also gave Tom apples.,"S1 states that Sam only gave Sue apples, which doesn't exclude giving Tom apples.",0.0,0.0,2,POS,1,f7,audio,gemini,gemini-2.0-flash,20260105_094016,,0
3,1,Sam only gave BILL grapes.,Sam didn't give Bill oranges.,B,1,B,1,Sam only gave BILL grapes.,Sam didn't give Bill oranges.,"S1 states that Sam only gave Bill grapes, which doesn't exclude him from receiving oranges.",0.0,0.0,1,NEG,2,f7,audio,gemini,gemini-2.0-flash,20260105_094016,,0
4,1,Sam only gave BILL apples.,Sam didn't give Bill bananas.,B,1,B,1,Sam only gave BILL apples.,Sam didn't give Bill bananas.,"S1 states that Sam only gave Bill apples, which doesn't exclude him from receiving bananas.",0.0,0.0,1,NEG,2,f7,audio,gemini,gemini-2.0-flash,20260105_094016,,0
5,0,Sam only gave SUE apples.,Sam didn't give Sue bananas.,B,0,A,1,Sam only gave SUE apples.,Sam didn't give Sue bananas.,"if Sam only gave Sue apples, then it is entailed that he didn't give her bananas.",0.0,0.0,1,NEG,2,f7,audio,gemini,gemini-2.0-flash,20260105_094016,,0
6,0,Sam only gave ELLEN oranges.,Sam didn't give Tom oranges.,A,1,A,1,Sam only gave ELLEN oranges.,Sam didn't give Tom oranges.,"if Sam only gave Ellen oranges, then it is entailed that he didn't give Tom oranges.",0.0,0.0,1,NEG,1,f7,audio,gemini,gemini-2.0-flash,20260105_094016,,0
7,0,Sam only gave TOM apples.,Sam didn't give Mary apples.,A,1,A,1,Sam only gave TOM apples.,Sam didn't give Mary apples.,"if Sam only gave Tom apples, then it is entailed that he didn't give Mary apples.",0.0,0.0,1,NEG,1,f7,audio,gemini,gemini-2.0-flash,20260105_094016,,0
8,0,Sam only gave Tom APPLES.,Sam also gave Bill apples.,B,0,C,0,Sam only gave TOM apples.,Sam also gave Bill apples.,"if Sam only gave Tom apples, then it is contradicted that he also gave Bill apples.",0.0,0.0,2,POS,1,f7,audio,gemini,gemini-2.0-flash,20260105_094016,,0
9,0,Sam only gave Sue BANANAS.,Sam didn't give Tom bananas.,B,0,A,0,Sam only gave SUE bananas.,Sam didn't give Tom bananas.,"if Sam only gave Sue bananas, then it is entailed that he didn't give Tom bananas.",0.0,0.0,2,NEG,1,f7,audio,gemini,gemini-2.0-flash,20260105_094016,,0
