example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
0,0,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,,,1,Sam only gave BILL grapes.,Sam also gave Sue grapes.,,0.0,0.0,1,POS,1,ns1,audio,gemini,gemini-3.1-pro-preview,20260428_152455,,,speaker1
1,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,,,1,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,,0.0,0.0,2,NEG,1,ns1,audio,gemini,gemini-3.1-pro-preview,20260428_152455,,,speaker1
2,0,Sam only gave ROB grapes.,Sam also gave Rob oranges.,B,,,1,Sam only gave ROB grapes.,Sam also gave Rob oranges.,,0.0,0.0,1,POS,2,ns1,audio,gemini,gemini-3.1-pro-preview,20260428_152455,,,speaker1
3,0,Sam only gave Tom ORANGES.,Sam didn't give Tom bananas.,A,,,1,Sam only gave Tom ORANGES.,Sam didn't give Tom bananas.,,0.0,0.0,2,NEG,2,ns1,audio,gemini,gemini-3.1-pro-preview,20260428_152455,,,speaker1
4,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,,,1,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,,0.0,0.0,2,POS,1,ns1,audio,gemini,gemini-3.1-pro-preview,20260428_152455,,,speaker1
5,0,Sam only gave ELLEN grapes.,Sam didn't give Tom grapes.,A,,,1,Sam only gave ELLEN grapes.,Sam didn't give Tom grapes.,,0.0,0.0,1,NEG,1,ns1,audio,gemini,gemini-3.1-pro-preview,20260428_152455,,,speaker1
6,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,,,1,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,,0.0,0.0,2,POS,2,ns1,audio,gemini,gemini-3.1-pro-preview,20260428_152455,,,speaker1
7,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,,,1,Sam only gave TOM apples.,Sam didn't give Tom grapes.,,0.0,0.0,1,NEG,2,ns1,audio,gemini,gemini-3.1-pro-preview,20260428_152455,,,speaker1
0,0,Sam only gave BILL grapes.,Sam didn't give Bill oranges.,B,,,0,Sam only gave Bill GRAPES.,Sam didn't give Bill oranges.,,0.0,0.0,1,NEG,2,ns2,audio,gemini,gemini-3.1-pro-preview,20260428_152455,,,speaker1
1,0,Sam only gave Ellen GRAPES.,Sam also gave Ellen oranges.,C,,,1,Sam only gave Ellen GRAPES.,Sam also gave Ellen oranges.,,0.0,0.0,2,POS,2,ns2,audio,gemini,gemini-3.1-pro-preview,20260428_152455,,,speaker1
2,0,Sam only gave BILL bananas.,Sam didn't give Tom bananas.,A,,,1,Sam only gave BILL bananas.,Sam didn't give Tom bananas.,,0.0,0.0,1,NEG,1,ns2,audio,gemini,gemini-3.1-pro-preview,20260428_152455,,,speaker1
3,0,Sam only gave Ellen ORANGES.,Sam also gave Sue oranges.,B,,,0,Sam only gave ELLEN oranges.,Sam also gave Sue oranges.,,0.0,0.0,2,POS,1,ns2,audio,gemini,gemini-3.1-pro-preview,20260428_152455,,,speaker1
4,0,Sam only gave TOM apples.,Sam also gave Bill apples.,C,,,1,Sam only gave TOM apples.,Sam also gave Bill apples.,,0.0,0.0,1,POS,1,ns2,audio,gemini,gemini-3.1-pro-preview,20260428_152455,,,speaker1
5,0,Sam only gave Bill BANANAS.,Sam didn't give Bill grapes.,A,,,1,Sam only gave Bill BANANAS.,Sam didn't give Bill grapes.,,0.0,0.0,2,NEG,2,ns2,audio,gemini,gemini-3.1-pro-preview,20260428_152455,,,speaker1
6,0,Sam only gave ELLEN bananas.,Sam also gave Ellen grapes.,B,,,0,Sam only gave Ellen BANANAS.,Sam also gave Ellen grapes.,,0.0,0.0,1,POS,2,ns2,audio,gemini,gemini-3.1-pro-preview,20260428_152455,,,speaker1
